Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19
generative ai certificate course,-0.8900017,0.08313309,-0.0736822,-0.3186627,0.076108485,0.19139022,-0.0055661667,-0.04796986,0.11230113,-0.0644458,-0.02774991,-0.11375349,-0.014840699,-0.026257856,-0.016032258,0.0065383567,-0.10904271,0.0074616554,-0.006914357,0.074685775
generative ai fundamentals course,-0.8918648,0.3871113,0.04907528,-0.0075678905,-0.024929,0.05164322,-0.089092866,0.12941812,0.016810725,-0.0132333515,-0.044920366,-0.11385124,0.016908966,0.031311978,0.039239988,0.02936173,0.046216547,-0.019295247,0.04629547,0.022889387
generative ai online course,-0.84846735,0.39088082,-0.21391888,-0.008936295,0.12341341,-0.13506502,0.14292206,-0.09972468,-0.01911929,-0.07387472,-0.042254154,0.006679164,-0.022712026,-0.002117263,-0.07267232,0.04774768,-0.0071494305,0.025744073,0.0033251538,0.034200042
generative ai online program,-0.73445714,0.4346514,0.05928182,-0.0014727588,0.31076604,-0.3299545,0.084223524,-0.16308756,0.012704317,0.010399571,0.0267039,0.012262034,0.07642381,0.021605738,-0.0010940506,0.130998,-0.010169223,0.021471059,-0.055030663,0.028335407
generative ai certificate program,-0.785615,0.048434198,0.16749191,-0.40233803,0.24499328,0.064491816,-0.08327451,-0.09978124,0.18000576,0.023048114,0.040597837,-0.1690814,0.06743106,-0.03759885,0.034327053,0.07372235,-0.16195053,-0.013478764,0.0059299883,0.08528246
generative ai foundations course,-0.90638715,0.3391125,-0.08315547,-0.057317305,-0.013762485,0.111059286,-0.027025903,0.024981605,0.060620237,-0.04144157,-0.062829316,-0.11002335,-0.032335382,0.049805205,0.089273475,-0.008407552,-0.029172994,0.050536547,0.034509633,-0.042184453
mit generative ai certificate,-0.74408424,0.021623453,0.22421896,-0.606494,-0.018681236,0.040790282,0.078655936,-4.0063867e-05,0.02981408,-0.047035318,-0.050231744,-0.05694039,-0.00095815375,-0.027272226,0.0069469176,0.015129089,-0.07331136,-0.005495719,0.0014672297,0.06532124
generative ai certification online,-0.83350503,0.09310819,0.016529724,-0.35020772,0.3614448,0.03071965,0.053061794,-0.12561761,-0.0016312738,-0.0593885,-0.018816497,0.05499491,-0.075702175,0.037262738,-0.053730115,0.033817247,0.053543653,0.04327614,-0.013163707,-0.023001371
online course generative ai,-0.7968896,0.36149544,-0.3085042,0.015506881,0.06636452,-0.15846376,0.1720524,-0.18934987,0.09767894,-0.06395459,-0.057327077,0.04741128,-0.06465026,-0.038499877,-0.1217875,-0.0011299176,-0.051266063,0.02582758,-0.002758582,0.030634321
professional ai certificate,-0.7461685,-0.46079975,0.05043812,-0.30549213,0.16151094,0.14893118,0.13910143,-0.069612436,0.07639325,-0.015643988,-0.058567308,-0.08398216,0.11050744,-0.020110823,-0.06634666,0.038379,-0.019424627,-0.11697762,0.033501063,0.111027114
mit professional development,-0.4238744,-0.28517562,0.07760632,-0.3744842,-0.5367573,-0.06580522,0.12231256,-0.21718414,0.04951697,-0.25630707,0.2300943,0.04620367,-0.037845895,-0.0040713456,0.19962871,0.113559075,0.17356825,-0.14208767,-0.077453166,0.066654205
generative ai course,-0.8982458,0.4025357,-0.026949951,-0.026983578,-0.044485036,0.103459485,-0.04189397,0.0098628355,0.068606645,0.038718574,-0.017802997,-0.012927626,0.015943343,-0.049173314,-0.038803097,-0.025933623,-0.017583169,0.056878805,-0.004503398,0.0049734917
generative ai courses,-0.8923801,0.3873165,-0.10067351,-0.046303503,-0.010437032,0.17069016,-0.013799431,-0.016110083,-0.0022731803,-0.0022977083,-0.0044530826,0.050544217,0.010579893,-0.027866941,0.04205396,-0.0171847,-0.006114645,0.04069729,-0.056192778,-0.035803866
online ai and ml courses,-0.818678,-0.078815915,-0.33916342,0.13487363,0.12817484,-0.14451934,0.2771616,-0.083123565,-0.13624203,-0.070568636,-0.11039879,0.06933482,-0.084323645,-0.078839175,0.01253052,-0.072822735,0.059894986,-0.062415257,0.019712826,-0.045758337
mit ai course,-0.8221315,-0.15399785,-0.031689074,-0.15528724,-0.466996,-0.118189365,0.110265516,0.022596221,-0.075203724,0.09003944,-0.006952186,0.021602683,-0.005836788,-0.10138907,-0.04182402,-0.014016454,0.047566995,0.03266788,-0.025001194,0.0071330345
stanford ai professional program,-0.831425,-0.12566438,0.056975704,0.06163211,-0.062170364,-0.23628816,0.0062390934,-0.006205493,0.24428283,0.15459639,-0.107340924,-0.16083343,0.048916157,0.15386453,0.14463708,0.038830444,0.08256652,-0.21961349,0.035918105,-0.01804928
mit xpro ai,-0.7110799,-0.17905322,0.20382838,-0.16850749,-0.330817,-0.18561073,0.004407438,-0.087959446,-0.19346471,0.028553719,0.040975858,-0.03296061,0.066919774,-0.06901248,-0.14247622,0.12527092,-0.008329585,0.13127117,0.3596096,0.08862225
mit artificial intelligence course,-0.8381136,-0.21368296,-0.1518074,-0.113001354,-0.33322138,-0.18692979,-0.05085247,0.13291678,-0.07897225,-0.019091398,0.04915206,-0.021619905,-0.021119893,-0.020161703,0.10743099,-0.026734069,-0.04355498,0.10012085,-0.1209257,0.026850156
professional certificate in ai,-0.7014868,-0.48958042,0.057176515,-0.3235016,0.15607442,0.1740998,0.15469342,-0.050228,0.08390436,-0.073799714,-0.059040327,-0.06969623,0.11660775,-0.063862115,-0.051913057,0.028953243,-0.038427953,-0.1383606,0.051411115,0.117812514
generative ai course mit,-0.8584191,0.35370532,0.06642664,-0.20259322,-0.27144668,0.015134211,0.019784687,0.005872148,0.00038050974,0.024428258,0.0046091215,0.02224765,-0.037295993,-0.080698535,0.002206292,-0.011253565,-0.0026674923,0.09198514,-0.022416808,-0.009778586
prompt engineering course,-0.56548023,-0.051439706,-0.25281084,0.03600753,-0.34009176,0.19465871,-0.34883782,-0.43601218,0.09593529,-0.27674782,-0.014799773,-0.14961751,-0.08135717,0.08465112,-0.08297724,0.02581276,-0.021813026,0.06748699,0.06780567,-0.0875536
mit xpro ai course,-0.7815311,-0.15858583,-0.06854839,-0.12830119,-0.35735464,-0.06646526,-0.042692725,-0.09987312,-0.18419223,-0.032238327,0.01952074,-0.07402379,0.010586316,-0.111858785,-0.09837744,0.09010267,-0.020303324,0.12479062,0.31717715,0.10558565
online generative ai course,-0.84552544,0.4015275,-0.19678213,0.0067808954,0.119617306,-0.15226598,0.14807406,-0.075443946,-0.029626787,-0.07399255,-0.050557833,0.0058051143,-0.021026796,-0.0037114045,-0.08619122,0.047565695,0.004620628,0.013149876,-0.0020223253,0.026346212
artificial intelligence course,-0.8787054,-0.2277719,-0.2704764,0.10157659,-0.109946996,-0.0709321,-0.118605085,0.12410193,-0.0023435147,-0.028548831,0.029111207,-0.054800186,0.041129775,-0.09679854,0.036995646,-0.07238709,-0.043380078,0.12327267,-0.072047986,0.036377132
mit generative ai course,-0.87225413,0.33399013,0.073968284,-0.2009807,-0.25950316,0.0025443574,0.03164124,0.052744094,-0.02038482,0.011098319,-0.017583748,0.004195929,-0.018892996,-0.055059977,0.015261192,-0.0071682483,0.009241767,0.07521488,-0.01326767,0.013051488
generative ai fundamentals,-0.7855272,0.4564838,0.31104246,-0.07760099,0.09443147,-0.0230393,-0.087972105,0.15857758,-0.013780391,0.033496898,-0.059720363,-0.028517568,0.067142226,0.06033078,0.03997766,0.038406234,0.09987585,-0.02256862,0.041417252,-0.018800579
ai certification mit,-0.7887587,-0.42220348,0.08709714,-0.35962656,-0.10358959,0.034998775,0.096836746,-0.034639813,-0.03828016,0.06757361,0.0020712735,0.11850556,-0.07278111,0.03265621,0.030895762,0.01827702,0.07991429,0.014127845,-0.0758617,0.009021938
driving innovation with generative ai mit,-0.65847296,0.21142344,0.4496413,-0.12748826,-0.09427254,-0.016837802,0.006104604,-0.09043018,-0.2942755,-0.08345773,-0.13179106,0.026116896,-0.08810192,0.24300325,0.10993689,-0.26520678,0.054281093,0.030258005,-0.12009733,0.082246
generative ai course usa,-0.91471887,0.3557573,-0.00956194,-0.046448395,-0.04823299,0.052147515,-0.020356204,0.010990575,0.06765248,0.049255818,-0.02746017,-0.023602773,0.05056776,-0.02682343,-0.03310874,-0.07990459,-0.040180396,0.06389234,-0.030389775,-0.0566075
artificial intelligence certification mit,-0.7704319,-0.43038613,0.052971214,-0.35634217,-0.035168607,-0.086911395,-0.091861285,0.05563952,0.037825588,-0.004307339,0.099222295,0.103482276,-0.12522006,0.032366443,0.057603184,-0.012731791,0.024437167,0.11715977,-0.12050506,-0.006019673
mit ai class,-0.834711,-0.124157965,0.10388738,-0.09254525,-0.3923516,-0.12660939,0.12868863,0.06245963,-0.039146036,0.19868101,-0.026864905,0.024740698,0.022542104,-0.13980642,-0.051852092,-0.048070878,0.096525535,-0.008418917,0.015181891,0.032266397
certification for artificial intelligence,-0.71724933,-0.5007548,0.010998087,-0.24182588,0.27998203,0.07550266,-0.18629466,0.10293366,0.05901001,0.0056606387,0.037098978,0.039820336,-0.12852053,-0.0119419135,-0.05568092,-0.0064857663,0.051352274,0.12354925,-0.048478264,0.016590117
learn how to program ai,-0.84031606,-0.042945493,0.12460088,0.30405056,0.117264144,-0.005937036,-0.15184438,-0.073141016,0.053606547,0.17259751,0.0489733,-0.08422689,0.09338811,-0.04684235,0.14369307,0.15137815,0.10611593,0.038109746,-0.039731354,0.1758806
course on generative ai,-0.8702152,0.44869334,0.036976747,-0.060412,0.006646503,0.07029566,-0.039475538,0.1409262,0.0027694656,-0.0042633973,-0.011008131,-0.011971386,0.025882626,-0.05744045,-0.011146381,0.018602954,0.0366672,0.004618499,0.05134712,0.035305526
