Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29
generative ai certificate course,-0.8842241,0.08259327,-0.07320628,-0.3165936,0.075613774,0.19014771,-0.0055312444,-0.04765708,0.11157931,-0.06401972,-0.027542029,-0.11305908,-0.014729606,-0.026063103,-0.01589056,0.006595354,-0.10869405,0.007772357,-0.008332282,0.0739673,-0.076358385,-0.015202901,0.049707837,-0.03270752,-0.018414248,-0.0247026,-0.020629719,-0.034262348,0.020609733,0.016942065
generative ai fundamentals course,-0.8783129,0.38122928,0.048328795,-0.007453002,-0.02455017,0.05086118,-0.08773848,0.1274408,0.016568054,-0.012974134,-0.044231582,-0.11190949,0.016817959,0.030671172,0.03804261,0.028593414,0.047424555,-0.01921835,0.035676215,0.026794206,0.033203844,0.0795453,-0.019922683,-0.04047103,-0.07491561,-0.08215003,0.043683883,0.06348353,0.0011505804,0.054081116
generative ai online course,-0.8461348,0.38980588,-0.21333146,-0.008910454,0.12307439,-0.1346927,0.1425295,-0.099451564,-0.01906836,-0.073673025,-0.04214269,0.006640384,-0.022632388,-0.0021166266,-0.07235734,0.047442455,-0.006986123,0.025897529,0.0018835486,0.03335338,0.00063312514,0.021752873,-0.022227123,-0.035369713,0.013667061,0.0042071957,0.05019735,-0.009511187,-0.02007152,-0.011688442
generative ai online program,-0.7307536,0.43245977,0.058982223,-0.0014661175,0.30919948,-0.3282915,0.08379957,-0.1622586,0.012622534,0.010302986,0.026529673,0.012109014,0.0759655,0.021517077,-0.00056868675,0.12986018,-0.010340141,0.021421526,-0.051414635,0.02226421,-0.04994785,-0.031887393,-0.021850402,-0.0027808256,0.053613372,0.004603144,0.026322162,-0.007923335,-0.018412493,-0.05349035
generative ai certificate program,-0.7689329,0.047405962,0.16393256,-0.39379638,0.23979042,0.06312023,-0.08150774,-0.097651824,0.17618045,0.022529628,0.039750047,-0.16567154,0.065906875,-0.036682192,0.034183316,0.07208597,-0.15996781,-0.012011534,0.009463072,0.08029762,-0.13803533,-0.068852395,0.05655001,-0.013506384,0.065123424,-0.034426432,-0.056139976,-0.07743072,0.014342377,-0.005364608
generative ai foundations course,-0.9001801,0.33679014,-0.082587056,-0.056924313,-0.01366852,0.11029912,-0.026842013,0.024807908,0.06021255,-0.041130766,-0.06239191,-0.1092467,-0.03212544,0.049513318,0.088477515,-0.007780564,-0.02942435,0.05008492,0.035018172,-0.038306218,0.016426416,0.036584217,0.059756283,-0.05590803,-0.037941333,-0.004328508,0.040962353,0.028156038,-0.040978838,0.00067704165
mit generative ai certificate,-0.7370601,0.021419682,0.22209816,-0.60076994,-0.018505577,0.040404167,0.077912115,-3.9172013e-05,0.029542666,-0.046588812,-0.049727585,-0.05645856,-0.0009728388,-0.026876636,0.0068773143,0.015480591,-0.07336538,-0.005225432,0.0016629603,0.064278975,-0.047565583,0.005526309,0.012329959,-0.061043024,0.032956164,-0.044549845,-0.08776365,-0.027354974,0.008264347,0.03109314
generative ai certification online,-0.830088,0.09272644,0.016459387,-0.34877256,0.35996228,0.030594913,0.05284413,-0.12510511,-0.0016294754,-0.059147436,-0.018760066,0.05481642,-0.07535997,0.03703073,-0.05344682,0.03332526,0.053540688,0.042748284,-0.0136053795,-0.02465044,0.038708273,0.015630288,-0.026802637,-0.017174447,0.051810883,-0.00071112876,0.0016757372,-0.032153554,-0.03997374,-0.007221381
online course generative ai,-0.7954443,0.36083928,-0.30794513,0.015480796,0.06624476,-0.15817478,0.17174104,-0.18900687,0.09750358,-0.06383126,-0.057212643,0.047294784,-0.064499855,-0.038455237,-0.121508405,-0.0014629788,-0.050805654,0.026192756,-0.005294523,0.0311088,-0.015339418,0.0023594128,0.02878891,-0.0026474427,0.022114106,0.0072074444,-0.011920013,-0.020645887,-0.03481727,-0.014460829
professional ai certificate,-0.7275914,-0.44932735,0.049181126,-0.2978869,0.15748881,0.14522368,0.13563795,-0.06788267,0.0744867,-0.01526633,-0.057122745,-0.08184245,0.1077689,-0.019625125,-0.06483709,0.037832387,-0.018556256,-0.11440638,0.030728763,0.108793706,-0.032534834,0.015883049,-0.02658332,-0.044377204,-0.13770618,0.055366065,0.11735265,0.053844955,0.079901576,0.0010892563
mit professional development,-0.39298692,-0.26439482,0.07194884,-0.34719494,-0.49764436,-0.06100754,0.113402374,-0.20137529,0.04589655,-0.23760185,0.21328239,0.043139704,-0.034958683,-0.004157929,0.18424588,0.10541694,0.1640096,-0.1347487,-0.07667458,0.06324973,-0.08454464,-0.069545336,-0.061815638,-0.07822219,-0.2931588,0.09450773,0.076013304,0.06281379,-0.05863395,-0.08970033
generative ai course,-0.8958141,0.40144628,-0.026877893,-0.026910445,-0.04436501,0.103179656,-0.04178018,0.009834239,0.06841452,0.038608607,-0.017774371,-0.012864377,0.015934898,-0.04913343,-0.038588688,-0.026128901,-0.017308952,0.056121822,-0.0060996655,0.0039623813,-0.023552187,0.011520187,-0.0035819327,0.019059222,-0.019874316,-0.019220185,0.05392614,-0.0031343093,0.024797402,-0.009972686
generative ai courses,-0.8865113,0.38476875,-0.10001247,-0.045998473,-0.010368677,0.16956706,-0.013709866,-0.016002601,-0.0022480295,-0.0022661285,-0.004386763,0.050186377,0.010513756,-0.02755348,0.04147904,-0.01659603,-0.0061605903,0.041040745,-0.053868704,-0.03422664,-0.014380258,-0.0029773007,0.057153717,0.034783855,-0.05356043,0.024420505,-0.034253202,-0.017579686,0.02363144,0.056748934
online ai and ml courses,-0.807508,-0.077741034,-0.33453462,0.13303567,0.12642716,-0.14254615,0.27337822,-0.08198804,-0.13435708,-0.06956881,-0.10883893,0.06833365,-0.08318425,-0.07735677,0.011936515,-0.07111837,0.058829337,-0.059448723,0.02362166,-0.04038461,0.037592683,-0.06336151,-0.011123864,-0.024831539,0.023824533,0.017239193,-0.07256701,0.02549404,-0.08397032,0.08842799
