Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
generative ai training course,0.8666632,0.37336165,-0.04964786,0.09072199,-0.04986001,-0.15957728,0.04184966,0.06691112,-0.04080262,-0.013967176,0.04286859,0.09649165,-0.009409018,0.023260888,0.12168888,0.002251103,-0.027250296,0.028124556,0.003131088,0.049994227,-0.0011568407,-0.014621175,0.0035607112,-0.012294955,-0.014152323,-0.031155786,-0.007080163,-0.04691674,-0.10521665,0.053390145,0.03919744,0.010876859,0.0056918547,-0.0020742358,0.04495517,0.0007368605,0.009820237,0.04381066,-0.022178411,0.05749748,0.030246897,-0.022135405,-0.033869356,-0.0014354013,-0.0015322452,-0.013170349,-0.006974375,0.0073124487,0.025068164,0.03765592
best place to study artificial intelligence,0.6886929,-0.27546057,-0.22247726,-0.061920967,0.0086595565,0.06219607,0.14274782,-0.21111122,0.24087758,0.060161564,-0.018299878,0.0014581113,0.0151856635,0.09713631,-0.07962814,-0.10303637,0.025439525,0.01814913,-0.097311914,0.031717315,-0.17059037,-0.07572618,0.052178696,0.042609278,0.07617883,0.0067736832,0.052057475,-0.14389852,0.019174393,-0.049305264,0.19259138,0.066761404,-0.021049365,-0.17498617,0.043950975,-0.0062867203,-0.089550115,-0.12895747,-0.1139339,0.14338627,-0.035163097,-0.024717959,0.0775126,0.03630071,0.04340598,0.092060424,-0.03907176,0.0033842386,0.047261737,0.0059850276
best courses on artificial intelligence,0.81364393,-0.16502325,-0.30874395,-0.10799465,-0.0022104029,-0.021552471,0.18113464,-0.2825238,0.21624981,0.008027989,0.01611121,-0.032583103,-0.05106783,0.05650271,-0.0813496,-0.099521846,0.013556472,-0.016278503,0.014915848,-0.0073427646,-0.009467248,0.004019333,0.03763376,-0.020511897,-0.04850606,0.013954518,-0.06087357,-0.018331515,-0.025309712,0.008677438,-0.0075880615,-0.03026626,0.028488824,0.018338725,0.019928426,-0.020789161,-0.010877786,-0.019267254,-0.00088452536,-0.03469895,-0.006113929,0.048306298,-0.012720977,0.0020570103,0.014798049,-0.038016364,-0.00855841,0.0076160394,-0.032430552,-0.01382995
generative ai courses online,0.84843236,0.37701827,-0.23582968,0.049778756,-0.14253244,0.033957954,-0.13381326,0.10989613,0.06887954,0.06831811,-0.03727429,0.03806576,-0.00397719,0.0049099545,-0.014124154,-0.03523268,-0.026688851,0.009857459,0.042128954,-0.024023829,-0.012407963,0.0069334446,-0.008155306,-0.039514344,-0.017179316,0.0077583026,0.004265703,-0.043146808,0.0058389623,0.026185406,-0.01083527,-0.009161157,0.010142285,0.009196023,0.022839438,0.0059356694,0.0076900786,0.01121471,-0.028183293,-0.0058500716,-0.062006526,0.017689656,-0.001145969,0.012778357,0.008429105,0.008439994,-0.006359005,0.016085783,-0.00035420974,-0.008609765
generative ai stanford course,0.8337609,0.4475332,0.0156035675,0.05631589,0.07950254,0.03622403,0.079129964,-0.06162787,-0.17746077,-0.059663244,-0.119480856,-0.07526488,-0.040907178,0.061269984,0.036048602,0.03152593,0.030332841,0.008563238,0.015399288,-0.06836891,0.030827802,-0.01776609,0.04139044,-4.5547204e-06,-0.0056739585,-0.018248908,0.011267342,-0.021151269,-0.05835005,-0.016637914,0.018116467,-0.0066480786,-0.05053348,0.012150307,-0.020031217,-0.02870211,-0.0075156535,-0.014878576,0.025053987,-0.012424674,-0.026927685,-0.00943391,-0.011881384,-0.009694503,-0.019344661,-6.51454e-05,-0.0012196273,0.013723625,-0.01602896,-0.0014518936
generative ai course mit,0.84155965,0.3706517,0.1021133,0.20628713,0.24713744,-0.009590943,-0.023634898,-0.008404821,0.010165296,-0.0003473881,0.03440622,0.034715332,-0.027211934,-0.072234124,0.04944266,0.005830877,-0.08566721,-0.0013139336,0.02562497,-0.023153203,-0.0040171146,0.017602356,0.02118691,0.0033003897,0.017625026,-0.046257503,-0.050295845,-0.007954171,-6.4881395e-05,-0.019668348,0.04658268,0.0016241458,-0.022479568,-0.06337106,-0.009817316,-0.042447187,0.00030478474,-0.030972855,0.019764852,-0.037842643,-0.023871584,-0.013991136,0.028022207,-0.00588535,-0.011579954,0.016508011,0.021194715,-0.005452462,-0.009494204,-0.0011028048
machine learning engineer training,0.5829837,-0.08621389,0.02124226,-0.050223477,-0.0065576634,-0.047019366,0.39907852,0.27968454,-0.08984904,0.09189543,-0.049612254,0.3209512,-0.16857903,0.00673659,0.31007206,0.037993696,0.22778493,0.115618214,-0.14064664,0.033129122,0.090745136,0.12029969,-0.021630907,0.007615403,-0.07690297,0.03182853,0.027441721,0.03173746,-0.14229454,0.019048873,0.012391862,-0.008247933,0.03527468,-0.024718529,-0.025757723,0.08995504,0.0013782894,0.04600156,0.004352601,0.047706153,0.029535823,0.007830981,0.0057741096,-0.043389395,-0.03821032,-0.02523688,-0.0021536637,0.0020747208,-0.0061715874,0.055132557
courses in generative ai,0.85581344,0.41567034,-0.041468125,0.07736333,-0.018430019,-0.17108792,0.045434464,-0.1139628,0.06365729,0.043765053,-0.015152752,0.028535087,0.021708895,-0.010531982,0.078522794,-0.011556992,0.00022162824,0.03104861,0.027106069,-0.021317407,-0.0021365245,-0.017950723,0.032828894,-0.009841637,-0.05437588,0.03568097,-0.037446167,0.012460715,0.037168067,0.04730118,-0.06273564,0.014901203,0.02580362,0.020289307,0.00467246,-0.020581255,-0.007292068,0.0030771673,-0.055455588,-0.04219775,0.03260935,-0.023624001,-0.047975313,0.021630442,-0.007521318,-0.0014602087,-0.0025804592,-0.014151157,-0.008866932,-0.012068848
what to study to become artificial intelligence engineer,0.6346699,-0.31306157,-0.019581903,-0.06572171,0.0181706,-0.06386891,0.3582246,-0.075305976,0.2368186,0.23856373,-0.208445,0.104310796,0.07083315,0.030443097,0.08971244,-0.11164963,0.043774147,0.043030098,0.070190355,0.074469455,-0.0040945173,-0.022198189,0.05654015,0.063464254,0.11600585,-0.16938087,0.10719518,0.029506262,-0.06770036,0.02845557,0.15620755,-0.027965356,0.015980892,0.10449585,-0.024327416,0.012398906,-0.14738652,-0.045094155,-0.036614083,-0.048587423,-0.030649334,-0.06820549,-0.03613826,0.054024007,-0.019296525,0.029373784,0.0060412902,-0.040899813,0.03187976,-0.045621935
ai certification courses,0.84641916,-0.33053854,-0.18447688,0.10829064,-0.08633605,-0.26918522,-0.06349233,0.03659844,0.033048235,-0.089080915,-0.002276175,0.041631974,-0.052836385,-0.007286067,0.01745237,-0.005320645,-0.0037559257,0.02768295,0.085939035,-0.025531422,0.038576443,-0.009556898,0.00042587987,-0.044983916,0.01128898,-0.02277951,-0.007883224,-0.009648484,0.029164292,0.00057279353,-0.06626659,-0.0045721303,-0.041333757,0.06711133,-0.009617645,-0.005406708,-0.016556922,-0.023452848,-0.009983857,0.021625167,0.027907372,-0.025767872,0.0073505538,-0.022993049,-0.006495373,-0.006194963,0.0069915173,-0.02170517,0.0051794923,-0.021614006
