Campaign,Conversion action,Device,All conv.
Course - DAI - Run 1 - Search - Lead Gen - A,Purchase,Computers,1.00
Course - DAI - Run 1 - Search - Lead Gen - A,Purchase,Mobile phones,1.00
Course - DAI - Run 1 - Search - Lead Gen - B,Purchase,Mobile phones,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,Computers,2.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,Mobile phones,2.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,Computers,3.00
Course - DAI - Run 3 - Search - Prospecting - B,Purchase,Computers,2.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,Computers,16.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,Mobile phones,8.00
Market Test - Software Architecture - Search - Lead Gen - USA #2,Purchase,Mobile phones,1.00
Market Test - Software Architecture - Search - Lead Gen - USA #2,Purchase,Tablets,1.00
