Campaign,Conversion action,Hour of the day,All conv.
Course - DAI - Run 1 - Search - Lead Gen - A,Purchase,4,1.00
Course - DAI - Run 1 - Search - Lead Gen - A,Purchase,19,1.00
Course - DAI - Run 1 - Search - Lead Gen - B,Purchase,1,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,0,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,11,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,13,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,17,1.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,5,1.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,12,1.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,20,1.00
Course - DAI - Run 3 - Search - Prospecting - B,Purchase,9,2.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,0,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,1,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,4,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,7,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,9,3.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,10,4.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,12,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,13,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,14,3.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,15,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,16,2.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,17,1.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,19,2.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,21,2.00
Market Test - Software Architecture - Search - Lead Gen - USA #2,Purchase,12,1.00
Market Test - Software Architecture - Search - Lead Gen - USA #2,Purchase,16,1.00
