Day,Keyword,Match type,Region,Avg. CPC,Cost,Conv. value,Clicks,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,EPC,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
2025-11-08,generative ai certificate course,Broad match,USA,1.02,9.18,600.0,9,Saturday,1,Nov,0,93,High,88.0,5.96,15.94,3.9318256327243257,4.042110380829989,4.152395128935653,0.0,-0.0756238272724548,66.66666666666667,-0.87808806,0.08202011,-0.07269953,-0.3143962,0.075089484,0.18882842,-0.0054920563,-0.0473268,0.110803865,-0.063575864,-0.027350955,-0.11228088,-0.014623555,-0.025860677,-0.015779572,0.006576234,-0.10790366,0.007754456,-0.008079657,0.07371159,-0.07600594,-0.0148897655,0.049449373,-0.032273468,-0.01780772,-0.02492135,-0.019823216,-0.031923678,0.017224887,0.01951585,-0.010799881,-0.018560452,-0.029068653,0.03165106,0.02592783,-0.022050256,0.026278272,0.0016856788,0.02750164,0.035304744,0.0036633853,-0.04132914,0.0025035136,0.022244424,-0.050733056,0.028226146,0.038583852,0.021407371,-0.007435076,0.0147165675
2025-11-08,generative ai fundamentals course,Broad match,USA,1.17,3.51,0.0,3,Saturday,1,Nov,0,93,Medium,35.0,3.81,14.11,3.044522437723423,3.599933347231539,3.452049481398056,0.0,0.06986177891565143,0.0,-0.8536987,0.37054548,0.04697437,-0.007244504,-0.023862168,0.049436133,-0.085279524,0.12386855,0.016103351,-0.01261153,-0.04299196,-0.108778425,0.016352292,0.029826725,0.036984093,0.027777381,0.046094727,-0.01853321,0.034781378,0.026242893,0.0321449,0.07748277,-0.019476326,-0.039039485,-0.072206765,-0.08058503,0.043042302,0.06463565,-0.0033781198,0.060486145,-0.0033223992,-0.047585044,-0.03228316,0.011989889,0.006204195,0.031890735,0.041826006,0.09062692,-0.07771864,-0.0065430207,-0.020077506,-0.12521957,-0.08901991,-0.030882433,-0.030089837,-0.0058336877,0.070816465,-0.017875154,-0.037427213,-0.02639321
2025-11-08,generative ai online course,Broad match,USA,1.13,3.3899999999999997,0.0,3,Saturday,1,Nov,0,93,High,67.0,5.0,13.97,3.9318256327243257,3.7658794899779324,4.000500581036048,-0.49783842823917945,-0.13020422876829868,0.0,-0.84263146,0.38819212,-0.21244818,-0.008872497,0.12256497,-0.13413566,0.14193887,-0.0990394,-0.018988714,-0.073367156,-0.041968457,0.006616989,-0.022543058,-0.0021305361,-0.07205665,0.04723354,-0.0069876737,0.025741015,0.0017700798,0.033016246,0.00065999967,0.021563722,-0.022261845,-0.035436712,0.01325893,0.004561412,0.049804118,-0.01057187,-0.017883826,-0.010811311,0.018110635,-0.028570104,0.017424349,0.024791127,-0.020771526,-0.010060393,-0.017385848,0.041459635,0.011365301,-0.025875242,-0.0046663107,-0.005676258,0.021743666,0.005972624,0.0090016825,0.0058337417,0.032359965,0.030959237,0.015377328,0.005494188
2025-11-08,generative ai online program,Broad match,USA,1.22,12.2,200.0,10,Saturday,1,Nov,0,93,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-0.7219324,0.42723933,0.058270197,-0.0014486474,0.30546698,-0.32432878,0.08278666,-0.16029955,0.012471015,0.010179916,0.026210582,0.011966954,0.07504113,0.021224938,-0.0005740427,0.12827988,-0.010255418,0.021028703,-0.050952878,0.02171968,-0.049330045,-0.031569913,-0.02161235,-0.0029250826,0.052644935,0.0050826566,0.025934467,-0.010001712,-0.013646583,-0.056130227,0.0073656044,0.004984834,0.01690345,0.0006149126,-0.069532506,0.036050558,-0.03471383,-0.06403352,-0.008227953,0.0028213912,0.03500006,0.03331318,0.055409934,0.010404065,0.018983522,-0.015197538,0.021385977,0.00751552,-0.035453312,-0.06342569
2025-11-08,generative ai certificate program,Broad match,USA,1.1,2.2,200.0,2,Saturday,1,Nov,0,93,Missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.76276165,0.047025397,0.16261508,-0.39063612,0.23786627,0.0626143,-0.08085326,-0.09686869,0.17476532,0.022348594,0.039432302,-0.1643511,0.06538077,-0.03637154,0.03388849,0.071530476,-0.15865692,-0.011941453,0.009584832,0.079836704,-0.13712396,-0.06796824,0.05628051,-0.013011377,0.06536443,-0.03452756,-0.055213735,-0.07498824,0.011487427,-0.0028838129,-0.019140702,-0.010266689,-0.033620074,0.028448481,0.011453057,0.007634149,0.025046963,-0.053485267,-0.0019283496,0.06600433,0.049786303,-0.03074892,0.01796001,0.03398418,-0.013777025,0.0060810996,0.01150956,-0.018301692,-0.0062893773,-0.01220999
2025-11-08,generative ai foundations course,Broad match,USA,0.91,10.01,0.0,11,Saturday,1,Nov,0,93,Medium,33.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,-0.8787392,0.32876837,-0.08062013,-0.055568054,-0.013342848,0.107672095,-0.026202237,0.024216937,0.05877853,-0.040150117,-0.060904074,-0.10664589,-0.031364877,0.048310887,0.08636239,-0.007604827,-0.028753197,0.048818056,0.034048893,-0.037590515,0.015897997,0.035817754,0.05830953,-0.054629836,-0.037217196,-0.0037983689,0.04042013,0.027146716,-0.036571443,-0.0042616776,-0.021804003,0.023992857,-0.0019588917,-0.007008903,-0.021221438,-0.08661809,-0.04298192,-0.0036821268,-0.09737127,0.031740442,-0.06739174,-0.033260416,-0.030629538,0.062082916,-0.012402217,-0.058070216,0.014120839,0.07361071,-0.005593163,0.07913912
2025-11-08,mit generative ai certificate,Broad match,USA,1.0,11.0,0.0,11,Saturday,1,Nov,0,93,High,71.0,6.18,13.07,2.3978952727983707,3.3041656155645724,3.1743440266439973,0.38946476676172326,0.06676538858772396,0.0,-0.7301327,0.021218218,0.22000802,-0.5951247,-0.018331025,0.040024605,0.07718005,-3.920647e-05,0.029264392,-0.046151437,-0.049260527,-0.055931274,-0.000958146,-0.026602857,0.006822455,0.015350093,-0.07263902,-0.0050859493,0.0018145029,0.063927196,-0.047168877,0.0055565876,0.012196783,-0.060370553,0.03297011,-0.04442039,-0.08665966,-0.024769135,0.0047234637,0.028491678,-0.032843195,-0.031148035,0.009208982,-0.023329662,0.093557864,-0.010194012,0.036437824,0.0036285152,0.031012526,0.014712642,0.027922789,-0.029322753,0.016571773,-0.0042710425,-0.0058075804,0.039929394,-0.02409958,0.025720026,-0.0036412892,-0.011089461
2025-11-08,generative ai certification online,Broad match,USA,1.4,4.199999999999999,0.0,3,Saturday,1,Nov,0,93,High,97.0,5.27,12.02,2.3978952727983707,1.598596848532247,1.998246060665309,-2.3978952727983707,-0.34255646754262425,0.0,-0.82491046,0.09214807,0.01635523,-0.34659675,0.3577175,0.030404108,0.052514654,-0.12432469,-0.0016192278,-0.058777813,-0.01864252,0.054475855,-0.074892014,0.036788523,-0.053122472,0.033134103,0.053191364,0.042393066,-0.013584238,-0.02459704,0.038473643,0.0156073235,-0.02659431,-0.017112546,0.05151265,-0.00071317743,0.0018435776,-0.03208812,-0.03859353,-0.0012570671,0.037770655,0.0040595196,0.045872536,0.029371746,-0.010025559,-0.020504808,0.0034053635,-0.02486192,-0.026911927,0.05793031,-0.01217861,-0.0050997613,0.022655537,-0.031142438,0.02488265,-0.02197773,-0.002327398,0.0026680753,0.006270807,0.010431825
2025-11-08,online course generative ai,Broad match,USA,1.58,7.9,0.0,5,Saturday,1,Nov,0,93,High,100.0,0.0,0.0,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,0.0,-0.78442425,0.35584044,-0.30367857,0.015267754,0.065327145,-0.1559841,0.1693611,-0.1863877,0.09615381,-0.06294642,-0.05642094,0.046646643,-0.06361056,-0.037947,-0.119817585,-0.0014619774,-0.050143924,0.025812607,-0.0053502163,0.030446945,-0.014958583,0.0020947172,0.028186956,-0.0029686627,0.02114338,0.0076547884,-0.012357598,-0.022033168,-0.031809065,-0.01412128,0.024177171,-0.014593985,0.00088182645,0.07434497,-0.028247217,0.01381456,-0.032687344,0.090565205,0.055319063,-0.051117126,-0.03748789,-0.021961873,-0.010461483,-0.027542984,-8.737404e-05,-0.01570537,-0.0044656573,0.008362867,0.042890996,-0.021350099
2025-11-08,professional ai certificate,Phrase match,USA,1.76,1.76,0.0,1,Saturday,1,Nov,0,93,High,93.0,5.68,15.38,3.4339872044851463,3.5271821585581997,2.670660697699399,0.2795848622191617,0.6304457398669595,0.0,-0.72273946,-0.44633102,0.04885184,-0.2959004,0.15643913,0.14425497,0.13473386,-0.06742963,0.073990375,-0.015164226,-0.056743138,-0.08129108,0.10704929,-0.019496746,-0.06437789,0.037576996,-0.018430596,-0.11358069,0.030512486,0.10802199,-0.032166153,0.01549492,-0.026620746,-0.04454265,-0.1375173,0.055058718,0.1163976,0.0515591,0.08146665,-0.008340916,-0.023523785,0.026440771,0.061677467,0.0062399334,0.009183785,-0.019806257,0.023560882,0.003260758,0.05404725,-0.020534866,-0.012877577,0.00036607214,-0.004771003,-0.027023979,-0.008719885,0.030161077,-0.015501316,0.022472812,-0.021235632,0.018341493
