Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Cost,llm_relevance_score,Clicks
Exact match,A,Saturday,1,Feb,0,9,2.3978952727983707,2.613437661106721,2.786119649721184,0.0,-0.08880787985886626,94.0,6.24,20.12,8.06,5.0,2
Exact match,USA,Sunday,1,Dec,0,64,2.3978952727983707,3.1743440266439973,2.863764525105746,0.0,0.1939881494775156,94.0,6.24,20.12,9.64,5.0,1
Exact match,USA,Monday,0,Jan,0,28,2.3978952727983707,2.8289800494150725,2.786119649721184,-0.6466271649250523,0.04429762080038381,94.0,6.24,20.12,51.36,5.0,4
Phrase match,B,Monday,0,Dec,0,70,6.78105762593618,6.823623343729193,6.806597056611989,0.12769715337904053,0.025539430675808276,80.0,8.52,38.89,3.54,4.0,2
Exact match,USA,Saturday,1,Mar,0,198,2.3978952727983707,2.3978952727983707,2.505666466952546,0.0,-0.018475061855001446,90.0,3.6,6.53,2.46,5.0,1
Broad match,B,Wednesday,0,Mar,0,208,3.9318256327243257,4.301345237025991,3.9608611748286227,-0.44685032427101845,0.20998832378928386,88.0,5.96,15.94,1.26,5.0,1
Exact match,A,Friday,0,Nov,0,80,6.78105762593618,8.997273026431634,8.946698877745918,-1.4135532112980265,0.10163944517921676,80.0,4.81,13.33,4.68,4.0,3
Exact match,A,Thursday,0,Jul,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,4.0,1
Exact match,USA,Tuesday,0,Jan,0,27,2.3978952727983707,2.3978952727983707,2.6134376611067216,0.0,-0.14780049484001193,57.0,5.72,9.94,6.84,4.0,1
Broad match,USA,Wednesday,0,Aug,0,47,7.783640596221253,7.783640596221253,8.085407037710755,0.0,-0.1088641169842231,18.0,1.43,7.34,7.32,5.0,1
Exact match,USA,Thursday,0,Dec,0,53,2.3978952727983707,3.1743440266439973,2.863764525105746,0.0,0.1939881494775156,94.0,6.24,20.12,39.08,5.0,4
Exact match,USA,Thursday,0,Jun,1,102,6.580639137284949,6.379440808265604,6.175723063002992,0.19882311987885082,0.13917131493703047,76.0,3.65,11.25,5.49,3.0,1
Phrase match,C,Saturday,1,Nov,0,72,7.3783837129967145,6.514364763991999,6.42974039052044,0.0,0.1413138721416397,88.0,4.0,12.65,0.52,2.0,1
Broad match,C,Sunday,1,Nov,0,92,3.9318256327243257,3.5271821585581997,3.503883420039937,0.2795848622191617,0.08387545866574778,88.0,5.96,15.94,6.460000000000001,5.0,19
Exact match,B,Friday,0,Aug,0,31,3.9318256327243257,3.563306712384019,3.433736163974295,0.21825356602001778,0.0950841922243826,92.0,6.62,30.09,1.72,5.0,2
Phrase match,USA,Sunday,1,Mar,0,204,3.4339872044851463,4.723049866069117,4.608703197179643,-0.19867069479548416,0.019602286095338543,94.0,6.51,16.04,7.47,4.0,1
Phrase match,USA,Monday,0,Nov,1,91,2.3978952727983707,3.3041656155645716,3.0775980298730214,-0.38946476676172326,0.19398814947751514,74.0,8.2,18.93,6.69,4.0,1
Broad match,A,Sunday,1,Sep,0,15,3.713572066704308,4.042110380829989,4.00573478649332,-0.33085424431698973,0.05008503767811635,74.0,5.23,13.36,34.6,5.0,10
Exact match,C,Tuesday,0,Nov,0,76,5.771441123130016,4.345406420199827,4.386769691779082,0.0,-0.09927185179021528,90.0,4.37,13.32,0.55,4.0,1
Broad match,USA,Thursday,0,Jul,0,67,4.2626798770413155,4.152395128935653,4.00573478649332,-0.33085424431698973,0.05651936215222877,80.0,5.35,22.88,14.65,5.0,1
Phrase match,USA,Saturday,1,Dec,0,51,2.3978952727983707,2.3978952727983707,2.505666466952546,0.0,-0.05542518556500439,51.0,4.64,14.89,52.36,4.0,28
