Campaign,Age,Clicks
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,18 - 24,0
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,25 - 34,0
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,35 - 44,0
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,45 - 54,0
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,55 - 64,0
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,65+,0
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,Unknown,0
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],18 - 24,16
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],25 - 34,40
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],35 - 44,32
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],45 - 54,30
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],55 - 64,11
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],65+,4
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Unknown,54
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],18 - 24,20
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],25 - 34,37
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],35 - 44,50
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],45 - 54,26
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],55 - 64,16
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],65+,4
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Unknown,54
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],18 - 24,60
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],25 - 34,83
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],35 - 44,65
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],45 - 54,28
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],55 - 64,12
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],65+,5
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],Unknown,99
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],18 - 24,5560
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],25 - 34,2336
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],35 - 44,2011
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],45 - 54,696
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],55 - 64,173
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],65+,160
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],Unknown,6268
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],18 - 24,20
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],25 - 34,71
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],35 - 44,116
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],45 - 54,77
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],55 - 64,40
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],65+,17
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],Unknown,165
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],18 - 24,1376
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],25 - 34,1677
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],35 - 44,1333
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],45 - 54,924
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],55 - 64,363
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],65+,265
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Unknown,1785
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],18 - 24,2924
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],25 - 34,2289
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],35 - 44,1561
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],45 - 54,881
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],55 - 64,314
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],65+,213
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Unknown,2682
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],18 - 24,785
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],25 - 34,1405
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],35 - 44,1315
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],45 - 54,1208
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],55 - 64,516
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],65+,417
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Unknown,1541
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],18 - 24,1933
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],25 - 34,3354
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],35 - 44,3878
