Campaign,Device,Clicks
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],"Computers
",402
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Mobile phones,75
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Tablets,3
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Mobile phones,68
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],"Computers
","3,942"
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Tablets,109
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],"Computers
","5,379"
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],Mobile phones,"15,281"
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,Mobile phones,0
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Tablets,123
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Tablets,414
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],"Computers
","1,863"
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],Mobile phones,133
Course - Generative AI - Run 5 - Search - Prospecting - B,Mobile phones,"3,976"
Course - Generative AI - Run 5 - Search - Prospecting - B,"Computers
",746
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],Mobile phones,102
Course - Generative AI - Run 5 - Search - Prospecting - USA,Mobile phones,"13,094"
Course - Generative AI - Run 5 - Search - Prospecting - A,Tablets,76
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Mobile phones,"5,974"
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Tablets,1
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],"Computers
",111
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],"Computers
","5,459"
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Mobile phones,"5,072"
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,Tablets,0
Course - Artificial Intelligence - Test - Search - Lead Gen - US and CA,"Computers
",0
Course - Generative AI - Run 5 - Search - Prospecting - B,Tablets,110
Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact],Tablets,68
Course - Generative AI - Run 5 - Search - Prospecting - USA,Tablets,355
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],"Computers
","13,516"
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],Tablets,5
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Mobile phones,"2,160"
Course - Generative AI - Run 5 - Search - Prospecting - A,Mobile phones,"3,025"
Course - Generative AI - Run 5 - Search - Prospecting - A,"Computers
","1,252"
Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad],Tablets,2
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Mobile phones,"3,122"
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Tablets,276
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],"Computers
",136
Course - Generative AI - Run 3 - Search - Lead Gen - C [broad],"Computers
",214
Course - Generative AI - Run 5 - Search - Prospecting - USA,"Computers
","9,599"
