Campaign,Targeted location,Clicks
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Australia,14
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Belgium,6
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Denmark,8
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],France,15
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Germany,13
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Ireland,2
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Israel,19
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Italy,15
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Japan,28
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Mexico,34
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Netherlands,4
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Norway,1
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Spain,14
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Sweden,1
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Switzerland,13
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Chile,3
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],China,9
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Taiwan,2
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Colombia,14
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Hong Kong,8
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Hungary,3
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Poland,3
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Portugal,2
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Romania,11
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Saudi Arabia,14
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Singapore,16
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],South Africa,15
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],United Arab Emirates,11
Course - Generative AI - Run 3 - Search - Lead Gen - B [broad],Turkiye,70
