Location,Region,Click_prop,Conv_rate,Purch_rate
"Alabama, United States",USA,0.003766478342749529,0.041666666666666664,0.000792137089407724
"Alaska, United States",USA,0.0003334902699309479,0.0,0.000792137089407724
Argentina,B,0.06124841864914067,0.02091183879093199,0.0
Aruba,B,3.085562652349656e-05,0.0,0.0
Australia,A,0.03140042953417759,0.02830188679245283,0.0004920002529564283
Austria,B,1.542781326174828e-05,0.0,0.0
Bahrain,B,0.0019747600975037797,0.0390625,0.0
Belgium,A,0.0023698437384284976,0.0078125,0.0004920002529564283
Bolivia,B,0.017633990558178284,0.03674540682414698,0.0
Bosnia and Herzegovina,B,0.00024684501218797246,0.0,0.0
Brazil,B,0.046807985436144284,0.02702702702702703,0.0
Brazil,C,0.04530587522713507,0.04144385026737968,0.0
"California, United States",USA,0.09531936597614564,0.02263840296357275,0.000792137089407724
Cambodia,B,0.037057607454719366,0.009159034138218152,0.0
Canada,A,0.06002369843738428,0.028997532387415176,0.0004920002529564283
Chile,B,0.01883735999259465,0.02375102375102375,0.0
China,A,0.01397837517588684,0.025165562913907286,0.0004920002529564283
China,B,0.1426147057916011,0.0073561228905235825,0.0
Colombia,B,0.007945323829800365,0.04275728155339806,0.0
"Colorado, United States",USA,0.008572661644695542,0.020594965675057208,0.000792137089407724
"Connecticut, United States",USA,0.008337256748273698,0.05176470588235294,0.000792137089407724
Costa Rica,B,0.005662007467061619,0.027247956403269755,0.0
Croatia,B,0.005708290906846864,0.016216216216216217,0.0
Denmark,A,0.01214544915944605,0.024390243902439025,0.0004920002529564283
Ecuador,B,0.02232404578974976,0.03455425017277125,0.0
El Salvador,B,0.004597488352000988,0.020134228187919462,0.0
Finland,A,0.00829445308449974,0.022321428571428572,0.0004920002529564283
"Florida, United States",USA,0.023913214061519146,0.022969647251845776,0.000792137089407724
France,A,0.0779456417092498,0.023510688836104514,0.0004920002529564283
Germany,A,0.07091016811079019,0.022715404699738904,0.0004920002529564283
Ghana,B,0.20417168070597674,0.03189058485718603,0.0
Greece,B,0.0012187972476781141,0.012658227848101266,0.0
Hong Kong,B,0.005584868400752878,0.019337016574585635,0.0
Iceland,A,0.0034807079908168556,0.015957446808510637,0.0004920002529564283
Iceland,B,0.00010799469283223796,0.14285714285714285,0.0
"Illinois, United States",USA,0.021264908976773383,0.01937269372693727,0.000792137089407724
