Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
ai certifications,0.8084734,-0.36934572,0.052864455,-0.24287662,-0.21995726,-0.026236871,-0.04872278,-0.21402581,0.10597453,0.06722967,0.041284896,0.0940454,-0.049344536,-0.029004937,-0.0011342856,-0.042996272,-0.02216704,0.018767297,-0.051885333,0.031038161,-0.027851343,0.008281069,-0.010667219,-0.02893903,-5.8666614e-05,0.018682009,0.03851262,-0.0022898116,0.0029603462,0.0074618678,0.002945831,0.0063346373,-0.032071505,-0.033224344,0.013063349,0.050713483,0.001896342,0.03696751,-0.030629702,-0.031822674,-0.004880399,0.027373543,0.014869624,0.0030419815,-0.024095211,0.013046953,0.029105574,0.017375676,-0.006611645,0.010303606
ai certification course,0.86035866,-0.38222668,0.20959175,-0.10715345,-0.07743381,0.05058563,-0.026689684,-0.113859646,-0.034189258,0.022080781,0.04017415,-0.010270415,-0.04222048,0.008115775,-0.006332911,-0.0045263474,0.012805317,-0.014785232,0.00729056,0.0749675,0.0064706504,-0.027761668,0.028723322,-0.0001556122,0.0033675008,0.013827168,0.004989189,-0.019441132,0.011421545,-0.039387975,-0.010488216,0.034615077,-0.03853572,-0.029406697,-0.062314697,-0.036605284,-0.00048624157,0.030961279,-0.005473526,-0.025504276,-0.0041946145,0.01397915,-0.04185513,-0.03351839,0.018242046,-0.017819103,-0.02968526,-0.060379956,0.039561477,-0.0206672
artificial intelligence online course,0.7557319,-0.15936254,0.3859555,0.053041577,0.3125912,0.014231652,0.15231602,0.028169086,0.1370806,-0.12119023,0.02616198,-0.043045,-0.050391898,0.07776287,-0.015263765,0.10850171,-0.017088184,0.04905531,-0.011303119,-0.034591135,-0.040281165,-0.006206679,-0.05037119,-0.037611604,-0.04952378,0.02371219,0.08423765,0.12937942,0.03356076,0.05556525,-0.040388267,-0.048092317,0.029394913,0.036997885,-0.020720506,0.0037327695,-0.06857226,0.019874485,0.003577804,0.052809533,-0.07598825,0.04757842,-0.018029328,-0.048942327,0.06968591,0.025683705,-0.03661839,0.0002540525,0.01791037,0.0051530376
machine learning certification,0.81573856,-0.04118734,-0.40465727,-0.20387205,-0.050152317,0.1915248,0.048408452,-0.062293082,-0.08273429,-0.019209027,-0.00011284401,0.054990478,-0.0139716435,-0.023817642,0.0041438923,-0.08518836,0.017444607,0.11517464,-0.009345284,0.035223074,-0.065963864,0.03966957,0.060149983,-0.031133384,0.039087255,0.01357009,0.05427261,-0.018984156,-0.03322339,-0.025993114,0.018905044,0.08438285,-0.071311906,-0.06636375,-0.009411974,-0.010699151,-0.018910555,-0.05077693,-0.039890803,0.045232635,-0.01211888,0.0018494551,0.009761997,-0.02341461,0.033764638,0.06307569,-0.03818735,0.004005018,0.0043497514,0.022608886
ai ml courses,0.8271877,-0.09104888,0.2615569,-0.16625282,0.061625525,-0.10726218,-0.010848889,-0.047931474,-0.21744783,-0.018164717,0.08817122,-0.01691209,0.18073536,-0.027555158,-0.15534934,0.06575645,0.021489903,0.026969751,0.1268065,-0.062280145,0.022495575,0.05548812,-0.056363013,0.09671929,-0.02870277,-0.012501058,-0.0961925,-0.007007345,-0.0029288898,0.03537565,0.0022256945,-0.043509047,0.0040901247,0.09867252,0.007608744,0.018375633,0.020621736,0.009337415,0.05126729,-0.020183502,-0.012100951,-0.030196209,-0.006692479,-0.027262433,-0.041123528,0.083942614,-0.012424001,-0.01808454,0.014544265,0.021611081
machine learning certificate,0.73962396,-0.15618128,-0.47342807,-0.12271247,-0.109656714,0.18448359,0.20334417,0.07824853,-0.025846953,-0.08674691,-0.124982,-0.1532649,-0.04030491,-0.0053830314,0.013962971,-0.033625077,0.031445432,-0.020203209,0.030118467,-0.092499964,-0.004790631,0.011749435,0.039172426,0.009198471,0.030034948,-0.04864577,-0.024131658,-0.01718225,-0.004180949,0.02000002,0.028514272,0.04798024,0.022258073,-0.025637625,0.013635506,0.03279693,0.025356064,-0.03302283,0.019846518,0.06869074,-0.0057188943,0.0068063485,-0.0628796,0.034621365,-0.010136932,0.020893484,-0.05741472,0.008171588,0.011012227,0.08199824
modeling and simulation course,0.5295513,0.25722235,0.4007082,0.3480163,-0.17599094,0.30856222,0.2408578,-0.12937398,-0.21091524,0.09314298,-0.052922044,-0.08968539,0.06818006,0.018329004,-0.020802433,-0.08329478,0.047655746,-0.06166918,-0.04638944,0.11831562,0.063479036,0.020976089,-0.0005259044,0.06505789,0.065662116,0.02690515,-0.011317679,0.00013781214,0.11828676,-0.01621757,0.025613775,0.034600276,0.017578902,-0.0044072308,0.020483542,-0.035163395,-0.085234985,-0.010175739,-0.04631493,-0.01846473,-0.073315665,0.045116805,-0.0077327336,-0.045781758,-0.11540738,0.0013421834,-0.03201896,0.07332438,-0.014236221,-0.030108942
computational engineering,0.5084635,0.3491036,0.17529514,0.16180158,-0.2585832,0.08840799,-0.18029824,-0.04569661,0.29411688,0.12890832,-0.020216858,-0.06411578,-0.041147273,0.15203618,-0.15160462,0.18148002,0.27220303,0.3213019,-0.10351721,-0.13320175,-0.09672115,-0.09374302,0.041920453,-0.07947014,0.015400539,-0.007557779,-0.06354566,-0.041018583,-0.022141354,-0.054250978,0.048646294,0.025516296,-0.010211929,0.011288991,0.11917046,-0.021349423,-0.030634768,-0.011044611,-0.006958171,-0.006486927,0.004957687,-0.044016644,-0.008814551,-0.005726534,-0.008377918,-0.01882916,-0.035447102,-0.01769128,0.007931026,-0.019970462
ai and machine learning courses,0.8422776,-0.04985057,0.2649209,-0.1867974,0.24853526,0.019234536,-0.150059,-0.0691541,-0.14345494,-0.0025332647,-0.039840106,-0.09780824,0.05794658,0.0933873,0.013367359,0.02308125,-0.017391983,0.005116375,-0.038348414,0.020323846,0.070423506,0.0059979125,0.012132453,0.019392492,0.03050973,0.0120262895,0.039352916,0.006491458,-0.07988582,0.0036185666,0.06787559,0.024045527,0.052840006,0.013884922,0.07435617,0.05250271,0.024872702,-0.04806146,-0.051491193,-0.021183627,0.04800757,-0.013041768,0.06696878,0.034091838,-0.009348017,-0.0022032368,0.0062122946,0.015798384,-0.034548204,0.0080854185
mit xpro machine learning,0.675168,0.30787954,-0.1581939,0.0023223392,-0.014245064,-0.27464607,0.039646838,0.12923248,-0.0038568834,-0.054266993,0.09473315,-0.055885315,-0.016149858,-0.26644215,0.084779486,0.20319648,0.037681013,0.042132143,-0.07858452,0.07915231,-0.024031373,0.018903714,0.045473848,0.21523829,0.3047037,-0.019113697,0.0123038115,0.07636929,-0.094642386,0.03171086,-0.03337186,-0.0017632239,0.045931965,-0.0028870923,0.038113892,-0.03641703,-0.0049956506,0.11488957,-0.024932802,0.029682407,0.010827621,0.0020325745,-0.015976436,-0.00907214,0.008890867,-0.0065207263,0.0023591393,-0.0103979735,-0.0029228807,-0.0083503425
