Day,Search keyword,Search keyword match type,Campaign,Clicks,Conv. value,Currency code,Cost
2021-01-01,Machine learning degree,Phrase match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,2.32
2021-01-01,Udemy Machine Learning,Exact match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.21
2021-01-01,Stanford Machine Learning,Exact match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.76
2021-01-01,Machine Learning,Phrase match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.85
2021-01-01,''machine learning models'',Broad match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,2,0.00,USD,1.83
2021-01-01,''weka machine learning'',Broad match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.86
2021-01-01,artificial intelligence certification,Broad match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,1.33
2021-01-01,machine learning certificate,Broad match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.37
2021-01-01,Machine learning degree,Broad match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.77
2021-01-01,Machine learning masters,Broad match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.87
2021-01-01, +Machine +Learning,Broad match,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.37
2021-01-01,Machine learning for scientists,Broad match,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.37
2021-01-01,''machine learning models'',Broad match,Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,3,0.00,USD,9.02
2021-01-01,Machine Learning,Exact match,Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,4,0.00,USD,10.20
2021-01-01,Machine Learning,Broad match,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,2,0.00,USD,0.88
2021-01-01,Simulation Principles,Broad match,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.17
2021-01-01, +learn +artificial +intelligence,Broad match,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.45
2021-01-01,''MIT machine learning certificate'',Broad match,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.41
2021-01-01,''MIT xpro machine learning'',Broad match,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,0.33
2021-01-01,deep learning python,Broad match,Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,1.78
2021-01-01,machine learning certificate,Broad match,Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,2.92
2021-01-01,Machine learning degree,Broad match,Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,1,0.00,USD,1.60
2021-01-01,Machine learning masters,Broad match,Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,2,0.00,USD,4.49
