Campaign,Age,Clicks
Lifetime Campaign - Machine Learning  - A (Run 1),18 - 24,0
Lifetime Campaign - Machine Learning  - A (Run 1),25 - 34,0
Lifetime Campaign - Machine Learning  - A (Run 1),35 - 44,0
Lifetime Campaign - Machine Learning  - A (Run 1),45 - 54,0
Lifetime Campaign - Machine Learning  - A (Run 1),55 - 64,0
Lifetime Campaign - Machine Learning  - A (Run 1),65+,0
Lifetime Campaign - Machine Learning  - A (Run 1),Unknown,0
Lifetime Campaign - Machine Learning  - C (SU21 / Run 4),18 - 24,0
Lifetime Campaign - Machine Learning  - C (SU21 / Run 4),25 - 34,0
Lifetime Campaign - Machine Learning  - C (SU21 / Run 4),35 - 44,0
Lifetime Campaign - Machine Learning  - C (SU21 / Run 4),45 - 54,0
Lifetime Campaign - Machine Learning  - C (SU21 / Run 4),55 - 64,0
Lifetime Campaign - Machine Learning  - C (SU21 / Run 4),65+,0
Lifetime Campaign - Machine Learning  - C (SU21 / Run 4),Unknown,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,18 - 24,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,25 - 34,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,35 - 44,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,45 - 54,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,55 - 64,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,65+,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,Unknown,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,18 - 24,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,25 - 34,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,35 - 44,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,45 - 54,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,55 - 64,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,65+,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Unknown,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,18 - 24,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,25 - 34,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,35 - 44,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,45 - 54,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,55 - 64,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,65+,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,Unknown,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022 #2,18 - 24,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022 #2,25 - 34,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022 #2,35 - 44,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022 #2,45 - 54,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022 #2,55 - 64,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022 #2,65+,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022 #2,Unknown,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),18 - 24,1331
Program - MLx - Run 13 - Search - Lead Gen - A (broad),25 - 34,934
Program - MLx - Run 13 - Search - Lead Gen - A (broad),35 - 44,342
Program - MLx - Run 13 - Search - Lead Gen - A (broad),45 - 54,237
Program - MLx - Run 13 - Search - Lead Gen - A (broad),55 - 64,122
Program - MLx - Run 13 - Search - Lead Gen - A (broad),65+,104
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Unknown,1008
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),18 - 24,707
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),25 - 34,2612
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),35 - 44,994
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),45 - 54,663
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),55 - 64,257
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),65+,219
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Unknown,2167
Program - MLx - Run 13 - Search - Lead Gen - B (broad),18 - 24,1573
Program - MLx - Run 13 - Search - Lead Gen - B (broad),25 - 34,773
Program - MLx - Run 13 - Search - Lead Gen - B (broad),35 - 44,294
Program - MLx - Run 13 - Search - Lead Gen - B (broad),45 - 54,182
Program - MLx - Run 13 - Search - Lead Gen - B (broad),55 - 64,81
Program - MLx - Run 13 - Search - Lead Gen - B (broad),65+,35
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Unknown,1021
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),18 - 24,1279
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),25 - 34,4507
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),35 - 44,1431
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),45 - 54,881
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),55 - 64,345
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),65+,234
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Unknown,4655
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),18 - 24,1354
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),25 - 34,786
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),35 - 44,433
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),45 - 54,281
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),55 - 64,132
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),65+,164
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),Unknown,484
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),18 - 24,1284
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),25 - 34,3762
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),35 - 44,2320
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),45 - 54,1599
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),55 - 64,747
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),65+,628
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Unknown,3817
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),18 - 24,0
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),25 - 34,464
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),35 - 44,310
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),45 - 54,215
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),55 - 64,84
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),65+,85
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),Unknown,547
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),18 - 24,0
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),25 - 34,86
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),35 - 44,64
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),45 - 54,53
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),55 - 64,30
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),65+,16
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),Unknown,133
Program - MLx - Run 15 - Search - Prospecting - A,18 - 24,2669
