Campaign,Device,Clicks
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Computers,2485
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Mobile phones,1527
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Tablets,66
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Computers,5434
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Mobile phones,2077
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),Tablets,108
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Computers,1891
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Mobile phones,2009
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Tablets,59
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Computers,7354
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Mobile phones,5820
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Tablets,158
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),Computers,2504
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),Mobile phones,1067
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),Tablets,63
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Computers,10942
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Mobile phones,3050
Program - MLx - Run 13 - Search - Lead Gen - USA (exact),Tablets,165
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),Computers,1290
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),Mobile phones,402
Program - MLx - Run 13 - Search - Lead Gen - USA (phrase),Tablets,13
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),Computers,262
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),Mobile phones,117
Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs),Tablets,3
Program - MLx - Run 15 - Search - Prospecting - A,Computers,3598
Program - MLx - Run 15 - Search - Prospecting - A,Mobile phones,2460
Program - MLx - Run 15 - Search - Prospecting - A,Tablets,105
Program - MLx - Run 15 - Search - Prospecting - B,Computers,3490
Program - MLx - Run 15 - Search - Prospecting - B,Mobile phones,6452
Program - MLx - Run 15 - Search - Prospecting - B,Tablets,105
Program - MLx - Run 15 - Search - Prospecting - USA,Computers,7237
Program - MLx - Run 15 - Search - Prospecting - USA,Mobile phones,3009
Program - MLx - Run 15 - Search - Prospecting - USA,Tablets,126
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Computers,1819
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Mobile phones,884
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Tablets,24
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Computers,1312
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Mobile phones,1328
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Tablets,36
Program - MLx - Run 9 - Search - Lead Gen - US,Computers,3095
Program - MLx - Run 9 - Search - Lead Gen - US,Mobile phones,1252
Program - MLx - Run 9 - Search - Lead Gen - US,Tablets,40
