Campaign,Hour of the day,Clicks
Program - MLx - Run 13 - Search - Lead Gen - A (broad),0,210
Program - MLx - Run 13 - Search - Lead Gen - A (broad),1,192
Program - MLx - Run 13 - Search - Lead Gen - A (broad),2,198
Program - MLx - Run 13 - Search - Lead Gen - A (broad),3,187
Program - MLx - Run 13 - Search - Lead Gen - A (broad),4,154
Program - MLx - Run 13 - Search - Lead Gen - A (broad),5,153
Program - MLx - Run 13 - Search - Lead Gen - A (broad),6,146
Program - MLx - Run 13 - Search - Lead Gen - A (broad),7,145
Program - MLx - Run 13 - Search - Lead Gen - A (broad),8,137
Program - MLx - Run 13 - Search - Lead Gen - A (broad),9,187
Program - MLx - Run 13 - Search - Lead Gen - A (broad),10,227
Program - MLx - Run 13 - Search - Lead Gen - A (broad),11,234
Program - MLx - Run 13 - Search - Lead Gen - A (broad),12,241
Program - MLx - Run 13 - Search - Lead Gen - A (broad),13,233
Program - MLx - Run 13 - Search - Lead Gen - A (broad),14,214
Program - MLx - Run 13 - Search - Lead Gen - A (broad),15,189
Program - MLx - Run 13 - Search - Lead Gen - A (broad),16,203
Program - MLx - Run 13 - Search - Lead Gen - A (broad),17,169
Program - MLx - Run 13 - Search - Lead Gen - A (broad),18,179
Program - MLx - Run 13 - Search - Lead Gen - A (broad),19,123
Program - MLx - Run 13 - Search - Lead Gen - A (broad),20,121
Program - MLx - Run 13 - Search - Lead Gen - A (broad),21,110
Program - MLx - Run 13 - Search - Lead Gen - A (broad),22,75
Program - MLx - Run 13 - Search - Lead Gen - A (broad),23,51
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),0,300
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),1,374
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),2,325
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),3,367
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),4,357
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),5,343
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),6,321
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),7,321
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),8,373
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),9,414
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),10,444
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),11,414
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),12,343
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),13,283
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),14,331
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),15,331
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),16,303
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),17,300
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),18,239
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),19,229
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),20,241
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),21,280
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),22,205
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),23,181
Program - MLx - Run 13 - Search - Lead Gen - B (broad),0,113
Program - MLx - Run 13 - Search - Lead Gen - B (broad),1,81
Program - MLx - Run 13 - Search - Lead Gen - B (broad),2,110
Program - MLx - Run 13 - Search - Lead Gen - B (broad),3,91
Program - MLx - Run 13 - Search - Lead Gen - B (broad),4,104
Program - MLx - Run 13 - Search - Lead Gen - B (broad),5,119
Program - MLx - Run 13 - Search - Lead Gen - B (broad),6,146
Program - MLx - Run 13 - Search - Lead Gen - B (broad),7,179
Program - MLx - Run 13 - Search - Lead Gen - B (broad),8,217
Program - MLx - Run 13 - Search - Lead Gen - B (broad),9,240
Program - MLx - Run 13 - Search - Lead Gen - B (broad),10,275
Program - MLx - Run 13 - Search - Lead Gen - B (broad),11,256
Program - MLx - Run 13 - Search - Lead Gen - B (broad),12,220
Program - MLx - Run 13 - Search - Lead Gen - B (broad),13,224
Program - MLx - Run 13 - Search - Lead Gen - B (broad),14,178
Program - MLx - Run 13 - Search - Lead Gen - B (broad),15,198
Program - MLx - Run 13 - Search - Lead Gen - B (broad),16,150
Program - MLx - Run 13 - Search - Lead Gen - B (broad),17,170
Program - MLx - Run 13 - Search - Lead Gen - B (broad),18,196
Program - MLx - Run 13 - Search - Lead Gen - B (broad),19,147
Program - MLx - Run 13 - Search - Lead Gen - B (broad),20,162
Program - MLx - Run 13 - Search - Lead Gen - B (broad),21,143
Program - MLx - Run 13 - Search - Lead Gen - B (broad),22,116
Program - MLx - Run 13 - Search - Lead Gen - B (broad),23,124
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),0,477
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),1,434
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),2,514
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),3,493
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),4,461
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),5,498
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),6,541
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),7,592
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),8,714
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),9,803
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),10,801
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),11,769
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),12,629
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),13,573
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),14,511
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),15,499
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),16,536
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),17,487
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),18,535
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),19,504
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),20,531
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),21,538
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),22,510
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),23,382
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),0,140
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),1,105
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),2,102
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),3,80
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),4,44
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),5,63
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),6,49
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),7,60
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),8,93
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),9,172
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),10,220
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),11,210
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),12,180
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),13,210
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),14,243
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),15,195
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),16,221
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),17,202
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),18,167
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),19,166
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),20,159
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),21,180
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),22,176
Program - MLx - Run 13 - Search - Lead Gen - USA (broad),23,197
