Campaign,Targeted location,Clicks
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Switzerland,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,United Arab Emirates,0
Program - MLx - Run 9 - Search - Lead Gen - US,United States,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Denmark,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Croatia,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"New Hampshire, United States",0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Croatia,0
Program - MLx - Run 14 - Search - Prospecting - B,Qatar,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Germany,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Morocco,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Poland,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Vermont, United States",0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Russia,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Thailand,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,South Africa,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Peru,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Washington, United States",0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Bolivia,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Florida, United States",0
Program - MLx - Run 14 - Search - Prospecting - B,Hong Kong,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Russia,0
Program - MLx - Run 14 - Search - Prospecting - A,Japan,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Singapore,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Colombia,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Colombia,0
Program - MLx - Run 13 - Search - Lead Gen - A (broad),Netherlands,0
Program - MLx - Run 14 - Search - Prospecting - B,Indonesia,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,France,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Brazil,0
Program - MLx - Run 14 - Search - Prospecting - A,Spain,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Ghana,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"California, United States",0
Program - MLx - Run 14 - Search - Prospecting - A,Canada,0
Lifetime Campaign - Machine Learning  - C (SU21 / Run 4),Brazil,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),South Africa,0
Program - MLx - Run 13 - Search - Lead Gen - B (broad),Ecuador,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,Australia,0
Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022,Bahrain,0
Program - MLx - Run 14 - Search - Prospecting - A,France,0
Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,South Korea,0
Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,"Alaska, United States",0
Program - MLx - Run 14 - Search - Prospecting - B,United Arab Emirates,0
Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase),France,0
Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase),Indonesia,0
Program - MLx - Run 14 - Search - Prospecting - B,Poland,0
Program - MLx - Run 9 - Search - Lead Gen - B/Developing,Colombia,0
Program - MLx - Run 9 - Search - Lead Gen - A/Developed,United Kingdom,0
