Campaign,Age,Clicks
*Lifetime - Quantum -  B/Developing (Run 9) Mobile,18 - 24,0
*Lifetime - Quantum -  B/Developing (Run 9) Mobile,25 - 34,0
*Lifetime - Quantum -  B/Developing (Run 9) Mobile,35 - 44,0
*Lifetime - Quantum -  B/Developing (Run 9) Mobile,45 - 54,0
*Lifetime - Quantum -  B/Developing (Run 9) Mobile,55 - 64,0
*Lifetime - Quantum -  B/Developing (Run 9) Mobile,65+,0
*Lifetime - Quantum -  B/Developing (Run 9) Mobile,Unknown,0
*Lifetime - Quantum - A/Developed (Run 10) #3,18 - 24,0
*Lifetime - Quantum - A/Developed (Run 10) #3,25 - 34,0
*Lifetime - Quantum - A/Developed (Run 10) #3,35 - 44,0
*Lifetime - Quantum - A/Developed (Run 10) #3,45 - 54,0
*Lifetime - Quantum - A/Developed (Run 10) #3,55 - 64,0
*Lifetime - Quantum - A/Developed (Run 10) #3,65+,0
*Lifetime - Quantum - A/Developed (Run 10) #3,Unknown,0
*Lifetime - Quantum - A/Developed (Run 9) Mobile,18 - 24,0
*Lifetime - Quantum - A/Developed (Run 9) Mobile,25 - 34,0
*Lifetime - Quantum - A/Developed (Run 9) Mobile,35 - 44,0
*Lifetime - Quantum - A/Developed (Run 9) Mobile,45 - 54,0
*Lifetime - Quantum - A/Developed (Run 9) Mobile,55 - 64,0
*Lifetime - Quantum - A/Developed (Run 9) Mobile,65+,0
*Lifetime - Quantum - A/Developed (Run 9) Mobile,Unknown,0
*Lifetime - Quantum - C/India (Run 9) Mobile,18 - 24,0
*Lifetime - Quantum - C/India (Run 9) Mobile,25 - 34,0
*Lifetime - Quantum - C/India (Run 9) Mobile,35 - 44,0
*Lifetime - Quantum - C/India (Run 9) Mobile,45 - 54,0
*Lifetime - Quantum - C/India (Run 9) Mobile,55 - 64,0
*Lifetime - Quantum - C/India (Run 9) Mobile,65+,0
*Lifetime - Quantum - C/India (Run 9) Mobile,Unknown,0
*Lifetime - Quantum - US (Run 10) #3,18 - 24,0
