Campaign,Conversion action,Age,All conv.
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,18 - 24,2.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,25 - 34,5.87
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,35 - 44,16.53
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,45 - 54,10.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,55 - 64,3.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Unknown,11.60
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,18 - 24,2.20
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,25 - 34,4.96
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,35 - 44,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,45 - 54,2.40
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,Unknown,5.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,18 - 24,4.93
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,25 - 34,8.50
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,35 - 44,18.10
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,45 - 54,12.60
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,55 - 64,10.35
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,65+,4.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,Unknown,32.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,25 - 34,2.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,35 - 44,2.50
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,45 - 54,3.66
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Unknown,7.00
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,25 - 34,2.40
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,35 - 44,3.13
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,45 - 54,1.13
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Unknown,2.00
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,25 - 34,9.05
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,35 - 44,10.30
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,45 - 54,6.00
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Unknown,12.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,18 - 24,1.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,25 - 34,2.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,35 - 44,6.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,45 - 54,6.50
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,Unknown,9.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,25 - 34,3.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,45 - 54,1.50
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,Unknown,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,18 - 24,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,25 - 34,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,35 - 44,9.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,45 - 54,9.92
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,55 - 64,3.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Unknown,22.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,18 - 24,2.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,25 - 34,9.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,35 - 44,6.68
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,45 - 54,4.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,55 - 64,1.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Unknown,5.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,18 - 24,9.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,25 - 34,27.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,35 - 44,21.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,45 - 54,34.63
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,55 - 64,8.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,65+,1.50
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,Unknown,45.00
