Campaign,Conversion action,Device,All conv.
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Computers,40.15
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Mobile phones,7.85
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,idimension - Purchase,Tablets,1.00
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,Computers,11.17
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,idimension - Purchase,Mobile phones,4.38
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,Computers,74.85
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,Mobile phones,14.63
*Program - Quantum Computing - Run 17 - Search - Lead Gen - US,idimension - Purchase,Tablets,1.00
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Computers,12.70
*Quantum Computing Program - xPRO - A - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Mobile phones,2.46
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Computers,6.09
*Quantum Computing Program - xPRO - B - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Mobile phones,2.57
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Computers,32.60
*Quantum Computing Program - xPRO - US - AW Lead Gen - Run 13 - 1T2023,idimension - Purchase,Mobile phones,4.75
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,Computers,19.50
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,Mobile phones,3.00
Program - Quantum Computing - Run 22 - Search - Product Page - US + Canada,idimension - Purchase,Tablets,2.00
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,Computers,6.34
Program - Quantum Computing - Run 22- Search - Product Page - A/Developed,idimension - Purchase,Mobile phones,0.16
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Computers,33.92
Program - Quantum Computing - Run 23 - Search - Lead Gen - A/Developed,idimension - Purchase,Mobile phones,12.00
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Computers,22.57
Program - Quantum Computing - Run 23 - Search - Lead Gen - B/Developing,idimension - Purchase,Mobile phones,5.12
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,Computers,122.88
Program - Quantum Computing - Run 23 - Search - Lead Gen - US + Canada,idimension - Purchase,Mobile phones,23.74
