Campaign,Targeted location,Clicks
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Australia,1980
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Austria,474
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Belgium,766
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Canada,5029
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Denmark,490
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Finland,589
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,France,2925
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Germany,3647
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Hong Kong,1756
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Iceland,48
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Ireland,564
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Italy,3882
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Japan,1226
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Netherlands,1601
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,New Zealand,304
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Norway,422
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Spain,3126
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Sweden,616
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,Switzerland,744
*Program - Quantum Computing - Run 17 - Search - Lead Gen - A/Developed,United Kingdom,4512
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Argentina,1449
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Armenia,103
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Brazil,3975
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Chile,415
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,China,189
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Colombia,714
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Costa Rica,93
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Ecuador,226
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Ghana,1138
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Guatemala,42
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Honduras,28
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Hungary,167
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,India,42739
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Indonesia,1076
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Jordan,128
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Kuwait,52
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Malaysia,443
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Mexico,684
*Program - Quantum Computing - Run 17 - Search - Lead Gen - B/Developing,Oman,54
