Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
university undergraduate courses,0.6038226,-0.3667269,-0.1221636,0.0120260585,-0.01451961,0.02975768,0.41200185,-0.07991618,0.1923946,-0.05632793,-0.34030834,0.07538362,-0.13306636,-0.034021698,-0.09300518,-0.09451285,-0.12440341,0.019876795,-0.0040535224,0.026723094,0.0037302019,0.029167382,-0.001214704,-0.07285964,-0.06863354,0.040993247,0.057064496,-0.081105046,0.040064543,-0.027749972,-0.050713487,0.093043506,0.048316613,-0.007106855,0.099608056,-0.009453691,-0.040857043,-0.07558661,0.043488987,0.10167878,-0.014880632,0.05603144,0.03923253,0.07518538,-0.016207132,0.038980935,-0.022762598,-0.013814852,-0.02789683,-0.109762475
engineering study,0.6813882,0.17472571,-0.20280403,-0.14739488,0.04813214,-0.036449213,0.12736197,0.3609424,-0.104728185,-0.24450484,0.00283601,-0.1655735,-0.033765912,0.09665866,-0.18062793,0.03198977,-0.0039207814,0.08520525,0.03745729,0.030787831,-0.042908538,0.087123744,0.048969552,-0.026830014,0.09251506,0.104652606,-0.06253244,-0.10828132,-0.04017534,0.0075929426,-0.0548395,-0.010543539,0.0092947045,0.11000844,-0.0064829215,-0.04427935,-0.12782791,0.09534891,0.006239063,-0.06067526,-0.030192563,-0.10537242,0.02517794,0.07732281,-0.04142461,-0.10528782,-0.10609395,0.019192593,-0.014100095,-0.034161817
modern enterprise architecture,0.43602815,0.28090236,0.10528891,0.070357144,-0.31903386,0.21589898,-0.23738903,-0.02813678,-0.07370309,-0.10281493,-0.21120378,-0.17777972,-0.07251076,0.20225647,-0.11204424,-0.10573011,0.0293185,0.078262985,0.050297838,-0.0063885404,0.20033178,-0.14115648,0.008625247,-0.1898589,-0.053993963,-0.14022125,0.07838425,-0.03727943,-0.077640824,-0.08482335,-0.04836203,0.16217875,0.017185682,0.14195257,0.084425785,0.14249109,0.08741924,-0.061787516,-0.058550715,-0.13963455,0.18581715,-0.024501799,0.02723959,0.01200764,-0.052916873,-0.0024015275,0.12671141,0.14716576,-0.09148351,0.04906777
mbse training,0.50088763,-0.036607638,0.044963725,-0.17010549,0.036536075,0.035060726,-0.08896378,0.10615666,0.73841065,-0.032804057,0.23436002,-0.14425088,-0.1042195,-0.090613864,-0.02300658,0.11433742,-0.06916458,0.038235616,0.05528436,0.07431431,0.029522156,0.009700186,-0.016763099,0.09773149,-0.027790684,0.0077961725,-0.016054874,0.011646327,-0.045243967,-0.03635092,0.03497647,-0.022072347,-0.04176605,-0.03546033,-0.011852592,0.018333616,0.019639058,0.011603149,-0.010198525,-0.0004742043,0.050945904,-0.0075936746,-0.01793627,0.010461158,-0.030404493,0.011834236,-0.0050041163,0.009954821,-0.0051743663,0.0008443776
msc engineering,0.7887047,0.043678425,-0.14201984,-0.216486,-0.1608994,-0.08948362,0.1470208,0.14298889,0.041942492,-0.14212504,0.12856188,-0.060630247,-0.11088314,0.05587799,-0.040830486,-0.15081076,-0.06522215,0.06819963,-0.093311965,0.0005770965,-0.03929853,0.015818417,0.014169817,-0.08877439,-0.12408315,0.13803148,-0.04590752,-0.0013198507,-0.12967683,0.0259437,-0.081069864,-0.1517903,-0.023008328,0.06237076,-0.004834934,0.085743144,-0.097514085,-0.011522413,-0.008024003,-0.006065569,0.005326217,-0.02041897,0.061671074,-0.073584296,-0.0393917,-0.023892837,-0.06471638,0.034892805,0.033446364,0.007479112
mit systems engineering,0.7560584,0.3957822,0.19342946,-0.26110852,-0.026986275,0.11435214,0.11233716,-0.11064615,-0.10505342,0.08443288,0.10349224,0.16042824,0.12950452,-0.005630809,-0.090120114,0.03448186,-0.07226186,0.036686245,-0.005774113,-0.036215503,0.027950022,0.07431687,-0.00012396538,0.086206295,0.030526517,0.07050118,0.010003079,0.002609139,0.007432102,0.008151734,-0.019443212,0.017980155,-0.016919618,-0.040277064,0.050782505,0.07726039,0.005726934,0.012906644,0.026652021,-0.0037989817,-0.04965279,-0.012361234,0.0070693847,0.027464714,-0.003674869,0.025379566,-0.021377092,0.034345046,0.027861932,0.019798433
mit systems engineering masters,0.7932719,0.19609134,0.13846682,-0.21699001,-0.09840005,0.07095614,0.18819015,-0.18468055,-0.07495499,0.02346621,0.27960324,0.18256968,0.011100102,-0.05443785,0.030874928,-0.06838401,-0.02446503,0.06987699,-0.12703545,-0.06928299,0.08278164,0.0010242815,-0.0160389,0.04276597,0.015638167,-0.0059344238,0.05228292,-0.02099585,0.013119674,0.036034115,-0.0477935,0.00072484126,-0.0018351598,-0.07049947,-0.057716444,0.019198053,0.029169135,0.0029372913,0.018484239,0.005669447,-0.0020678404,-0.015994573,0.031184271,0.0046411967,0.009828027,0.022586128,0.0131383035,0.026036387,-0.010682663,0.008636279
mit architecture and systems engineering,0.67548686,0.4278103,0.22087742,-0.2255334,-0.17604633,0.21735442,0.019745855,-0.2802668,-0.09105924,-0.0031403955,-0.0047536665,0.08182943,0.027112562,0.044553597,-0.12893249,0.122879535,0.04867751,0.08277484,0.0070573566,0.0029644298,0.05663605,0.05649322,0.08158871,0.080035545,-0.015786681,-0.014731842,0.053920772,0.020359552,0.00089122826,-0.023446117,-0.009140193,-0.020680418,-0.0018093731,-0.052055083,-0.0071819145,0.07457954,0.044064227,0.053333137,-0.036468606,0.0023575246,-0.043011993,0.023221957,-0.0066884095,-0.04656776,0.024166621,-0.012616485,-0.023036744,0.013808662,0.017224157,-0.0015276248
mit online,0.5959593,-0.39506254,0.06609883,-0.23703533,-0.08961542,0.4556112,-0.010102007,-0.11132593,-0.15465926,0.112807654,0.15016116,0.14785656,0.18577401,-0.007881203,-0.12521374,-0.01068699,-0.15074147,0.013465515,0.13152964,-0.058391128,-0.023692703,0.023346983,-0.004288727,0.0054808324,0.087443486,0.014599183,0.024839452,0.02351531,-0.054967195,0.015010601,0.0002897193,-0.033965636,-0.00040287222,0.034163788,-0.004849492,0.006126125,-0.00041796576,0.028448211,0.030969227,-0.025784312,-0.0045024385,0.019282736,0.029242326,-0.00036074524,0.065536186,0.005316562,-0.0020466684,0.016431602,0.0044812253,0.03079144
mit ocw courses,0.60411626,-0.30978155,-0.011884677,-0.21163219,-0.023884611,0.20326757,0.29333538,-0.11760513,0.13533182,0.092623584,-0.22226605,0.060026713,0.1251657,-0.020843973,-0.0881288,-0.08919615,-0.019098446,0.013859464,0.007360513,-0.03861523,0.008138984,0.050903726,-0.10911152,-0.06448569,0.057958007,0.11688346,-0.16458651,0.2208831,0.05339175,-0.17648682,0.073856466,0.034206063,-0.042171568,-0.0070232996,-0.22300577,-0.05036892,-0.044702534,-0.029797196,-0.08262629,0.03920268,0.0742049,-0.049884353,-0.025772905,-0.028796388,-0.02215452,0.09030223,0.02002112,0.029463448,-0.026204085,0.029678289
