Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
systems engineering courses,Informational,210,"0.28,0.28,1.00,0.28,0.36,0.22,0.22,0.22,0.36,0.28,0.28,0.36",20,9.12,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches, Ads bottom"
course system engineering,Informational,140,"0.50,0.81,0.81,0.81,0.31,0.38,1.00,0.63,0.38,0.31,0.50,0.63",28,5.20,"AI Overview, Video, Video carousel, Related searches, Ads bottom"
systems engineering uiuc course map,Informational,110,"0.65,0.19,0.26,0.42,0.42,1.00,0.26,0.07,0.11,0.19,0.19,0.65",13,0.00,"Image pack, Video, Related searches"
system engineering courses,Informational,70,"1.00,0.64,0.52,0.00,0.05,0.41,0.29,0.23,0.64,0.64,0.64,0.41",21,6.14,"Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
uiuc systems engineering course map,"Navigational, Transactional",70,"0.64,0.21,0.50,0.50,0.64,1.00,0.35,0.14,0.28,0.50,0.50,0.64",30,0.00,"Image pack, Video, Related searches"
model based systems engineering course,Informational,50,"0.71,0.57,0.71,0.29,0.43,0.29,0.57,0.57,1.00,0.71,0.71,1.00",20,5.02,"Video, Related searches, Ads bottom"
systems engineering course,Informational,50,"0.06,0.36,0.13,0.36,0.36,0.49,0.49,0.28,0.49,0.49,1.00,1.00",21,9.12,"Sitelinks, Video, Video carousel, People also ask, Related searches, Ads bottom"
systems engineering courses online,Commercial,50,"0.56,0.21,0.21,1.00,0.33,0.44,0.79,0.79,0.33,0.33,0.21,0.21",29,10.10,"Sitelinks, AI Overview, Video, Related searches, Ads bottom"
systems engineering online course,Informational,50,"1.00,0.29,0.57,0.71,0.57,0.43,0.43,0.57,1.00,0.29,0.71,0.57",32,10.25,"Sitelinks, AI Overview, Video, Related searches, Ads bottom"
power system engineering courses,Informational,30,"0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.36",23,4.58,"AI Overview, Video, Video carousel, Related searches, Ads bottom"
system engineer course,"Informational, Transactional",30,"0.14,0.14,0.56,0.42,0.28,0.42,0.42,0.42,1.00,0.70,0.70,0.42",29,5.20,"Sitelinks, Video, Video carousel, Related searches, Ads bottom"
system engineering course,Informational,30,"0.32,0.21,0.09,0.09,0.32,0.09,0.21,0.32,1.00,0.56,0.21,0.09",32,9.12,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
systems engineer courses,Informational,30,"0.34,0.34,1.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.28,0.00",27,6.14,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
systems engineering course map,,30,"0.80,0.40,0.40,0.40,0.60,0.80,0.40,0.40,0.40,0.40,0.60,1.00",,0.00,
systems engineering online courses,Commercial,30,"1.00,0.39,0.39,0.80,0.39,0.59,0.39,0.39,0.59,0.39,0.39,0.39",24,10.10,"Sitelinks, Video, Related searches, Ads bottom"
computer systems engineering courses,,20,"0.67,0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.67",,0.00,
control system engineering training course,,20,"0.50,0.75,0.75,1.00,0.50,0.50,0.75,0.50,0.00,0.50,0.50,0.00",,0.00,
control systems engineering course,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,2.82,
control systems engineering course online,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,7.40,
control systems engineering online course,,20,"1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,
control systems engineering pe exam review course,,20,"1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,
digital systems engineering course,,20,"1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
electrical power systems engineering course,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,4.37,
embedded systems engineering courses,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,2.96,
free systems engineering courses,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,5.64,
incose systems engineering course,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,
jhu systems engineering courses,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
