Campaign,Device,Clicks
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Computers,54818
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Mobile phones,43752
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Computers,31996
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Mobile phones,19022
Program - SysEng - Run 21 - Search - Lead Gen - US,Computers,45470
Program - SysEng - Run 21 - Search - Lead Gen - US,Mobile phones,25339
Program - SysEng - Run 22 - Search - Lead Gen - A,Computers,5031
Program - SysEng - Run 22 - Search - Lead Gen - A,Mobile phones,2487
Program - SysEng - Run 22 - Search - Lead Gen - A,Tablets,88
Program - SysEng - Run 22 - Search - Lead Gen - B,Computers,5037
Program - SysEng - Run 22 - Search - Lead Gen - B,Mobile phones,3607
Program - SysEng - Run 22 - Search - Lead Gen - B,Tablets,125
Program - SysEng - Run 22 - Search - Lead Gen - C,Computers,5386
Program - SysEng - Run 22 - Search - Lead Gen - C,Mobile phones,8130
Program - SysEng - Run 22 - Search - Lead Gen - C,Tablets,98
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,Computers,15860
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,Mobile phones,8277
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,Tablets,225
Program - SysEng - Run 24 - Search - Remarketing - A,Computers,67
Program - SysEng - Run 24 - Search - Remarketing - A,Mobile phones,62
Program - SysEng - Run 24 - Search - Remarketing - A,Tablets,1
Program - SysEng - Run 24 - Search - Remarketing - B,Computers,114
Program - SysEng - Run 24 - Search - Remarketing - B,Mobile phones,91
Program - SysEng - Run 24 - Search - Remarketing - B,Tablets,1
Program - SysEng - Run 24 - Search - Remarketing - C,Computers,68
Program - SysEng - Run 24 - Search - Remarketing - C,Mobile phones,214
Program - SysEng - Run 24 - Search - Remarketing - C,Tablets,1
Program - SysEng - Run 24 - Search - Remarketing - US + CA,Computers,277
Program - SysEng - Run 24 - Search - Remarketing - US + CA,Mobile phones,133
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Computers,3198
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Mobile phones,2535
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Tablets,92
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Computers,4911
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Mobile phones,3704
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Tablets,122
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Computers,2566
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Mobile phones,3199
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Tablets,200
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Computers,4955
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Mobile phones,6112
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Tablets,180
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),Computers,2096
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),Mobile phones,6238
Program - SysEng - Run 25 - Search - Lead Gen - C (broad),Tablets,64
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),Computers,4214
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),Mobile phones,17334
Program - SysEng - Run 25 - Search - Lead Gen - C (exact + phrase),Tablets,132
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),Computers,5469
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),Mobile phones,3296
Program - SysEng - Run 25 - Search - Lead Gen - USA (broad),Tablets,105
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),Computers,10536
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),Mobile phones,7893
Program - SysEng - Run 25 - Search - Lead Gen - USA (exact),Tablets,226
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),Computers,841
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),Mobile phones,636
Program - SysEng - Run 25 - Search - Lead Gen - USA (phrase),Tablets,21
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),Computers,446
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),Mobile phones,266
Program - SysEng - Run 25 - Search - Lead Gen - USA (v2 test),Tablets,4
Program - SysEng - Run 27 - Search - Prospecting - A,Computers,5199
Program - SysEng - Run 27 - Search - Prospecting - A,Mobile phones,3013
Program - SysEng - Run 27 - Search - Prospecting - A,Tablets,69
Program - SysEng - Run 27 - Search - Prospecting - B,Computers,3301
Program - SysEng - Run 27 - Search - Prospecting - B,Mobile phones,5291
Program - SysEng - Run 27 - Search - Prospecting - B,Tablets,236
Program - SysEng - Run 27 - Search - Prospecting - C,Computers,3481
Program - SysEng - Run 27 - Search - Prospecting - C,Mobile phones,9147
Program - SysEng - Run 27 - Search - Prospecting - C,Tablets,119
Program - SysEng - Run 27 - Search - Prospecting - USA,Computers,11966
Program - SysEng - Run 27 - Search - Prospecting - USA,Mobile phones,4620
Program - SysEng - Run 27 - Search - Prospecting - USA,Tablets,148
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,Computers,3267
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,Mobile phones,1450
Program - SysEng - Run 27 - Search - Prospecting - USA - TEST: Brand Excluded + Targeting,Tablets,73
