Campaign,Conversion action,Hour of the day,All conv.
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,0,1.87
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,1,4.38
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,2,4.38
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,3,8.33
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,4,3.80
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,5,7.30
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,6,6.10
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,7,8.30
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,8,7.63
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,9,7.62
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,10,5.57
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,11,4.04
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,12,4.88
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,13,7.64
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,14,3.00
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,15,1.94
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,16,8.47
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,17,1.16
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,18,1.40
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,19,1.60
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,20,1.98
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,22,3.60
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Purchase,23,0.90
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,1,1.00
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,2,0.40
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,3,6.55
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,4,1.70
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,6,1.60
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,7,3.30
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,8,2.00
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,9,2.50
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,10,0.80
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,11,1.90
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,12,2.00
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,13,0.50
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,14,4.30
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,15,3.40
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,20,5.00
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,21,2.10
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,22,0.10
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Purchase,23,0.05
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,0,2.40
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,1,1.00
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,2,1.00
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,3,1.00
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,4,0.20
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,5,2.00
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,6,1.00
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,7,3.70
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,8,9.98
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,9,14.68
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,10,15.68
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,11,15.38
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,12,22.34
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,13,13.81
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,14,23.64
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,15,24.01
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,16,18.69
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,17,15.97
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,18,11.27
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,19,9.29
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,20,8.87
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,21,5.16
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,22,2.50
Program - SysEng - Run 21 - Search - Lead Gen - US,Purchase,23,0.40
Program - SysEng - Run 22 - Search - Lead Gen - A,Purchase,1,2.00
Program - SysEng - Run 22 - Search - Lead Gen - A,Purchase,2,1.00
Program - SysEng - Run 22 - Search - Lead Gen - A,Purchase,3,1.50
Program - SysEng - Run 22 - Search - Lead Gen - A,Purchase,4,1.59
Program - SysEng - Run 22 - Search - Lead Gen - A,Purchase,5,1.89
