Device report
1 June 2022 - 2 February 2026
Campaign,Targeted location,Clicks
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,France,"6,221"
Program - SysEng - Run 26 - Search - Prospecting - A,France,413
Program - SysEng - Run 22 - Search - Lead Gen - B,United Arab Emirates,362
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Colombia,243
Program - SysEng - Run 21 - Search - Lead Gen - US,"Maine, United States",251
Syseng - FL18 - Other B,Democratic Republic of the Congo,0
Syseng - FL18 - Other B,New Zealand,0
Syseng - FL18 - Other B,Mexico,0
System Engineering - SP19 - US - Broad,"Indiana, United States",0
Syseng - FL18 - Other B,Fiji,0
Syseng - FL18 - Other B,Turks and Caicos Islands,0
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Spain,"7,370"
Sysengx - Run 4 - Other A - Remarketing,Hong Kong,0
Program - SysEng - Run 26 - Search - Prospecting - B,Austria,21
Syseng - FL18 - Other A,Hong Kong,0
System Engineering - FL18 - Other A - Revamped,Netherlands,0
Syseng - FL18 - Other B,Colombia,0
System Engineering - SP19 - Other A - Broad,Canada,0
Syseng - FL18 - Other B,San Marino,0
Program - SysEng - Run 24 - Search - Remarketing - B,Poland,3
Syseng - FL18 - US,"Florida, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Illinois, United States","2,252"
Syseng - FL18 - Other B,Hungary,0
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Hungary,173
Program - SysEng - Run 24 - Search - Remarketing - US + CA,United States,292
System Engineering - SP19 - US - BMM,"Texas, United States",0
Program - SysEng - Run 26 - Search - Prospecting - B,Turkiye,807
Syseng - FL18 - Other B,Gibraltar,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Iowa, United States",457
System Engineering - FL18 - Other B - Revamped,Brazil,0
Sysengx - Run 4 - Other (SEM),Hong Kong,0
System Engineering - SP19 - Other B - Phrase,Mexico,0
Syseng - FL18 - Other B,Mongolia,0
Program - SysEng - Run 24 - Search - Remarketing - B,Taiwan,1
Sysengx - Run 4 - Other A - Remarketing,Austria,0
Sysengx3 - Run 2 - Text - US,United States,0
System Engineering - SP19 - Other B - BMM,Brazil,0
Program - SysEng - Run 22 - Search - Lead Gen - A,France,523
System Engineering - SP19 - US - Broad,"North Carolina, United States",0
Syseng - FL18 - Other B,Cyprus,0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Chile,145
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Iceland,390
System Engineering - FL18 - US - Revamped,"Virginia, United States",0
Program - SysEng - Run 25 - Search - Lead Gen - B (broad),Turkiye,"1,897"
System Engineering - SP19 - Other A - Broad,Australia,0
Syseng - FL18 - US,"Washington, United States",0
Program - SysEng - Run 22 - Search - Lead Gen - B,Saudi Arabia,595
Program - SysEng - Run 21 - Search - Lead Gen - US,"Colorado, United States","2,053"
Syseng - FL18 - Other B,Moldova,0
System Engineering - SP19 - Other A - Phrase,Switzerland,0
Program - SysEng - Run 22 - Search - Lead Gen - C,India,"12,279"
Syseng - FL18 - Other B,Kyrgyzstan,0
Syseng - FL18 - US,"Connecticut, United States",0
System Engineering - SP19 - Other A - Phrase,Australia,0
Program - SysEng - Run 26 - Search - Prospecting - A,Denmark,90
Program - SysEng - Run 22 - Search - Lead Gen - A,Sweden,207
Syseng - FL18 - Other B,Eswatini,0
Syseng - FL18 - Other B,Belize,0
Syseng - FL18 - Other B,Guadeloupe,0
Program - SysEng - Run 22 - Search - Lead Gen - US + CA,"Quebec City, Quebec, Canada",57
Syseng - FL18 - Other B,Palestine,0
Program - SysEng - Run 22 - Search - Lead Gen - A,Denmark,237
Syseng - FL18 - Other B,Lesotho,0
System Engineering - SP19 - US - Broad,"New Hampshire, United States",0
Program - SysEng - Run 21 - Search - Lead Gen - US,"North Carolina, United States","1,563"
Program - SysEng - Run 25 - Search - Lead Gen - A (exact + phrase),Belgium,191
Syseng - FL18 - Other A,Belgium,0
Syseng - FL18 - Other B,Benin,0
Program - SysEng - Run 24 - Search - Remarketing - B,Turkiye,97
Syseng - FL18 - Other B,French Guiana,0
System Engineering - SP19 - US - Broad,"Michigan, United States",0
System Engineering - SP19 - US - Broad,"Pennsylvania, United States",0
Program - SysEng - Run 22 - Search - Lead Gen - B,Hong Kong,182
Syseng - FL18 - US,"Massachusetts, United States",0
Syseng - FL18 - Other B,Guatemala,0
Systems Engineering Program - Run 3 - Other - Text,United Kingdom,0
Syseng - FL18 - Other B,Malta,0
Sysengx - Run 4 - Other (SEM),Australia,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Washington, United States","2,960"
Program - SysEng - Run 21 - Search - Lead Gen - US,"Oklahoma, United States",411
System Engineering - SP19 - Other A - Phrase,Canada,0
Program - SysEng - Run 25 - Search - Lead Gen - A (broad),Belgium,78
Program - SysEng - Run 21 - Search - Lead Gen - B/Developing,Hungary,"1,557"
System Engineering - SP19 - US - Exact,"Virginia, United States",0
Syseng - FL18 - Other B,Philippines,0
Program - SysEng - Run 22 - Search - Lead Gen - B,Poland,100
System Engineering - SP19 - US - Exact,"North Carolina, United States",0
Program - SysEng - Run 22 - Search - Lead Gen - A,Switzerland,167
System Engineering - SP19 - Other A - BMM,Japan,0
Syseng - FL18 - Other B,Indonesia,0
System Engineering - SP19 - US - Exact,"Texas, United States",0
Syseng - FL18 - Other B,Costa Rica,0
Syseng - FL18 - Other B,Panama,0
Program - SysEng - Run 24 - Search - Remarketing - A,Norway,2
System Engineering - SP19 - Other B - Broad,Chile,0
Syseng - FL18 - Other B,Guinea,0
System Engineering - SP19 - Other A - Broad,Italy,0
Program - SysEng - Run 21 - Search - Lead Gen - US,United States,902
Syseng - FL18 - Other B,Algeria,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Ohio, United States","1,514"
Sysengx - Run 4 - Other (SEM),Japan,0
Program - SysEng - Run 26 - Search - Prospecting - A,Australia,301
Program - SysEng - Run 21 - Search - Lead Gen - US,"Minnesota, United States","1,015"
System Engineering - SP19 - Other A - BMM,France,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Wyoming, United States",71
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Taiwan,194
Program - SysEng - Run 21 - Search - Lead Gen - US,"Louisiana, United States",357
System Engineering - SP19 - Other A - Broad,Japan,0
Program - SysEng - Run 22 - Search - Lead Gen - B,Austria,20
System Engineering - SP19 - Other A - Exact,Italy,0
Syseng - FL18 - Other B,Liberia,0
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),Poland,350
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Japan,"4,139"
System Engineering - FL18 - Other A - Revamped,Denmark,0
System Engineering - SP19 - Other A - Exact,Australia,0
Syseng - FL18 - Other B,Gabon,0
Syseng - FL18 - Other B,Bolivia,0
Program - SysEng - Run 21 - Search - Lead Gen - US,"Tennessee, United States",687
Program - SysEng - Run 21 - Search - Lead Gen - A/Developed,Canada,"14,163"
Program - SysEng - Run 25 - Search - Lead Gen - B (exact + phrase),South Africa,"2,611"
Syseng - FL18 - Other B,China,0
System Engineering - FL18 - Other A - Revamped,Spain,0
System Engineering - SP19 - Other A - Broad,Germany,0
System Engineering - SP19 - US - BMM,"Virginia, United States",0
Systems Engineering Program - Run 3 - Other - Text,Germany,0
