Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
system dynamics,0.41012642,0.5046823,0.38363796,0.118093416,0.18242675,-0.09760069,0.3844065,0.051397648,0.23054585,-0.03266511,-0.08074503,0.011127847,-0.0010790449,0.074710935,0.14373378,-0.05844151,0.15940188,-0.02930552,0.090680756,0.00821579,0.1266637,0.050844908,-0.012799784,0.016290324,-0.038156807,0.09628804,0.041809767,-0.019093202,-0.01393432,0.029148534,-0.084069334,0.010215021,-0.09982665,0.08133812,-0.07733603,-0.023888877,0.013463105,0.07019509,-0.10533989,-0.020588337,0.06550718,0.05276013,0.03703046,0.0053619775,-0.032675523,-0.018600268,0.049662657,-0.03134182,0.064367086,0.01784458
system engineering,0.7020469,0.19420353,0.46033475,0.047949813,-0.05087565,-0.040879145,-0.02999826,-0.1381893,-0.21651947,0.1229143,0.054869696,0.17458157,-0.1214885,0.1175744,-0.022819616,0.037011847,0.07483831,-0.060784396,-0.019758208,0.08150838,0.047657516,-0.08552137,0.070031315,-0.12281882,0.03630926,0.012861504,-0.02820711,-0.04134818,0.039186917,0.004645528,-0.11252619,-0.10333478,0.035828616,-0.04111623,0.030533776,0.06618407,0.012507916,0.030399071,0.06972836,-0.05084915,0.057220355,0.03629704,-0.03243012,-0.008279446,-0.006426616,0.032802846,-0.030610168,-0.06465144,0.027951369,-0.025847768
system thinking training,0.75824577,0.4025409,-0.23285198,0.06938009,-0.065262325,-0.10029532,-0.123052135,-0.0986594,0.037988715,-0.20490235,0.10577504,-0.04924626,-0.19742015,0.06452625,-0.050797038,0.083662234,-0.04034225,0.006892956,0.04052831,0.019026913,-0.043658417,0.102538496,0.046478193,0.06041738,0.06308174,0.06362565,0.06291819,-0.0008628709,-0.029351769,-0.03327307,0.002621533,0.008799283,0.006127933,-0.03181466,0.06262171,-0.013644104,-0.022819992,0.021402208,0.003532595,-0.071381375,-0.005162886,0.012266075,-0.03756109,-0.0072588297,-0.0010391505,-0.06673095,-0.031171985,-0.003305117,0.0013745943,-0.027631003
project management program,0.6425721,-0.40640548,0.030022735,0.44758105,-0.12479655,0.10395201,0.120413885,0.01936739,-0.09057639,-0.16580741,-0.15760414,0.053978343,0.002842456,0.02928375,-0.085479826,0.05021983,-0.014083354,-0.010224977,0.1397464,-0.070891835,-0.017503627,0.09768556,-0.03734388,-0.016461609,0.034930237,0.07113416,-0.06834049,-0.1345369,-0.07480632,0.059009735,-0.08701062,0.005430787,0.03547061,-0.04738158,-0.0040052594,-0.031653713,0.011205399,-0.049582746,0.06225842,0.05555645,0.030070249,0.034906253,0.022067243,-0.036784936,-0.016196568,0.023207286,-0.012628631,0.051741943,0.036151208,-0.015198781
logistics management,0.47815216,-0.28866738,0.09275012,0.048442096,0.29941896,-0.50077784,0.1602841,-0.24270865,-0.35968736,-0.10289158,-0.04518004,-0.058269024,0.1325539,0.011026881,0.030827643,0.06578059,0.030138813,0.09826592,-0.021945171,-0.13229762,0.096769296,-0.056357175,0.039412115,-0.024401972,-0.03356962,-0.0033850777,0.023595197,0.03439885,-0.017670013,0.011664551,0.02516574,0.05664134,-0.03980564,0.07889982,-0.019223832,0.040047526,-0.06861974,-0.02468908,0.06141165,0.085590094,0.012336889,0.0022919034,0.019783458,-0.036951862,0.042107124,0.007994404,0.007192496,0.02870513,0.04954007,0.0032279498
logistics online course,0.53112185,-0.27874115,-0.100473486,-0.24134357,0.60669893,-0.11229031,0.09275651,-0.042037074,-0.15140402,-0.035103597,-0.15927485,-0.19812992,0.1168521,0.063562915,-0.19057444,-0.019720353,0.015492769,0.10429357,-0.04002006,0.06552303,0.03323435,-0.054402128,0.033297848,-0.0047951243,-0.008919546,0.009207374,0.035232205,0.004569603,-0.0049982863,-0.025374014,-0.009368836,-0.009168346,-0.040299546,0.0031767616,-0.051119518,-0.029370463,-0.014907336,0.025811236,0.024454068,0.038356297,0.029195981,0.016060377,0.0234184,0.028425982,0.0182571,0.011038851,-0.016125612,-0.025358172,-0.019645879,0.029535687
project management training,0.63952,-0.4703429,-0.1871071,0.38777667,-0.05387079,0.11493773,0.06752759,-0.055299714,0.001971247,-0.14061943,-0.02569257,-0.05443961,-0.24745849,-0.014452694,0.060296476,0.07337441,-0.043356728,0.034157876,0.036691677,0.08498352,-0.055997364,0.06145938,0.020912211,0.06372174,0.013679931,0.12401613,-0.036775827,-0.030851454,-0.0016192449,-0.029580565,-0.08757637,-0.013106385,-0.01644112,0.0025141605,0.018213887,-0.008442013,0.012703459,0.009469893,-0.06778407,-0.055298902,0.012360405,0.028312497,0.04084003,0.009633099,-0.0073930854,-0.019245984,-0.028924258,-0.044921655,0.019329643,-0.04741029
pmp certification,0.40529722,-0.3309214,-0.15771574,-0.32126057,-0.06672821,-0.02005039,0.2090176,-0.22250341,0.088623285,-0.26868233,0.14518146,0.3189237,-0.10069098,-0.35984892,-0.046360385,-0.12937585,0.1118891,-0.21014494,0.058196496,-0.025902122,0.0076426994,-0.14746237,-0.15474254,-0.056412768,0.027302744,0.028430935,-0.028486922,0.055952106,-0.030164566,-0.050195437,-0.010353668,0.009760336,0.07578246,-0.034744866,-0.04973065,0.01613791,-0.002539331,-0.03308062,0.010539886,0.015831515,-0.027442709,-0.0421573,0.010994826,0.0021579617,0.0011339523,0.050850935,0.018566424,-0.029175354,0.04759026,0.009659684
product management training,0.5759574,-0.445873,0.08852014,0.052124772,-0.014307181,-0.452327,-0.33346918,0.18949524,0.13148387,-0.104125835,0.027121006,-0.073751785,-0.1415487,-0.031867687,0.05435541,0.0038017547,0.022623288,0.053673446,-0.010288148,0.0747256,-0.04576259,0.03456321,0.023405395,0.03438841,-0.011971523,0.089872874,-0.023818115,-0.0030338578,-0.025320884,-0.05586011,-0.06675955,0.0074003045,0.002543646,-0.005596712,0.039086334,-0.018796865,0.020362899,0.002165294,-0.06411104,-0.040484305,0.036511693,0.022415921,0.0024511528,0.022980014,-0.006466407,-0.008083453,-0.011132561,-0.07804325,0.018638244,-0.01947886
learn project management,0.6677957,-0.41762865,-0.16763756,0.4626054,-0.05482615,0.13003644,0.034728594,0.061618604,-0.009764758,-0.097420305,-0.06550115,-0.050936952,-0.119047,-0.035500135,0.07627162,0.027437413,-0.060619056,0.022108639,0.054852936,0.009815213,0.0973961,0.016762719,0.091077924,-0.023666268,0.005505804,0.016647581,-0.0030668166,-0.069455616,0.07767382,-0.004069987,0.0119849285,-0.05388261,0.011338408,0.07456497,-0.039618783,0.03719227,-0.0077350955,-0.028159006,-0.054912765,-0.008258336,0.00969277,0.041525505,0.07273042,-0.05806003,0.0031442055,0.06859976,-0.048681475,-0.009076719,0.06101474,-0.0078030084
