Keyword	Avg. monthly searches	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Searches: Mar 2022	Searches: Apr 2022	Searches: May 2022	Searches: Jun 2022	Searches: Jul 2022	Searches: Aug 2022	Searches: Sep 2022	Searches: Oct 2022	Searches: Nov 2022	Searches: Dec 2022	Searches: Jan 2023	Searches: Feb 2023	Searches: Mar 2023	Searches: Apr 2023	Searches: May 2023	Searches: Jun 2023	Searches: Jul 2023	Searches: Aug 2023	Searches: Sep 2023	Searches: Oct 2023	Searches: Nov 2023	Searches: Dec 2023	Searches: Jan 2024	Searches: Feb 2024	Searches: Mar 2024	Searches: Apr 2024	Searches: May 2024	Searches: Jun 2024	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026
360 learning	6600	Medium	48	2.370494	34.888852	12100	9900	9900	12100	9900	9900	22200	22200	18100	12100	18100	14800	18100	14800	14800	14800	12100	12100	18100	18100	9900	5400	6600	8100	8100	8100	9900	8100	9900	9900	9900	6600	6600	5400	6600	6600	6600	5400	5400	5400	6600	5400	8100	8100	6600	5400	6600	6600
4 week certificate programs online	2900	Medium	63	0.723695	11.91	3600	2900	2900	2900	2400	2400	1900	1600	1600	1900	3600	2400	2900	2400	3600	2900	2400	2900	2900	2400	3600	3600	2900	2400	2900	2900	2900	3600	4400	2400	2900	2400	1900	1600	2900	1900	1900	1900	2400	2400	2400	2900	2900	4400	3600	3600	3600	3600
absorb lms	6600	Medium	50	7.703416	500.746048	5400	4400	5400	5400	5400	6600	5400	5400	5400	4400	5400	5400	6600	5400	5400	5400	5400	5400	5400	5400	5400	4400	6600	6600	6600	6600	6600	8100	9900	6600	9900	9900	8100	6600	9900	6600	8100	8100	8100	8100	8100	6600	6600	8100	6600	5400	6600	6600
academy for systems change	50	Low	7	0.72	3.778	90	90	70	70	50	70	70	90	90	50	50	70	70	50	90	70	70	90	70	50	50	50	50	90	70	70	40	50	50	50	50	50	50	40	50	70	70	50	50	50	50	30	70	40	50	70	70	50
aconex course online	30	Medium	49	0.369074	3.508401	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30	20	30	20	40	40	20	50	70	70	70	50	110	70	30	40	20	30	20	20	30	20	10	20	20	20	30	30	40	40	40	40	70	50
advanced modeling	720	Low	10	0.08315	1.047135	480	480	480	480	480	480	480	480	480	480	590	480	480	590	590	390	480	480	480	480	590	480	590	480	480	590	590	480	590	480	480	590	590	720	880	720	720	590	590	590	590	590	1900	720	590	720	720	720
agile courses	1900	Medium	50	0.661181	4.939877	3600	2900	3600	2900	2900	3600	2900	2900	2900	2400	3600	2900	3600	2900	2900	2900	2900	2900	2900	2900	2900	2400	2900	2900	2900	2400	2900	2900	3600	2900	2900	2400	2900	2400	2400	2900	2900	2400	2400	1900	1900	1900	4400	1600	1300	1000	1300	1600
agile project	2900	Low	8	0.515488	5.27	5400	4400	4400	4400	3600	4400	4400	4400	4400	3600	4400	4400	5400	4400	4400	3600	3600	3600	4400	4400	5400	5400	4400	4400	4400	4400	3600	3600	3600	3600	3600	3600	3600	2900	4400	3600	3600	3600	3600	2900	2900	2400	3600	2900	2400	1900	2400	2400
agile project management	40500	Low	22	0.68361	5.81	74000	60500	74000	74000	60500	60500	60500	60500	60500	49500	74000	60500	74000	60500	74000	60500	60500	60500	60500	74000	60500	49500	74000	60500	60500	60500	60500	49500	49500	49500	49500	60500	49500	40500	49500	49500	49500	49500	40500	40500	40500	33100	40500	33100	33100	27100	33100	49500
agile project management course	2900	Low	31	1.32	9.340252	2900	2400	2900	2900	2900	2900	2900	2900	2900	2400	3600	2900	3600	2900	2900	2900	2900	3600	3600	3600	3600	2900	4400	3600	3600	3600	3600	2900	8100	6600	2900	2900	2900	2400	3600	4400	5400	3600	2900	2400	2400	1900	4400	1900	1600	1300	2400	2900
