Day,Search keyword,Search keyword match type,Campaign,Clicks,Currency code,Cost
2020-09-05,what is system thinking,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,5,USD,2.23
2020-09-05,system thinking training,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,5,USD,2.59
2020-09-05,project management program,Exact match,Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,2,USD,0.60
2020-09-05,technical problem solving,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,3,USD,0.50
2020-09-05,solve complex problems,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,2,USD,0.04
2020-09-05,system engineering,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,2,USD,10.64
2020-09-05,system dynamics,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,2,USD,5.17
2020-09-05,what is system engineering,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,1,USD,3.95
2020-09-05,system engineering online course,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,4,USD,13.34
2020-09-05,system architecture course,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,1,USD,1.48
2020-09-05,what is system thinking,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,5,USD,14.31
2020-09-05,system thinking training,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,7,USD,13.45
2020-09-05,product management course,Exact match,Course - System Thinking - Run 12 - Search - Lead Gen - US,1,USD,2.34
2020-09-05,project management program,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,2,USD,5.30
2020-09-05,product management training,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,2,USD,5.87
2020-09-05,pmp online course,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,1,USD,2.05
2020-09-05,product management course,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,2,USD,4.81
2020-09-05,product management program,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,1,USD,5.23
2020-09-05,technical product management,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,2,USD,3.94
2020-09-05,technical project management,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,2,USD,4.48
2020-09-05,technical problem solving,Broad match,Course - System Thinking - Run 12 - Search - Lead Gen - US,2,USD,1.92
2020-09-06,leadership development program,Broad match,Lifetime Campaign - Organizational Strategy  - US (Run 1),3,USD,3.45
2020-09-06,management certificate,Broad match,Lifetime Campaign - Organizational Strategy  - US (Run 1),30,USD,52.69
2020-09-06,online leadership program,Broad match,Lifetime Campaign - Organizational Strategy  - US (Run 1),2,USD,5.87
2020-09-06,online leadership certificate,Broad match,Lifetime Campaign - Organizational Strategy  - US (Run 1),1,USD,0.63
