Device report
All time
Campaign,Age,Clicks
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,45 - 54,31
Lifetime Campaign - Technical Innovation  - B (Run 1),18 - 24,120
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,55 - 64,527
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,65+,488
Lifetime Campaign - Leadership Principles  - C (Run 3),45 - 54,489
Lifetime Campaign - Organizational Strategy  - US (Run 1),Unknown,792
Course - System Thinking - Run 17 - Search - Prospecting - A,45 - 54,482
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,18 - 24,"1,774"
Course - System Thinking - Run 17 - Search - Prospecting - USA,35 - 44,962
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,18 - 24,"4,104"
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,25 - 34,154
Lifetime Campaign - Leadership Principles  - B (Run 3),35 - 44,"3,568"
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,65+,12
Lifetime Campaign - Leadership Principles  - US (Run 3),35 - 44,"1,282"
Course - System Thinking - Run 17 - Search - Prospecting - USA,18 - 24,637
Lifetime Campaign - Organizational Strategy  - C (Run 1),65+,0
Lifetime Campaign - Technical Innovation  - A (Run 1),18 - 24,63
Course - System Thinking - Run 17 - Search - Prospecting - B,Unknown,"1,529"
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,25 - 34,162
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,45 - 54,"1,275"
Lifetime Campaign - Technical Innovation  - C (Run 1),18 - 24,61
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,55 - 64,"1,228"
Lifetime Campaign - Technical Innovation  - A (Run 1),Unknown,85
Course - System Thinking - Run 12 - Search - Lead Gen - US,Unknown,"12,085"
Lifetime Campaign - Organizational Strategy  - B (Run 1),18 - 24,0
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,Unknown,"1,190"
Lifetime Campaign - Organizational Strategy  - US (Run 1),35 - 44,"1,154"
Lifetime Campaign - Technical Innovation  - US (Run 1),Unknown,352
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,65+,462
Lifetime Campaign - Technical Innovation  - B (Run 1),35 - 44,421
Course - System Thinking - Run 17 - Search - Prospecting - B,35 - 44,822
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,65+,238
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,18 - 24,149
Course - System Thinking - Run 17 - Search - Prospecting - USA,25 - 34,"1,040"
Lifetime Campaign - Technical Innovation  - C (Run 1),Unknown,166
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,18 - 24,209
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,35 - 44,71
Lifetime Campaign - Technical Innovation  - A (Run 1),65+,31
Lifetime Campaign - Leadership Principles  - US (Run 3),18 - 24,0
Lifetime Campaign - Organizational Strategy  - A (Run 1),45 - 54,282
Course - System Thinking - Run 17 - Search - Prospecting - B,25 - 34,"2,554"
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,35 - 44,326
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,35 - 44,522
Lifetime Campaign - Technical Innovation  - B (Run 1),55 - 64,70
Lifetime Campaign - Organizational Strategy  - A (Run 1),25 - 34,487
Lifetime Campaign - Organizational Strategy  - B (Run 1),55 - 64,214
Lifetime Campaign - Leadership Principles  - C (Run 3),18 - 24,0
Lifetime Campaign - Organizational Strategy  - A (Run 1),35 - 44,492
Lifetime Campaign - Leadership Principles  - C (Run 3),35 - 44,"1,084"
Course - System Thinking - Run 17 - Search - Prospecting - B,18 - 24,"4,014"
Lifetime Campaign - Organizational Strategy  - C (Run 1),35 - 44,482
Course - System Thinking - Run 17 - Search - Prospecting - A,55 - 64,180
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,25 - 34,552
Course - System Thinking - Run 17 - Search - Prospecting - USA,Unknown,"1,901"
Lifetime Campaign - Organizational Strategy  - B (Run 1),35 - 44,"1,234"
Course - System Thinking - Run 17 - Search - Prospecting - A,25 - 34,"1,412"
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,25 - 34,"1,973"
Lifetime Campaign - Leadership Principles  - C (Run 3),Unknown,"1,280"
Lifetime Campaign - Organizational Strategy  - US (Run 1),65+,0
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,45 - 54,"1,388"
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Unknown,"2,707"
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,Unknown,362
Course - System Thinking - Run 17 - Search - Prospecting - A,65+,81
Lifetime Campaign - Leadership Principles  - B (Run 3),45 - 54,"1,638"
Lifetime Campaign - Organizational Strategy  - C (Run 1),Unknown,376
Lifetime Campaign - Technical Innovation  - B (Run 1),65+,16
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,18 - 24,618
Lifetime Campaign - Organizational Strategy  - A (Run 1),Unknown,199
Lifetime Campaign - Technical Innovation  - C (Run 1),45 - 54,105
Course - System Thinking - Run 12 - Search - Lead Gen - US,65+,896
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,Unknown,338
Lifetime Campaign - Organizational Strategy  - C (Run 1),55 - 64,67
Course - System Thinking - Run 17 - Search - Prospecting - A,Unknown,"1,030"
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,65+,5
Lifetime Campaign - Leadership Principles  - B (Run 3),Unknown,"3,673"
Course - System Thinking - Run 12 - Search - Lead Gen - US,18 - 24,993
Course - System Thinking - Run 17 - Search - Prospecting - USA,45 - 54,698
Course - System Thinking - Run 17 - Search - Prospecting - B,65+,57
Lifetime Campaign - Organizational Strategy  - A (Run 1),18 - 24,0
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,35 - 44,608
Course - System Thinking - Run 12 - Search - Lead Gen - US,35 - 44,"10,013"
Lifetime Campaign - Technical Innovation  - US (Run 1),55 - 64,106
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,45 - 54,615
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,55 - 64,218
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Unknown,"13,634"
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,18 - 24,499
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,65+,143
Lifetime Campaign - Organizational Strategy  - C (Run 1),25 - 34,678
Course - System Thinking - Run 12 - Search - Lead Gen - US,55 - 64,"1,647"
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,55 - 64,10
Lifetime Campaign - Technical Innovation  - US (Run 1),35 - 44,486
Lifetime Campaign - Leadership Principles  - US (Run 3),65+,0
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,65+,51
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Unknown,"2,642"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,55 - 64,782
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,18 - 24,746
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,25 - 34,265
Lifetime Campaign - Technical Innovation  - A (Run 1),25 - 34,311
Lifetime Campaign - Technical Innovation  - C (Run 1),65+,11
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,55 - 64,143
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,18 - 24,"2,475"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,25 - 34,"1,502"
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,55 - 64,413
Lifetime Campaign - Organizational Strategy  - A (Run 1),65+,0
Lifetime Campaign - Leadership Principles  - C (Run 3),25 - 34,"1,857"
Lifetime Campaign - Leadership Principles  - A (Run 3),55 - 64,268
Lifetime Campaign - Leadership Principles  - A (Run 3),25 - 34,"1,226"
Leadership Principles - Targeting Engineers - US,35 - 44,0
Lifetime Campaign - Leadership Principles  - A (Run 3),35 - 44,"1,139"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,65+,542
Course - System Thinking - Run 17 - Search - Prospecting - USA,55 - 64,352
Leadership Principles - Targeting Engineers - US,18 - 24,0
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,45 - 54,356
Lifetime Campaign - Technical Innovation  - B (Run 1),45 - 54,214
Leadership Principles - Targeting Engineers - US,55 - 64,0
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,35 - 44,"1,158"
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Unknown,"2,897"
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,35 - 44,"2,073"
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,25 - 34,432
Lifetime Campaign - Leadership Principles  - A (Run 3),Unknown,"1,014"
Lifetime Campaign - Leadership Principles  - A (Run 3),45 - 54,744
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,65+,10
Lifetime Campaign - Technical Innovation  - A (Run 1),55 - 64,62
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,25 - 34,"15,300"
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,25 - 34,"3,317"
Lifetime Campaign - Leadership Principles  - A (Run 3),18 - 24,0
Lifetime Campaign - Leadership Principles  - A (Run 3),65+,0
Lifetime Campaign - Technical Innovation  - C (Run 1),35 - 44,237
Lifetime Campaign - Organizational Strategy  - C (Run 1),18 - 24,0
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,18 - 24,843
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,18 - 24,"1,390"
Leadership Principles - Targeting Engineers - US,Unknown,0
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,35 - 44,"2,119"
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,55 - 64,102
Lifetime Campaign - Leadership Principles  - C (Run 3),65+,0
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,45 - 54,"1,549"
Lifetime Campaign - Technical Innovation  - A (Run 1),45 - 54,129
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,55 - 64,30
Lifetime Campaign - Leadership Principles  - US (Run 3),45 - 54,933
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,35 - 44,178
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,25 - 34,"5,067"
