Device report
All time
Campaign,Conversion action,Age,Conversions
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,35 - 44,5.61
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,35 - 44,1.59
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,25 - 34,4.00
Lifetime Campaign - Organizational Strategy  - US (Run 1),Purchase,25 - 34,1.50
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,25 - 34,0.40
Lifetime Campaign - Organizational Strategy  - A (Run 1),Purchase,35 - 44,2.00
Lifetime Campaign - Organizational Strategy  - US (Run 1),Purchase,Unknown,3.00
Lifetime Campaign - Organizational Strategy  - B (Run 1),Purchase,35 - 44,0.40
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,45 - 54,5.10
Lifetime Campaign - Organizational Strategy  - US (Run 1),Purchase,45 - 54,4.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,Unknown,4.00
Lifetime Campaign - Organizational Strategy  - A (Run 1),Purchase,25 - 34,1.10
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,55 - 64,0.50
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,65+,1.00
Lifetime Campaign - Organizational Strategy  - US (Run 1),Purchase,35 - 44,2.40
