Device report
All time
Campaign,Device,Clicks
Lifetime Campaign - Technical Innovation  - A (Run 1),"Computers
",547
Course - System Thinking - Run 17 - Search - Prospecting - B,"Computers
","1,415"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Tablets,0
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Tablets,172
Lifetime Campaign - Technical Innovation  - B (Run 1),Mobile phones,905
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Tablets,0
Lifetime Campaign - Organizational Strategy  - C (Run 1),Tablets,0
Lifetime Campaign - Organizational Strategy  - C (Run 1),Mobile phones,"1,073"
Leadership Principles - Targeting Engineers - US,Mobile phones,0
Lifetime Campaign - Technical Innovation  - US (Run 1),"Computers
","1,142"
Lifetime Campaign - Leadership Principles  - B (Run 3),"Computers
","6,037"
Lifetime Campaign - Technical Innovation  - B (Run 1),Tablets,0
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Mobile phones,"9,425"
Lifetime Campaign - Technical Innovation  - C (Run 1),"Computers
",367
Lifetime Campaign - Leadership Principles  - US (Run 3),"Computers
","2,279"
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,Mobile phones,890
Lifetime Campaign - Leadership Principles  - A (Run 3),Mobile phones,"1,165"
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,"Computers
","6,867"
Lifetime Campaign - Organizational Strategy  - A (Run 1),Tablets,0
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,"Computers
",319
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,"Computers
",229
Lifetime Campaign - Technical Innovation  - B (Run 1),"Computers
",626
Lifetime Campaign - Organizational Strategy  - B (Run 1),"Computers
","1,597"
Lifetime Campaign - Leadership Principles  - US (Run 3),Mobile phones,"2,485"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,Mobile phones,"1,981"
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,"Computers
","2,421"
Course - System Thinking - Run 12 - Search - Lead Gen - US,"Computers
","29,049"
Lifetime Campaign - Organizational Strategy  - US (Run 1),Mobile phones,"1,564"
Lifetime Campaign - Organizational Strategy  - B (Run 1),Mobile phones,"2,993"
Course - System Thinking - Run 17 - Search - Prospecting - A,Mobile phones,"4,111"
Lifetime Campaign - Technical Innovation  - US (Run 1),Mobile phones,664
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,Mobile phones,851
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,"Computers
","27,891"
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,Tablets,6
Lifetime Campaign - Leadership Principles  - A (Run 3),"Computers
","3,226"
Lifetime Campaign - Organizational Strategy  - C (Run 1),"Computers
",753
Lifetime Campaign - Leadership Principles  - US (Run 3),Tablets,0
Lifetime Campaign - Technical Innovation  - A (Run 1),Tablets,0
Lifetime Campaign - Technical Innovation  - A (Run 1),Mobile phones,372
Lifetime Campaign - Leadership Principles  - A (Run 3),Tablets,0
