Campaign,Hour of the day,Clicks
Lifetime Campaign - Leadership Principles  - US (Run 3),0,198
Lifetime Campaign - Leadership Principles  - A (Run 3),0,126
Lifetime Campaign - Leadership Principles  - B (Run 3),0,975
Lifetime Campaign - Leadership Principles  - C (Run 3),0,232
Lifetime Campaign - Organizational Strategy  - US (Run 1),0,155
Lifetime Campaign - Organizational Strategy  - A (Run 1),0,51
Lifetime Campaign - Organizational Strategy  - C (Run 1),0,90
Lifetime Campaign - Organizational Strategy  - B (Run 1),0,116
Course - System Thinking - Run 12 - Search - Lead Gen - US,0,"1,491"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,0,"1,046"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,0,"1,675"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,0,225
Lifetime Campaign - Technical Innovation  - B (Run 1),0,38
Lifetime Campaign - Technical Innovation  - US (Run 1),0,69
Lifetime Campaign - Technical Innovation  - A (Run 1),0,27
Lifetime Campaign - Technical Innovation  - C (Run 1),0,51
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,0,330
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,0,288
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,0,557
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,0,311
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,0,104
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,0,24
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,0,73
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,0,88
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,0,52
Course - System Thinking - Run 17 - Search - Prospecting - USA,0,206
Course - System Thinking - Run 17 - Search - Prospecting - A,0,197
Course - System Thinking - Run 17 - Search - Prospecting - B,0,405
Lifetime Campaign - Leadership Principles  - US (Run 3),1,149
Lifetime Campaign - Leadership Principles  - A (Run 3),1,174
Lifetime Campaign - Leadership Principles  - B (Run 3),1,"1,062"
Lifetime Campaign - Leadership Principles  - C (Run 3),1,310
Lifetime Campaign - Organizational Strategy  - US (Run 1),1,180
Lifetime Campaign - Organizational Strategy  - A (Run 1),1,61
Lifetime Campaign - Organizational Strategy  - C (Run 1),1,128
Lifetime Campaign - Organizational Strategy  - B (Run 1),1,172
Course - System Thinking - Run 12 - Search - Lead Gen - US,1,"1,292"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,1,"1,378"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,1,"2,036"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,1,236
Lifetime Campaign - Technical Innovation  - B (Run 1),1,51
Lifetime Campaign - Technical Innovation  - US (Run 1),1,53
Lifetime Campaign - Technical Innovation  - A (Run 1),1,32
Lifetime Campaign - Technical Innovation  - C (Run 1),1,69
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,1,267
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,1,433
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,1,742
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,1,282
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,1,77
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,1,27
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,1,76
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,1,86
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,1,39
Course - System Thinking - Run 17 - Search - Prospecting - USA,1,195
Course - System Thinking - Run 17 - Search - Prospecting - A,1,248
Course - System Thinking - Run 17 - Search - Prospecting - B,1,440
Lifetime Campaign - Leadership Principles  - US (Run 3),2,113
Lifetime Campaign - Leadership Principles  - A (Run 3),2,214
Lifetime Campaign - Leadership Principles  - B (Run 3),2,"1,070"
Lifetime Campaign - Leadership Principles  - C (Run 3),2,349
Lifetime Campaign - Organizational Strategy  - US (Run 1),2,151
Lifetime Campaign - Organizational Strategy  - A (Run 1),2,68
Lifetime Campaign - Organizational Strategy  - C (Run 1),2,142
Lifetime Campaign - Organizational Strategy  - B (Run 1),2,217
Course - System Thinking - Run 12 - Search - Lead Gen - US,2,963
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,2,"1,728"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,2,"2,213"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,2,195
Lifetime Campaign - Technical Innovation  - B (Run 1),2,61
Lifetime Campaign - Technical Innovation  - US (Run 1),2,57
Lifetime Campaign - Technical Innovation  - A (Run 1),2,34
Lifetime Campaign - Technical Innovation  - C (Run 1),2,51
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,2,220
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,2,554
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,2,855
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,2,308
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,2,57
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,2,35
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,2,81
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,2,68
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,2,26
Course - System Thinking - Run 17 - Search - Prospecting - USA,2,114
Course - System Thinking - Run 17 - Search - Prospecting - A,2,263
Course - System Thinking - Run 17 - Search - Prospecting - B,2,472
Lifetime Campaign - Leadership Principles  - US (Run 3),3,93
Lifetime Campaign - Leadership Principles  - A (Run 3),3,238
Lifetime Campaign - Leadership Principles  - B (Run 3),3,"1,054"
Lifetime Campaign - Leadership Principles  - C (Run 3),3,281
Lifetime Campaign - Organizational Strategy  - US (Run 1),3,154
Lifetime Campaign - Organizational Strategy  - A (Run 1),3,87
Lifetime Campaign - Organizational Strategy  - C (Run 1),3,106
Lifetime Campaign - Organizational Strategy  - B (Run 1),3,218
Course - System Thinking - Run 12 - Search - Lead Gen - US,3,683
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,3,"2,247"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,3,"2,255"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,3,200
Lifetime Campaign - Technical Innovation  - B (Run 1),3,75
Lifetime Campaign - Technical Innovation  - US (Run 1),3,55
Lifetime Campaign - Technical Innovation  - A (Run 1),3,48
Lifetime Campaign - Technical Innovation  - C (Run 1),3,61
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,3,153
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,3,739
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,3,891
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,3,265
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,3,34
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,3,38
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,3,86
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,3,67
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,3,27
Course - System Thinking - Run 17 - Search - Prospecting - USA,3,92
Course - System Thinking - Run 17 - Search - Prospecting - A,3,286
Course - System Thinking - Run 17 - Search - Prospecting - B,3,454
Lifetime Campaign - Leadership Principles  - US (Run 3),4,100
Lifetime Campaign - Leadership Principles  - A (Run 3),4,259
Lifetime Campaign - Leadership Principles  - B (Run 3),4,"1,132"
Lifetime Campaign - Leadership Principles  - C (Run 3),4,298
Lifetime Campaign - Organizational Strategy  - US (Run 1),4,131
Lifetime Campaign - Organizational Strategy  - A (Run 1),4,84
Lifetime Campaign - Organizational Strategy  - C (Run 1),4,94
Lifetime Campaign - Organizational Strategy  - B (Run 1),4,259
Course - System Thinking - Run 12 - Search - Lead Gen - US,4,610
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,4,"2,636"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,4,"2,313"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,4,185
Lifetime Campaign - Technical Innovation  - B (Run 1),4,102
Lifetime Campaign - Technical Innovation  - US (Run 1),4,50
Lifetime Campaign - Technical Innovation  - A (Run 1),4,42
Lifetime Campaign - Technical Innovation  - C (Run 1),4,33
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,4,120
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,4,740
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,4,944
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,4,281
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,4,31
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,4,41
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,4,97
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,4,50
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,4,13
Course - System Thinking - Run 17 - Search - Prospecting - USA,4,75
Course - System Thinking - Run 17 - Search - Prospecting - A,4,269
Course - System Thinking - Run 17 - Search - Prospecting - B,4,486
Lifetime Campaign - Leadership Principles  - US (Run 3),5,96
Lifetime Campaign - Leadership Principles  - A (Run 3),5,286
Lifetime Campaign - Leadership Principles  - B (Run 3),5,"1,025"
Lifetime Campaign - Leadership Principles  - C (Run 3),5,334
Lifetime Campaign - Organizational Strategy  - US (Run 1),5,132
Lifetime Campaign - Organizational Strategy  - A (Run 1),5,85
Lifetime Campaign - Organizational Strategy  - C (Run 1),5,121
Lifetime Campaign - Organizational Strategy  - B (Run 1),5,259
Course - System Thinking - Run 12 - Search - Lead Gen - US,5,603
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,5,"2,548"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,5,"2,200"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,5,231
Lifetime Campaign - Technical Innovation  - B (Run 1),5,75
Lifetime Campaign - Technical Innovation  - US (Run 1),5,54
Lifetime Campaign - Technical Innovation  - A (Run 1),5,57
Lifetime Campaign - Technical Innovation  - C (Run 1),5,46
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,5,124
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,5,795
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,5,949
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,5,246
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,5,33
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,5,23
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,5,75
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,5,44
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,5,16
Course - System Thinking - Run 17 - Search - Prospecting - USA,5,81
Course - System Thinking - Run 17 - Search - Prospecting - A,5,314
Course - System Thinking - Run 17 - Search - Prospecting - B,5,465
Lifetime Campaign - Leadership Principles  - US (Run 3),6,124
Lifetime Campaign - Leadership Principles  - A (Run 3),6,276
Lifetime Campaign - Leadership Principles  - B (Run 3),6,898
Lifetime Campaign - Leadership Principles  - C (Run 3),6,296
Lifetime Campaign - Organizational Strategy  - US (Run 1),6,167
Lifetime Campaign - Organizational Strategy  - A (Run 1),6,77
Lifetime Campaign - Organizational Strategy  - C (Run 1),6,125
Lifetime Campaign - Organizational Strategy  - B (Run 1),6,249
Course - System Thinking - Run 12 - Search - Lead Gen - US,6,682
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,6,"2,367"
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,6,"2,285"
System Thinking Course - xPRO - C - Search Lead Gen - Run 6 - 2T2022,6,277
Lifetime Campaign - Technical Innovation  - B (Run 1),6,67
Lifetime Campaign - Technical Innovation  - US (Run 1),6,71
Lifetime Campaign - Technical Innovation  - A (Run 1),6,49
Lifetime Campaign - Technical Innovation  - C (Run 1),6,64
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,6,177
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,6,761
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,6,910
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,6,289
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,6,38
Course - System Thinking - Run 14 - Search - Lead Gen - A - Broad,6,27
Course - System Thinking - Run 14 - Search - Lead Gen - B - Broad,6,79
Course - System Thinking - Run 14 - Search - Lead Gen - C - Broad,6,38
Course - System Thinking - Run 16 - Search - Lead Gen - US - Phrase,6,18
Course - System Thinking - Run 17 - Search - Prospecting - USA,6,113
Course - System Thinking - Run 17 - Search - Prospecting - A,6,294
Course - System Thinking - Run 17 - Search - Prospecting - B,6,475
Lifetime Campaign - Leadership Principles  - US (Run 3),7,141
Lifetime Campaign - Leadership Principles  - A (Run 3),7,260
Lifetime Campaign - Leadership Principles  - B (Run 3),7,865
Lifetime Campaign - Leadership Principles  - C (Run 3),7,264
Lifetime Campaign - Organizational Strategy  - US (Run 1),7,172
Lifetime Campaign - Organizational Strategy  - A (Run 1),7,95
Lifetime Campaign - Organizational Strategy  - C (Run 1),7,110
Lifetime Campaign - Organizational Strategy  - B (Run 1),7,262
Course - System Thinking - Run 12 - Search - Lead Gen - US,7,"1,090"
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,7,"2,420"
