Campaign,Conversion action,Hour of the day,All conv.
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,0,0.40
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,0,2.00
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,0,0.03
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,0,2.00
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,0,1.00
Course - System Thinking - Run 17 - Search - Prospecting - B,Purchase,0,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,1,1.20
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,1,2.00
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,1,0.03
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,1,1.00
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Purchase,1,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Broad,Purchase,1,2.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,2,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,2,4.30
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,2,0.50
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,2,1.00
Course - System Thinking - Run 17 - Search - Prospecting - A,Purchase,2,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,3,3.90
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,3,1.57
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,3,2.50
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,3,1.00
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Purchase,3,1.00
Course - System Thinking - Run 17 - Search - Prospecting - A,Purchase,3,0.50
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,4,1.50
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,4,5.30
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,4,1.44
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,4,2.25
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,4,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,5,0.50
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,5,3.20
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,5,2.20
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,5,1.80
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,5,1.00
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,5,1.00
Course - System Thinking - Run 17 - Search - Prospecting - A,Purchase,5,2.00
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,6,3.00
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,6,1.30
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,6,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,6,3.20
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,6,1.00
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,6,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,7,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,7,4.00
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,7,3.50
Course - System Thinking - Run 16 - Search - Lead Gen - B - Exact & Phrase,Purchase,7,2.00
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,7,1.00
Course - System Thinking - Run 17 - Search - Prospecting - A,Purchase,7,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,8,3.90
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,8,3.00
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,8,1.00
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,8,2.00
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,8,5.50
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,9,1.50
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Purchase,9,5.97
Course - System Thinking - Run 12 - Search - Lead Gen - B/Developing,Purchase,9,2.30
Course - System Thinking - Run 16 - Search - Lead Gen - US - Exact,Purchase,9,3.00
Course - System Thinking - Run 16 - Search - Lead Gen - A - Exact & Phrase,Purchase,9,2.25
Course - System Thinking - Run 14 - Search - Lead Gen - C - Exact & Phrase,Purchase,9,1.00
Course - System Thinking - Run 17 - Search - Prospecting - USA,Purchase,9,2.00
Course - System Thinking - Run 17 - Search - Prospecting - A,Purchase,9,1.00
Course - System Thinking - Run 12 - Search - Lead Gen - US,Purchase,10,2.30
