Device report
All time
Campaign,Targeted location,Conversion action,Conversions
Lifetime Campaign - Organizational Strategy  - B (Run 1),Singapore,Purchase,0
Course - System Thinking - Run 12 - Search - Lead Gen - US,"California, United States",Purchase,0
Course - System Thinking - Run 12 - Search - Lead Gen - US,"Michigan, United States",Purchase,0
Lifetime Campaign - Organizational Strategy  - A (Run 1),United Kingdom,Purchase,0
Course - System Thinking - Run 12 - Search - Lead Gen - US,"New Jersey, United States",Purchase,0
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,United Kingdom,Purchase,0
Course - System Thinking - Run 12 - Search - Lead Gen - US,"New Mexico, United States",Purchase,0
Lifetime Campaign - Organizational Strategy  - US (Run 1),"Massachusetts, United States",Purchase,0
Course - System Thinking - Run 12 - Search - Lead Gen - US,"Louisiana, United States",Purchase,0
Lifetime Campaign - Organizational Strategy  - A (Run 1),Canada,Purchase,0
Course - System Thinking - Run 12 - Search - Lead Gen - US,"Massachusetts, United States",Purchase,0
Lifetime Campaign - Organizational Strategy  - US (Run 1),"Texas, United States",Purchase,0
Course - System Thinking - Run 12 - Search - Lead Gen - A/Developed,Sweden,Purchase,0
Course - System Thinking - Run 12 - Search - Lead Gen - US,"Florida, United States",Purchase,0
