Experiment - Budget comparison
4 April 2026 - 3 May 2026
Day,Search keyword match type,Campaign,Budget,Clicks,Currency code,Cost,Avg. CPC
2026-04-29,Broad match,Course - System Thinking - B - Broad - Experiment,14.47,5,USD,6.74,1.35
2026-04-30,Broad match,Course - System Thinking - B - Broad - Experiment,14.47,28,USD,32.53,1.16
2026-05-01,Broad match,Course - System Thinking - B - Broad - Experiment,14.47,92,USD,111.23,1.21
2026-05-02,Broad match,Course - System Thinking - B - Broad - Experiment,14.47,9,USD,13.03,1.45
2026-05-01,Phrase match,Course - System Thinking - B - Phrase - Experiment,22.93,1,USD,2.14,2.14
2026-04-28,Broad match,Course - System Thinking - USA - Broad - Experiment,129.15,22,USD,111.88,5.09
2026-04-29,Broad match,Course - System Thinking - USA - Broad - Experiment,129.15,21,USD,86.91,4.14
2026-04-30,Broad match,Course - System Thinking - USA - Broad - Experiment,129.15,21,USD,95.57,4.55
2026-05-01,Broad match,Course - System Thinking - USA - Broad - Experiment,129.15,38,USD,130.39,3.43
2026-05-02,Broad match,Course - System Thinking - USA - Broad - Experiment,129.15,86,USD,133.17,1.55
2026-05-03,Broad match,Course - System Thinking - USA - Broad - Experiment,129.15,35,USD,35.28,1.01
2026-04-28,Broad match,Course - System Thinking - A - Broad - Experiment,135.36,1,USD,0.08,0.08
2026-04-29,Broad match,Course - System Thinking - A - Broad - Experiment,135.36,46,USD,143.44,3.12
2026-04-30,Broad match,Course - System Thinking - A - Broad - Experiment,135.36,35,USD,101.88,2.91
2026-05-01,Broad match,Course - System Thinking - A - Broad - Experiment,135.36,43,USD,134.63,3.13
2026-05-02,Broad match,Course - System Thinking - A - Broad - Experiment,135.36,46,USD,160.01,3.48
2026-05-03,Broad match,Course - System Thinking - A - Broad - Experiment,135.36,50,USD,168.39,3.37
2026-04-28,Phrase match,Course - System Thinking - USA - Phrase - Experiment,135.61,27,USD,137.26,5.08
2026-04-29,Phrase match,Course - System Thinking - USA - Phrase - Experiment,135.61,26,USD,125.54,4.83
2026-04-30,Phrase match,Course - System Thinking - USA - Phrase - Experiment,135.61,15,USD,123.20,8.21
2026-05-01,Phrase match,Course - System Thinking - USA - Phrase - Experiment,135.61,27,USD,123.23,4.56
2026-05-02,Phrase match,Course - System Thinking - USA - Phrase - Experiment,135.61,3,USD,13.92,4.64
2026-05-03,Phrase match,Course - System Thinking - USA - Phrase - Experiment,135.61,6,USD,12.78,2.13
2026-04-28,Exact match,Course - System Thinking - A - Exact - Experiment,136.42,2,USD,6.48,3.24
2026-04-29,Exact match,Course - System Thinking - A - Exact - Experiment,136.42,4,USD,14.45,3.61
2026-05-01,Exact match,Course - System Thinking - A - Exact - Experiment,136.42,2,USD,5.94,2.97
2026-04-28,Phrase match,Course - System Thinking - A - Phrase - Experiment,136.43,1,USD,3.68,3.68
2026-04-29,Phrase match,Course - System Thinking - A - Phrase - Experiment,136.43,11,USD,37.50,3.41
2026-04-30,Phrase match,Course - System Thinking - A - Phrase - Experiment,136.43,22,USD,71.25,3.24
2026-05-01,Phrase match,Course - System Thinking - A - Phrase - Experiment,136.43,11,USD,30.81,2.80
2026-05-02,Phrase match,Course - System Thinking - A - Phrase - Experiment,136.43,18,USD,67.23,3.73
2026-05-03,Phrase match,Course - System Thinking - A - Phrase - Experiment,136.43,44,USD,224.22,5.10
2026-04-28,Exact match,Course - System Thinking - USA - Exact - Experiment,144.63,7,USD,41.66,5.95
2026-04-29,Exact match,Course - System Thinking - USA - Exact - Experiment,144.63,15,USD,94.19,6.28
2026-04-30,Exact match,Course - System Thinking - USA - Exact - Experiment,144.63,18,USD,95.43,5.30
2026-05-01,Exact match,Course - System Thinking - USA - Exact - Experiment,144.63,35,USD,152.65,4.36
2026-05-02,Exact match,Course - System Thinking - USA - Exact - Experiment,144.63,17,USD,71.18,4.19
2026-05-03,Exact match,Course - System Thinking - USA - Exact - Experiment,144.63,17,USD,82.57,4.86
