Feature,Mean_Abs_SHAP
num__Cost,2.4824007
cat__Region_B,1.4519775
cat__Match type_Broad match,0.40796354
cat__Region_USA,0.32389838
cat__Region_A,0.2595824
num__bert_35,0.13349456
cat__Match type_Exact match,0.118127376
num__bert_43,0.105995
num__bert_27,0.097531915
num__bert_39,0.082952455
num__bert_4,0.06526001
num__bert_30,0.052885707
num__bert_41,0.051989786
num__Competition (indexed value),0.045555506
num__bert_45,0.043621406
num__six_month_avg,0.04183037
num__bert_17,0.034367163
cat__month_Jul,0.03375435
num__bert_14,0.03169464
num__bert_44,0.029579487
num__bert_34,0.029267427
num__bert_15,0.028539492
num__bert_40,0.027242836
cat__month_Mar,0.023659715
num__mom_change,0.023131393
num__search_trend,0.02237664
cat__month_Apr,0.020890096
num__bert_7,0.020727077
num__days_to_next_course_start,0.019962229
num__bert_26,0.019879758
num__bert_2,0.01924696
num__three_month_avg,0.019132096
num__bert_3,0.019008033
num__bert_47,0.018432396
num__bert_21,0.015630107
num__bert_0,0.01407587
num__bert_9,0.012234504
num__bert_10,0.011544657
cat__month_Jan,0.010877826
num__bert_22,0.010196835
num__bert_20,0.0072197323
cat__month_Jun,0.0059681935
num__bert_25,0.005808187
cat__month_Aug,0.0056934366
num__bert_29,0.0036192182
num__bert_46,0.0035159974
num__bert_11,0.0032855654
cat__month_Sep,0.0022312596
num__bert_5,0.0017266714
num__bert_18,0.0016881782
num__bert_19,0.0014625511
num__bert_8,0.0014174089
num__last_month_searches,0.0012684873
num__bert_23,0.00070122664
num__bert_36,0.00043772883
cat__month_Feb,0.00032260126
num__Top of page bid (low range),0.0
num__bert_6,0.0
num__bert_1,0.0
num__is_public_holiday,0.0
num__is_weekend,0.0
num__Top of page bid (high range),0.0
num__bert_37,0.0
num__bert_16,0.0
num__bert_13,0.0
num__bert_12,0.0
num__bert_33,0.0
num__bert_28,0.0
num__bert_31,0.0
num__bert_32,0.0
num__bert_24,0.0
num__bert_42,0.0
num__bert_38,0.0
cat__day_of_week_Saturday,0.0
cat__day_of_week_Monday,0.0
num__bert_48,0.0
num__bert_49,0.0
cat__day_of_week_Friday,0.0
cat__Match type_Phrase match,0.0
cat__month_Dec,0.0
cat__day_of_week_Thursday,0.0
cat__day_of_week_Tuesday,0.0
cat__day_of_week_Wednesday,0.0
cat__day_of_week_Sunday,0.0
cat__month_May,0.0
cat__month_Nov,0.0
cat__month_Oct,0.0
