Feature,Importance
Feature_66,0.17847992
Feature_11,0.11516821
Feature_20,0.096313566
Feature_65,0.08215351
Feature_62,0.06345839
Feature_67,0.05903984
Feature_46,0.03992313
Feature_17,0.032578852
Feature_26,0.029366195
Feature_39,0.0275998
Feature_28,0.020802394
Feature_63,0.018586414
Feature_42,0.018293703
Feature_22,0.017486837
Feature_43,0.015627567
Feature_4,0.015100401
Feature_57,0.013627408
Feature_5,0.012745763
Feature_19,0.011373058
Feature_16,0.010995299
Feature_51,0.009681953
Feature_76,0.0086721415
Feature_31,0.0077114087
Feature_2,0.006671275
Feature_34,0.005960116
Feature_18,0.005535208
Feature_6,0.0043512373
Feature_81,0.004269258
Feature_12,0.0042521995
Feature_70,0.0040215887
Feature_27,0.003968329
Feature_30,0.0037927285
Feature_15,0.0037501617
Feature_24,0.0036497004
Feature_32,0.0034870957
Feature_56,0.0033397616
Feature_14,0.0032642602
Feature_80,0.0029791985
Feature_82,0.0029643786
Feature_3,0.002691494
Feature_52,0.0026219208
Feature_75,0.002517136
Feature_7,0.0024854594
Feature_64,0.0024140615
Feature_23,0.0022957576
Feature_8,0.0022916729
Feature_37,0.0022274377
Feature_21,0.0022029018
Feature_53,0.0017062231
Feature_48,0.0012752491
Feature_54,0.001039001
Feature_60,0.0009752722
Feature_0,0.00069316674
Feature_13,0.00050537795
Feature_58,0.00046811177
Feature_74,0.00040811763
Feature_68,9.5157324e-05
Feature_69,4.4247383e-05
Feature_50,0.0
Feature_78,0.0
Feature_29,0.0
Feature_25,0.0
Feature_77,0.0
Feature_79,0.0
Feature_72,0.0
Feature_10,0.0
Feature_9,0.0
Feature_83,0.0
Feature_84,0.0
Feature_85,0.0
Feature_73,0.0
Feature_33,0.0
Feature_71,0.0
Feature_49,0.0
Feature_35,0.0
Feature_36,0.0
Feature_38,0.0
Feature_40,0.0
Feature_41,0.0
Feature_1,0.0
Feature_61,0.0
Feature_44,0.0
Feature_59,0.0
Feature_45,0.0
Feature_47,0.0
Feature_55,0.0
Feature_86,0.0
