Feature,Mean_Abs_SHAP
num__Cost,3.926424
cat__Region_C,1.6295964
cat__Match type_Broad match,0.85601044
num__bert_25,0.48463398
cat__Region_USA,0.46985924
num__days_to_next_course_start,0.3749639
cat__Region_B,0.32830968
num__Competition (indexed value),0.27632105
num__bert_33,0.2729951
num__bert_41,0.25765
num__bert_21,0.21409187
cat__Match type_Exact match,0.17930686
num__bert_37,0.17600822
num__bert_4,0.1516345
num__bert_15,0.093999356
num__bert_2,0.08693742
cat__Region_A,0.08390905
num__search_trend,0.07811606
cat__month_Oct,0.06429757
cat__month_Jul,0.06298697
num__bert_39,0.061485328
num__last_month_searches,0.06049499
num__Top of page bid (high range),0.06042894
num__bert_22,0.05770632
num__bert_32,0.055267997
num__bert_19,0.05104435
num__bert_0,0.047747426
num__bert_13,0.040893473
num__bert_17,0.03848561
cat__month_Jun,0.03753095
num__bert_48,0.032020133
num__bert_1,0.024574606
num__bert_18,0.023679387
num__bert_7,0.022541495
num__bert_45,0.020811664
num__three_month_avg,0.020649744
cat__month_Sep,0.019533718
num__bert_14,0.017627943
num__bert_29,0.016395805
cat__month_Jan,0.016238384
num__bert_24,0.016203716
num__bert_12,0.013658318
num__bert_40,0.010963111
num__mom_change,0.009738591
num__six_month_avg,0.008236377
num__bert_8,0.007958572
num__bert_3,0.0077686342
num__bert_31,0.007651151
num__bert_16,0.0064382893
num__bert_5,0.0058936174
num__bert_47,0.0041201836
num__is_weekend,0.0035651021
num__Top of page bid (low range),0.0033272004
num__bert_49,0.0032916944
num__bert_38,0.0029300537
num__bert_26,0.0024193667
num__bert_44,0.0023841264
cat__day_of_week_Thursday,0.0
cat__day_of_week_Tuesday,0.0
cat__day_of_week_Wednesday,0.0
cat__month_Apr,0.0
cat__month_Aug,0.0
cat__month_Nov,0.0
cat__month_Mar,0.0
cat__month_Dec,0.0
cat__day_of_week_Saturday,0.0
cat__month_Feb,0.0
num__bert_9,0.0
num__bert_6,0.0
cat__day_of_week_Sunday,0.0
num__bert_36,0.0
cat__day_of_week_Monday,0.0
cat__day_of_week_Friday,0.0
num__bert_10,0.0
num__bert_35,0.0
num__bert_20,0.0
cat__Match type_Phrase match,0.0
num__bert_23,0.0
num__bert_27,0.0
num__bert_46,0.0
num__bert_28,0.0
num__bert_43,0.0
num__bert_42,0.0
num__bert_30,0.0
num__is_public_holiday,0.0
num__bert_34,0.0
num__bert_11,0.0
