Feature,Importance
Region=C,0.3724483330024145
Competition (indexed value),0.09878925243203275
bert_38,0.09419180763784726
bert_42,0.061009322584846225
Avg_ monthly searches,0.03626290843029635
days_to_next_course_start,0.03574316769302315
bert_32,0.02867253082953694
Match type=Broad match,0.027616326694202265
bert_19,0.01629769768340439
bert_20,0.015714914238189062
bert_22,0.015374124486903376
Avg_ CPC,0.013221294564288059
bert_14,0.012213573679322553
Region=USA,0.011551981807816147
bert_6,0.01069160347677156
bert_1,0.00986064287623229
bert_49,0.00972176247997402
Match type=Phrase match,0.009346169905433013
bert_40,0.007367250521991201
Match type=Exact match,0.007327966843262107
bert_12,0.007152723550921194
month,0.006742385441345608
bert_10,0.006151352950648804
bert_4,0.005470114885873073
Region=A,0.005148750882783285
bert_2,0.005127110142820512
bert_9,0.0050301541831147874
bert_23,0.0050172670832818135
bert_45,0.004064030046079168
bert_33,0.004037712295774792
day_of_week=Tuesday,0.003879960701297435
bert_43,0.0037178022677275074
bert_35,0.003109309702265
bert_31,0.002765410804663055
bert_0,0.002508882172518939
bert_47,0.002239675427971125
Top of page bid (low range),0.0021429855147625395
YoY change,0.002029306665115655
bert_17,0.001846459163505966
bert_11,0.0018421349340277103
day_of_week=Saturday,0.0017975423558821992
bert_15,0.0016780804895040143
day_of_week=Friday,0.0016530298400660717
is_weekend,0.0013883204499996042
bert_3,0.0013856187375092814
bert_36,0.0013319125200548113
bert_26,0.0013097446138847447
bert_21,0.0012053294986851704
bert_30,0.0011682742171666054
bert_39,0.0011484504304129727
day_of_week=Wednesday,0.00112631666802247
day_of_week=Sunday,0.000930628641903272
bert_44,0.000922434134807942
bert_29,0.0009048853205883045
bert_46,0.0008880471094587848
bert_37,0.00086798007691987
bert_5,0.0007466478074225896
bert_41,0.000705679224833171
bert_18,0.0006891193198800294
bert_24,0.000654557966475146
bert_25,0.0005707127025279631
day_of_week=Monday,0.0005637603759230417
Region=B,0.0005413613690704907
day_of_week=Thursday,0.0004273190256629807
bert_8,0.0004067161763954401
bert_7,0.0003941627804483038
bert_48,0.0002949799130257895
bert_16,0.00025797642005877773
bert_28,0.00014595438872199712
bert_34,0.0001345031178876036
bert_13,0.00013189329570335547
is_public_holiday,6.597396001091781e-05
bert_27,5.901607644858412e-05
Three month change,3.7441665503891825e-05
Top of page bid (high range),1.9468624848611716e-05
