Keyword,Region,Match type,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai course curriculum generator,B,Broad match,0.12019641727062513,2.29778124638,1.736083499181973e-08,2.2977812,1.736083499181973e-08
ai course generator tool,B,Phrase match,1.7161165623268553,4.22568637108,2.4073857662597486,4.225686,2.9777677745812525e-07
ai course generators translation and localization,B,Broad match,1.7161165623237586,5.06379341448,2.4073853429620558,5.0637937,-2.447302049901623e-07
ai course script generator,B,Broad match,1.716116562326862,4.9049477062800015,2.407385297832736,4.904948,-5.282781039284146e-07
ai generator course,B,Phrase match,13.996116296137828,27.931076356680002,25.800001212865915,27.931072,4.121572580118027e-06
ai language course generator,B,Broad match,1.7161165623238865,4.737531226980001,2.407385391103536,4.737531,4.182985424705521e-08
ai mini course generator,B,Exact match,13.996116296137842,24.31966350988,22.830725297485287,24.319656,7.1378096890839515e-06
ai mini course generator,B,Broad match,13.996116296137828,30.76193813288,28.291167297003536,30.761932,5.759833126006697e-06
ai online course generator,B,Broad match,1.7161165623268406,6.84833933288,2.4073851245059767,6.8483396,-2.2476770489276987e-07
ai prompt generator course,B,Broad match,3.136116537247239,5.85206615618,3.2698129384828567,5.852066,1.1614093775591527e-07
ai systems for automatic welcome course generation,B,Phrase match,1.716116562326743,4.258050883980001,2.40738567230245,4.258051,-3.459910047354242e-08
ai systems refine customize generated courses editing tools,B,Phrase match,1.7161165623266297,4.42546736328,2.4073856982409376,4.4254675,-1.2786990222224404e-07
ai training course generator,B,Phrase match,1.7161165623268548,4.627985288580001,2.4073853988247516,4.627986,-6.657046673907985e-07
ai video course generator free,B,Broad match,1.7161165623267323,4.9049477062800015,2.407385297832736,4.904948,-5.282781039284146e-07
ai video generation course free,B,Broad match,1.7161165623267323,4.904947706280001,2.407385297832735,4.904948,-5.28278104816593e-07
ai video generation course online,B,Broad match,1.7161165623267323,4.904947706280001,2.407385297832735,4.904948,-5.28278104816593e-07
ai video generator course with certificate,B,Broad match,1.7161165623268728,4.572689529980001,2.40738534602004,4.5726895,-3.2536418004269763e-09
ai video generator for online courses,B,Broad match,1.7161165623267323,6.542872388280001,2.4073848318224815,6.542873,-5.174512001104858e-07
ai website builder with source code,B,Broad match,1.7161165623268728,4.754318614980001,2.4073852501118367,4.7543187,-9.916184495750713e-08
best book on generative ai,B,Broad match,13.996116296137732,25.24742385628,24.175127952120455,25.247421,2.5916315635754472e-06
course ai generator online,B,Broad match,1.7161165623267731,4.904947706280001,2.407385297832735,4.904948,-5.28278104816593e-07
courseau ai course generator,B,Broad match,1.7161165623267731,4.904947706280001,2.407385297832735,4.904948,-5.28278104816593e-07
create course content with ai,B,Broad match,3.1361165372472364,6.606928142880001,3.8038990825162315,6.6069283,-2.0566125868981544e-07
cursos gratuitos online mit,B,Broad match,1.7161165623268646,5.0342904895,2.4073855250529785,5.034291,-3.010578613071857e-07
download linkedin amplify your personal brand with generative ai course,B,Broad match,1.7161165623267376,5.9120697472999995,2.407385299057812,5.9120703,-5.270530278878027e-07
edx cs50,B,Phrase match,1.7161165623268726,3.4103832005,2.123297428939331,3.4103832,-2.398730458708087e-08
free ai course content generator,B,Broad match,1.716116562326873,4.572689529980001,2.40738534602004,4.5726895,-3.2536418004269763e-09
free course generative ai,B,Broad match,13.996116296137833,26.58833809748,25.155860384848776,26.588335,3.0602485558972603e-06
free course generator ai,B,Broad match,1.7161165623268726,4.372908537780002,2.4073854140388518,4.3729086,-5.444411943500427e-08
free courses ai video generation,B,Phrase match,1.7161165623268728,4.62010731328,2.407385488634004,4.6201077,-3.3747683580998e-07
free courses generative ai,B,Broad match,13.996116296137831,26.84828746468,25.155860187114996,26.848284,3.6969798031805112e-06
generated ai course,B,Broad match,1.716116562326873,4.1318652589800005,1.8732993562700395,4.131865,2.3441335006424424e-07
generating ai course,B,Broad match,13.996116296137828,30.47300865208,27.895196218837203,30.473003,5.264628828882678e-06
generation ai course,B,Broad match,13.99611629613783,27.88783206928,25.666732692601535,27.887827,5.149724337627504e-06
generative ai and prompt engineering course,B,Phrase match,13.996116296137785,26.60205422008,25.404030423998456,26.60205,3.4388299994247973e-06
generative ai and prompt engineering course,B,Broad match,13.99611629613792,29.462444161079997,27.89519581665861,29.46244,3.67035734072374e-06
generative ai course fees,B,Broad match,13.996116296137743,26.58833809748,25.27076156988448,26.588335,3.0602485558972603e-06
generative ai course google cloud,B,Broad match,13.996116296137766,27.440056880280004,24.974172671600805,27.440052,4.847809300656536e-06
generative ai course in software testing and documentation,B,Broad match,13.996116296137796,30.920783841080002,28.29116734213286,30.920778,5.56654386940636e-06
generative ai course outline,B,Broad match,13.996116296137782,26.68944175648,25.270761327021383,26.689438,3.890269063333562e-06
generative ai course skillsfuture,B,Broad match,13.996116296137828,29.44776039368,26.647465279162788,29.447756,4.580081366611921e-06
generative ai for designers course,B,Broad match,13.99611629613787,29.462444161079997,27.89519581665861,29.46244,3.67035734072374e-06
generative ai for software testing course online,B,Broad match,1.7161165623268728,4.73153523818,2.4073853911493606,4.7315354,-1.9654290017712128e-07
generative ai in software testing course,B,Phrase match,1.7161165623268584,4.5657481651800005,2.4073850613134233,4.5657487,-5.263788374065825e-07
how to generate course content with ai,B,Phrase match,1.7161165623268728,4.425467363280001,2.4073856982409385,4.4254675,-1.2786990133406562e-07
how to generate course content with ai,B,Broad match,1.7161165623254977,4.9049477062800015,2.407385297832736,4.904948,-5.282781039284146e-07
https ai2 appinventor mit edu,B,Broad match,1.7161165623268726,4.596346360800001,2.1954943958494395,4.596347,-4.94363573189105e-07
