Keyword,Region,Match type,Optimal Cost,Gurobi Pred,Actual Model Pred,Diff
1 mit opencourseware,USA,Exact match,0.0,2.0396667088999996,2.0396667,5.622055621046229e-08
1 mit opencourseware,USA,Phrase match,0.0,2.0686337878,2.0686336,2.314340332709719e-07
1 mit opencourseware,USA,Broad match,39.080001197420025,32.7368337849,32.736835,-1.694836328169913e-06
1 mit opencourseware,A,Exact match,0.0,2.6340730828,2.6340728,3.0219086921690064e-07
1 mit opencourseware,A,Phrase match,39.080001197420025,35.423274580430004,35.42328,-4.228163746233804e-06
1 mit opencourseware,A,Broad match,39.08000119742003,37.192450916830005,37.19245,-5.602207764354716e-07
1 mit opencourseware,B,Exact match,39.080001197420025,39.6543169015,39.654316,9.530136750868223e-07
1 mit opencourseware,B,Phrase match,39.080001197420025,42.8909083615,42.890907,1.0739023466044273e-06
1 mit opencourseware,B,Broad match,39.080001197420025,44.660084697900004,44.660084,9.271480507777596e-07
5 day generative ai course google,USA,Exact match,0.0,1.3083809508000006,1.3083807,2.2780042785441879e-07
5 day generative ai course google,USA,Phrase match,0.0,1.7861261526999999,1.786126,1.351295042528733e-07
5 day generative ai course google,USA,Broad match,0.0,2.2501324161,2.250132,3.3220717776671904e-07
5 day generative ai course google,A,Exact match,0.0,1.3152243686999994,1.3152243,7.880589536490845e-08
5 day generative ai course google,A,Phrase match,0.0,1.7929695706000004,1.7929695,1.0534426309050104e-07
5 day generative ai course google,A,Broad match,0.0,2.256975834,2.2569754,4.2163122548899423e-07
5 day generative ai course google,B,Exact match,0.0,1.5561945557000008,1.5561944,1.310707893331653e-07
5 day generative ai course google,B,Phrase match,0.0,2.0339397576000002,2.0339394,3.9602773460600815e-07
5 day generative ai course google,B,Broad match,7.919999921756266,10.160436913680002,10.160437,2.8343097824290453e-07
academy lms course content ai generator addon,USA,Broad match,0.0,0.0072299593000001924,0.0072296076,3.517477102296662e-07
academy lms course content ai generator addon,A,Broad match,11.219999776465606,9.78691154653,9.786912,-4.1788650406715533e-07
academy lms course content ai generator addon,B,Phrase match,8.880000131796411,8.92334090778,8.923341,1.103556837023234e-07
academy lms course content ai generator addon,B,Broad match,11.219999776465606,14.2571954056,14.257195,-6.711728595121258e-08
admissions mit edu,USA,Exact match,0.0,2.5989960514000003,2.598996,1.27404028660294e-07
admissions mit edu,USA,Phrase match,0.0,2.5753965014,2.5753963,2.0203781758709738e-07
admissions mit edu,USA,Broad match,0.0,1.8919126208000003,1.8919125,1.604728518955767e-07
admissions mit edu,A,Exact match,0.0,1.2864277483,1.2864281,-3.456102173338138e-07
admissions mit edu,A,Phrase match,0.0,1.2628281983,1.2628285,-2.709764281849658e-07
admissions mit edu,A,Broad match,2.9400000745704165,3.12065571764,3.120655,6.578255469236183e-07
admissions mit edu,B,Exact match,1.7,3.03438774924,3.0343874,3.99157602526401e-07
admissions mit edu,B,Phrase match,8.699999663792806,8.601739703980002,8.601739,7.742314664938021e-07
admissions mit edu,B,Broad match,11.219999776465604,12.7881040578,12.788104,4.87988316422161e-10
adobe generative ai content creation course,USA,Exact match,0.0,0.9610973624999999,0.96109724,1.2205200183856846e-07
adobe generative ai content creation course,USA,Phrase match,0.0,0.9900644413999995,0.9900642,2.3766083323550902e-07
adobe generative ai content creation course,USA,Broad match,0.0,1.4540707048000001,1.4540707,1.7505993765709604e-08
adobe generative ai content creation course,A,Exact match,0.0,0.9679407804000001,0.9679407,9.22667603431293e-08
adobe generative ai content creation course,A,Phrase match,0.0,0.9969078592999998,0.99690765,2.0787559185109217e-07
