Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,55.760000000000005,41,36.175484
generative ai course,USA,Broad match,8.459999999999999,6,3.2850797
generative ai online course,USA,Broad match,2.36,2,0.78917277
online ai and ml courses,USA,Phrase match,61.25,35,33.43407
mit xpro ai,USA,Broad match,60.96,48,45.526558
mit artificial intelligence course,USA,Phrase match,11.9,7,6.018415
generative ai certificate course,USA,Broad match,8.61,7,6.192324
generative ai fundamentals course,USA,Broad match,1.86,2,0.29621136
generative ai online course,USA,Broad match,2.54,2,0.78917277
generative ai online program,USA,Broad match,3.45,3,-0.5208669
generative ai certificate program,USA,Broad match,1.33,1,-0.024757147
generative ai foundations course,USA,Broad match,24.3,18,15.694356
mit generative ai certificate,USA,Broad match,12.65,11,8.794621
generative ai certification online,USA,Broad match,2.02,2,0.30327296
online course generative ai,USA,Broad match,7.32,3,2.3816683
professional certificate in ai,USA,Phrase match,2.8,2,0.51727664
mit xpro ai course,USA,Phrase match,3.06,1,0.36595577
mit professional development,A,Broad match,6.42,6,1.4358134
generative ai course,A,Broad match,3.16,4,1.4388344
generative ai online course,A,Broad match,0.95,1,0.0
online ai and ml courses,A,Phrase match,2.48,2,0.64239025
mit xpro ai,A,Broad match,2.88,3,1.7674798
generative ai certificate course,A,Broad match,2.29,1,0.43541896
generative ai fundamentals course,A,Broad match,2.97,3,1.225515
generative ai online course,A,Broad match,0.62,1,0.0
generative ai online program,A,Broad match,9.72,12,8.326374
generative ai foundations course,A,Broad match,2.01,3,0.8178489
online course generative ai,A,Broad match,1.05,1,0.0
mit professional development,B,Broad match,2.76,6,1.8601208
generative ai course,B,Broad match,2.94,6,2.5725982
generative ai courses,B,Broad match,0.3,1,0.0
online ai and ml courses,B,Phrase match,3.36,8,5.6862564
mit xpro ai,B,Broad match,0.64,1,0.0
generative ai online program,B,Broad match,1.98,6,1.8031721
mit generative ai certificate,B,Broad match,1.72,4,1.523556
generative ai certification online,B,Broad match,0.74,2,0.0
online course generative ai,B,Broad match,3.96,9,7.199134
mit ai course,USA,Phrase match,23.94,14,12.595131
