Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai certification cost,A,Broad match,existing,0.7970425756926051,1.6897813573300002,0.6749470725475906,1.6897814,-7.005342261834357e-08,0.40349436
ai certification cost,B,Broad match,existing,0.7970425756926023,2.6962110296100006,1.1170266166537628,2.696211,-7.001463320222001e-08,0.55124474
ai diploma,A,Broad match,existing,0.7970425756926073,2.4607147377600005,0.6749470633138945,2.4607148,-7.928711864835236e-08,0.40349436
ai diploma,B,Broad match,existing,0.7970425756926023,4.680401752040002,1.1170265174361198,4.680402,-5.002298664180671e-08,0.55124474
ai for product managers,USA,Broad match,existing,68.49704103146932,56.47332159013001,54.18110719651429,56.473316,5.397503059612063e-06,37.632458
ai generated courses,USA,Broad match,existing,21.597042054254658,19.97576191016,18.497260709484035,19.975763,-1.4107628523163385e-06,20.445927
ai learning course,USA,Broad match,existing,0.7970425756926023,1.8036562103300002,0.6749470132856277,1.8036563,-1.293153855108642e-07,0.40349436
ai learning course,A,Broad match,existing,0.7970425756926036,1.7300691392300003,0.6749468829510086,1.7300694,-2.5965000460814736e-07,0.40349436
ai prompt engineering course,A,Broad match,existing,0.7970425756926027,1.3755066493600003,0.6749472716897122,1.3755065,1.290886990634732e-07,0.40349436
artificial intelligence stanford online,USA,Broad match,new,0.7970425756926023,2.06223068246,0.674947238055398,2.0622306,9.54543848408207e-08,0.40349436
artificial intelligence training,B,Phrase match,existing,0.7970425756926023,3.975853644010001,0.05099769651549435,4.728693,-0.7528393644128504,0.55124354
driving innovation with ai mit xpro,A,Broad match,existing,0.7970425756926025,1.3755066493599999,0.6749472716897118,1.3755065,1.29088698619384e-07,0.40349436
generative ai for business,USA,Broad match,existing,68.4970410314693,54.85740169667001,53.24855133675332,54.857395,6.524550869357881e-06,40.4438
generative ai foundations course,USA,Broad match,existing,0.7970425756926023,2.7644327774199997,0.6749471321258103,2.7644327,1.0873408662348538e-07,0.40349442
generative ai foundations course,A,Broad match,existing,1.0025316412218954,2.3504962514200005,0.6749471019067559,2.3504963,-4.069425729724685e-08,0.40349436
generative ai fundamentals,USA,Broad match,existing,0.7970425756926023,1.43727029832,0.6749471572219776,1.4372703,1.4620964439160389e-08,0.40349436
harvard ai certificate,USA,Broad match,new,0.7970425756926023,2.03612538113,0.6749471022069655,2.0361254,-4.039404766231769e-08,0.40349436
harvard ai certificate,A,Broad match,new,0.797042575692603,1.9625383100299998,0.674946971872346,1.9625385,-1.7072866720369007e-07,0.40349436
harvard ai course,USA,Broad match,existing,0.7970425756926023,1.7703918930300002,0.6749470945604568,1.770392,-4.8040556421824476e-08,0.40349436
harvard ai course,A,Broad match,existing,0.7970425756926026,1.6968048219300005,0.674947202644417,1.6968048,6.004340380449946e-08,0.40349436
machine learning engineer training,USA,Broad match,new,0.7970425756926023,1.5586877585300003,0.6749470950015579,1.5586878,-4.759945526622289e-08,0.40349436
mit ai certificate,USA,Broad match,existing,2.6070425708361284,3.00673332731,2.042726545731936,3.0067337,-3.286195653373625e-07,2.2583039
mit ai certificate,A,Broad match,existing,2.6070425708361635,3.0995936386099996,2.2091740362158956,3.099594,-4.776009379092727e-07,2.085565
mit ai certificate,B,Broad match,existing,1.39704255127772,2.5267683831099994,1.2237158385161884,2.5267684,-6.285862852450919e-08,0.55124474
mit professional development,USA,Broad match,existing,62.29704110083304,56.89048370982,54.59572229052374,56.890484,-1.4638116851983796e-07,72.1732
mit professional development,A,Broad match,existing,20.617042421462898,23.77498955702,21.553815078489116,23.774994,-4.339464375391344e-06,17.899132
mit xpro ai,USA,Broad match,existing,62.29704110083304,58.41954510792,55.586244517404864,58.419548,-2.926747967535448e-06,40.4438
online course generative ai,A,Broad match,existing,4.917042760938185,7.690696362900001,4.99729741041587,7.1609607,0.529735688614112,4.3879023
online course generative ai,B,Broad match,existing,13.89704256811302,33.4192919177,28.418550435918995,33.419296,-4.346948436761977e-06,6.037943
professional ai certificate,USA,Broad match,existing,0.7970425756926023,1.0531744560299998,0.6749470731316691,1.0531745,-3.9667021667355584e-08,0.4034943
professional certificate in ai,USA,Broad match,existing,0.7970425756926023,2.11209330773,0.6749470016920971,2.1120934,-1.4090891609086498e-07,0.40349436
stanford ai professional program,USA,Broad match,existing,0.7970425756926023,1.18107103263,0.6749471322164868,1.181071,-1.0384526349938028e-08,0.40349436
what to study to become artificial intelligence engineer,USA,Broad match,existing,0.7970425756926023,1.66079785496,0.6749471631646509,1.6607978,2.0563637681547675e-08,0.4034943
what to study to become artificial intelligence engineer,A,Broad match,existing,0.7970425756926026,1.5872107838600003,0.6749471520393215,1.5872108,9.438308357090364e-09,0.40349436
