Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
artificial intelligence for leadership,B,Broad match,existing,10.19785388566749,14.309454629080001,12.736140200750533,14.309456,-1.2425020301520817e-06,4.814283
generative ai course for business leaders,USA,Broad match,new,2.9178540147088796,2.424908083793001,1.6168979824746414,2.4249082,-7.737032925447807e-08,0.36667228
generative ai course for business leaders,A,Broad match,new,1.1778542006958614,1.959960061713,0.697297650976916,1.9599603,-2.797405522780849e-07,0.025162458
generative ai foundations course,USA,Broad match,existing,2.9178540147088796,3.7101984241930004,1.616898320051765,3.7101984,2.1788215232021457e-08,0.28972864
generative ai online program,USA,Broad match,existing,2.9178540147088796,3.6050855410930005,1.616898347222456,3.605086,-5.470875414914644e-07,0.018965483
generative ai online program,A,Broad match,existing,1.9678541584056957,3.7543795750929996,1.31154019101402,3.7543797,-1.7420509612620094e-07,0.86397123
generative ai online training,USA,Broad match,existing,2.9178540147088796,2.424908083793001,1.6168979824746414,2.4249082,-7.737032925447807e-08,-0.36933017
generative ai online training,A,Broad match,existing,1.9678541584056957,2.574202117793,1.311539707056916,2.5742023,-1.8132504209233957e-07,0.7821758
generative ai workshop online,USA,Broad match,existing,2.9178540147088796,2.232829970193001,1.6168981016398392,2.23283,-7.741442109576724e-08,0.17149591
generative ai workshop online,A,Broad match,existing,1.9678541584056957,2.382124004193,1.311539707012824,2.3821242,-1.8136913393362875e-07,0.9286506
mit professional development,USA,Exact match,existing,31.787853658330274,25.120910605603004,24.33356603067472,25.120909,1.86842038729651e-06,10.6343565
mit professional development,USA,Phrase match,existing,62.05785625149923,50.49239639720301,49.692374987214606,50.49239,6.718247931303267e-06,10.6343565
mit professional development,USA,Broad match,existing,62.05785625149923,55.939891558203016,54.763141613516126,55.939884,7.372411999995165e-06,10.6343565
mit professional development,A,Broad match,existing,20.757854570161246,21.405163770813,20.087100988525403,21.405165,-9.47814928764501e-07,10.098409
mit xpro ai,USA,Phrase match,existing,62.05785625149923,45.98143930821301,45.55443371920468,45.981434,5.439804809270754e-06,8.456963
mit xpro ai,USA,Broad match,existing,62.05785625149923,52.25014541921303,51.772242857786864,52.250137,8.090111464298388e-06,8.456963
mit xpro ai,A,Broad match,existing,6.497854262276804,5.4981287492029995,4.878913439583096,5.498129,-1.4178821139410047e-07,1.0283227
mit xpro ai,B,Broad match,existing,6.5878544002920965,10.138801524489999,9.304687151759744,10.138802,-5.0217032310229115e-08,2.3805213
northeastern university artificial intelligence,A,Broad match,existing,1.1778542006958614,1.4556314463030005,0.6972977632890844,1.4556316,-1.6742838382377556e-07,0.0
northeastern university artificial intelligence,B,Broad match,existing,0.7078541687225693,1.4506185164999996,0.47738577037573204,1.4506184,1.3023138389911537e-07,0.0
