Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,130.72,86,80.50813
generative ai course,USA,Broad match,4.68,4,3.3082066
generative ai online course,USA,Broad match,2.1,3,2.2675798
online ai and ml courses,USA,Phrase match,32.66,23,22.048477
mit xpro ai,USA,Broad match,71.19,63,59.50745
mit artificial intelligence course,USA,Phrase match,16.29,9,8.019891
generative ai certificate course,USA,Broad match,8.399999999999999,6,5.302949
generative ai fundamentals course,USA,Broad match,12.7,10,9.0446415
generative ai online program,USA,Broad match,7.16,4,1.7049649
generative ai certificate program,USA,Broad match,0.63,1,0.35581553
generative ai foundations course,USA,Broad match,16.080000000000002,12,11.143824
mit generative ai certificate,USA,Broad match,3.16,4,2.0252953
generative ai certification online,USA,Broad match,0.67,1,0.46661007
online course generative ai,USA,Broad match,0.98,1,0.46661013
generative ai course usa,USA,Phrase match,1.13,1,0.46661007
online generative ai course,USA,Phrase match,0.39,1,0.46660998
professional ai certificate,USA,Phrase match,1.2,1,0.46661007
mit professional development,A,Broad match,3.95,5,2.3595755
generative ai course,A,Broad match,1.97,1,0.911664
generative ai courses,A,Broad match,2.05,1,0.8008696
online ai and ml courses,A,Phrase match,2.7,3,1.8647223
mit xpro ai,A,Broad match,4.92,6,2.6282833
generative ai certificate course,A,Broad match,1.07,1,0.46661007
generative ai fundamentals course,A,Broad match,3.56,4,2.9053493
generative ai online course,A,Broad match,1.06,1,0.46660998
generative ai online program,A,Broad match,9.27,9,5.5206156
generative ai foundations course,A,Broad match,1.48,2,1.0055072
online course generative ai,A,Broad match,0.68,2,0.46660995
mit professional development,B,Broad match,2.88,8,4.6404085
generative ai course,B,Broad match,0.8400000000000001,3,0.667596
online ai and ml courses,B,Phrase match,1.7999999999999998,3,1.2064931
generative ai online course,B,Broad match,0.27,1,0.0
generative ai online program,B,Broad match,6.37,13,7.0511003
mit generative ai certificate,B,Broad match,1.8,4,1.0956984
generative ai certification online,B,Broad match,1.47,3,1.206493
online course generative ai,B,Broad match,1.92,4,1.2064931
ai certification mit,USA,Exact match,0.78,1,0.46660998
mit ai course,USA,Phrase match,6.6000000000000005,5,4.493511
