Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai certification courses,B,Broad match,new,13.427512550558445,27.29653759513,26.384395675993954,27.296537,1.9583800892064573e-07
ai course for business leaders,USA,Broad match,new,13.917512512179721,21.02994146231,19.70389451864545,21.029942,-9.652789145775387e-08
ai course for business leaders,A,Broad match,new,13.917512512179721,21.64358129939,20.37219241103093,21.64358,1.8163577735208492e-06
ai course for business leaders,B,Broad match,new,13.917512512179721,28.67807313063,27.115293942473873,28.678072,1.1549219927076138e-06
artificial intelligence short course online,USA,Broad match,existing,13.917512512179721,24.82946292861,23.21959428294197,24.829464,-1.0301302353354913e-06
artificial intelligence short course online,A,Broad match,existing,13.917512512179721,25.63140486739,23.887892117718064,25.631407,-1.916667617507528e-06
artificial intelligence short course online,B,Broad match,existing,13.917512512179721,33.28355646063,31.054479598294797,33.28355,6.198178830629786e-06
best ai learning course,USA,Broad match,existing,13.917512512179721,20.693722472010002,19.39465354424511,20.693722,7.007697675476265e-07
best ai learning course,A,Broad match,existing,13.917512512179728,21.78900758009,20.275925791073277,21.789007,3.9320035227774497e-07
best ai learning course,B,Broad match,existing,13.917512512179721,29.24698531633,27.44251322751622,29.246984,8.345184774327663e-07
best introduction to artificial intelligence,USA,Broad match,existing,13.917512889294388,20.405103962624146,18.98279039164789,20.405104,2.7915246647580716e-07
best prompting courses,USA,Broad match,existing,13.917512512179721,20.44550916415,19.51931115847373,20.445509,2.072408200604059e-07
best prompting courses,A,Broad match,existing,13.917512512179721,21.85854858219,20.7183377152619,21.858545,3.278845273513298e-06
best prompting courses,B,Broad match,existing,13.917512512179721,29.41931334559,27.987712178864843,29.41931,3.729501134586144e-06
driving innovation with ai,A,Broad match,new,1.8175127455204565,2.2679649134500006,1.145916773877857,2.2679656,-6.417410394199408e-07
driving innovation with ai,B,Broad match,new,2.087511894951902,4.315455380990002,2.27418560178468,4.315456,-5.325536989175816e-07
generative ai certification online,USA,Broad match,existing,13.427512550558445,21.640518116309998,20.68219106133258,21.640518,-7.216656427999624e-08
generative ai certification online,A,Broad match,existing,13.427512550558445,22.49555201139,21.350488968749314,22.49555,1.855750351609231e-06
generative ai certification online,B,Broad match,existing,13.427512550558445,30.581361236630002,28.517076435146848,30.581362,-5.339998807585289e-07
learn generative ai tools,A,Broad match,existing,0.11716150907106737,1.6613288758900002,-8.703563376677437e-07,1.6613297,-8.703563376677437e-07
online course generative ai,USA,Broad match,existing,13.917512512179721,24.52521275451,23.0348323481303,24.525215,-2.3944157803157395e-06
online course generative ai,A,Broad match,existing,13.917512512179721,25.698000959550004,24.020884446297746,25.698002,-9.020222613287388e-07
online course generative ai,B,Broad match,existing,13.917512512179721,36.23609618679001,31.18747167125656,36.236088,8.387717741697998e-06
professional ai certificate,USA,Broad match,existing,13.917512512179721,20.334575135850002,19.385491628788998,20.334576,-5.172261694497138e-07
professional ai certificate,A,Broad match,existing,13.917512512179718,21.46422264443,20.05378970966895,21.464222,6.90084295484894e-07
professional certificate in ai,USA,Broad match,existing,13.917512512179712,22.681638272049998,21.17353871608076,22.681639,-4.4560136913673887e-07
professional certificate in ai,A,Broad match,existing,13.917512512179712,23.295278109130003,21.841836608466245,23.295279,-4.4006433341792217e-07
professional certificate in ai,B,Broad match,existing,13.917512512179721,30.43255696753,28.687725167069186,30.432558,-1.0921623818660464e-06
