Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai certification cost,B,Broad match,existing,5.256713102301187,5.939247118800001,5.192706631987409,5.9392476,-4.893848135623102e-07,10.053989
ai certification courses,B,Broad match,existing,5.256713102301187,6.4465904745,5.192706755055725,6.44659,5.277531736069818e-07,9.474219
ai course for business leaders,B,Broad match,existing,5.256713102301187,5.6734135585,5.192706687944122,5.6734138,-1.9500952141981998e-07,9.491287
ai courses for executives,B,Broad match,existing,5.256713102301187,5.7902029924,5.192706661661933,5.7902036,-5.789195798300284e-07,9.266496
ai courses near me,B,Broad match,existing,5.256713102301187,6.7124240348,5.1927068183083005,6.712424,2.3337788057631315e-07,9.474219
ai for product managers,B,Phrase match,existing,5.416713129373228,8.019282825700001,5.848706968537526,8.019283,-4.6897773309240165e-07,9.552649
ai for product managers,B,Broad match,existing,5.256713102301187,8.6319027557,5.892258943520435,8.631903,6.099785210267328e-08,9.552649
ai prompt engineering course,B,Broad match,existing,5.256713102301187,6.7124240348,5.1927068183083005,6.712424,2.3337788057631315e-07,9.812069
ai short course,B,Broad match,existing,5.256713102301187,6.439319996800001,5.192706732716139,6.43932,-9.06328603278439e-08,8.689753
ai strategy course,B,Broad match,existing,5.256713102301187,5.6661430808,5.1927066059998905,5.666143,1.4027876016342589e-07,8.9460945
ai upskilling programs,B,Phrase match,existing,1.3267129683974126,2.14629362969,0.9801823988397804,2.1462932,4.663904396018381e-07,0.0
ai upskilling programs,B,Broad match,existing,6.616713048293791,9.124730805,7.923912981589966,9.124732,-1.2125170893995119e-06,10.055241
artificial intelligence certification,B,Broad match,existing,5.256713102301187,6.7124240348,5.1927068183083005,6.712424,2.3337788057631315e-07,10.053988
artificial intelligence certification mit,B,Broad match,existing,5.256713102301187,6.7124240348,5.1927068183083005,6.712424,2.3337788057631315e-07,9.789736
artificial intelligence course,B,Broad match,existing,5.256713102301187,5.939247118800001,5.192706631987409,5.9392476,-4.893848135623102e-07,9.474219
artificial intelligence for leadership,B,Phrase match,existing,1.6867128972773884,1.99081746719,1.1939331092607703,1.990817,5.163919654105342e-07,1.0263107
