Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai certificate programs,USA,Phrase match,existing,0.8763693961021254,0.25867340644000153,0.19480509986279587,0.25867328,1.259624777261159e-07,0.0
ai certificate programs,USA,Broad match,existing,0.8763693961021254,0.9096855665400019,0.1948049808695307,0.90968573,-1.6439414118885054e-07,0.0
ai certificate programs,A,Phrase match,existing,0.8763693961021254,0.3409868327400014,0.1948050258180425,0.3409868,4.4467143744952864e-08,0.0
ai certificate programs,A,Broad match,existing,0.8763693961021254,0.9919989928400019,0.19480510799045359,0.9919989,8.193607126116831e-08,0.0
ai certificate programs,B,Phrase match,existing,0.8763693961021254,0.2901393908400005,0.19480502487606466,0.29013938,1.3722843528185535e-08,0.0
ai certificate programs,B,Broad match,existing,0.8763693961021254,0.9411515509400008,0.19480501764150837,0.94115156,-8.41287395303425e-09,0.0
ai certification cost,USA,Phrase match,new,0.8763693961021254,0.993073943640001,0.19480502941728373,0.9930739,6.296754617718392e-08,0.0
ai certification cost,USA,Broad match,new,0.8763693961021254,1.7050958608400009,0.19480535733810878,1.7050955,3.3128372645130355e-07,0.0
ai certification cost,A,Phrase match,new,0.8763693961021254,1.0753873699400003,0.19480491811962675,1.0753874,1.1274533973093526e-08,0.0
ai certification cost,A,Broad match,new,0.8763693961021254,1.7874092871400011,0.1948052460404528,1.7874091,2.1998607047102325e-07,0.0
ai certification cost,B,Phrase match,new,0.8763693961021254,1.356307255440001,0.1948050133516832,1.3563073,-1.2702699114797156e-08,0.0
ai certification cost,B,Broad match,new,0.8763693961021254,2.0683291726400013,0.19480522206321904,2.0683293,-1.61619031935345e-07,0.0
ai certification courses,USA,Phrase match,existing,0.8763693961021254,1.0115349897400006,0.19480484810029108,1.0115352,-1.7795409124055084e-07,0.0
ai certification courses,USA,Broad match,existing,0.8763693961021254,1.3276521798400003,0.1948052283553201,1.327652,2.0230093777939828e-07,0.0
ai certification courses,A,Phrase match,existing,0.8763693961021254,1.0938484160400002,0.19480473680263444,1.0938487,-2.8925174788696495e-07,0.0
ai certification courses,A,Broad match,existing,0.8763693961021254,1.40996560614,0.19480511705766368,1.4099655,9.100328135502878e-08,0.0
ai certification courses,B,Phrase match,existing,0.8763693961021254,1.3798886090400009,0.19480474292061611,1.3798889,-2.8313376621014186e-07,0.0
ai certification courses,B,Broad match,existing,0.8763693961021254,1.696005799140002,0.19480512317564647,1.6960057,9.712126414207489e-08,0.0
ai certification mit,USA,Phrase match,existing,0.8763693961021254,0.6925782938400007,0.19480512336880929,0.6925783,-2.1894862589633135e-08,0.0
ai certification mit,USA,Broad match,existing,0.8763693961021254,1.4046002110400002,0.1948052128710549,1.4046,1.8681667257602896e-07,0.0
ai certification mit,A,Phrase match,existing,0.8763693961021254,0.7748917201400005,0.19480501207115286,0.77489185,-1.3319251901400264e-07,0.0
ai certification mit,A,Broad match,existing,0.8763693961021254,1.4869136373400007,0.19480510157339914,1.4869136,7.551901681779327e-08,0.0
ai certification mit,B,Phrase match,existing,0.8763693961021254,0.9485300020400007,0.19480489055547312,0.94853014,-1.3549890920394603e-07,0.0
ai certification mit,B,Broad match,existing,0.8763693961021254,1.6605519192400011,0.19480515887165395,1.6605518,1.3281727162528512e-07,0.0
ai class,USA,Broad match,existing,0.8763693961021254,1.6329413589400006,0.9540140565794659,0.87373227,0.7592090901297284,0.0
ai class,A,Phrase match,existing,0.8763693961021254,1.0032328680400007,0.9540138110760801,0.24402407,0.759208799922859,0.0
ai class,A,Broad match,existing,0.8763693961021254,1.7152547852400006,0.9540139452818097,0.95604575,0.7592090384367169,0.0
ai class,B,Phrase match,existing,0.8763693961021254,1.2606162436400017,0.9540138252173027,0.50140744,0.7592087991629204,0.0
ai class,B,Broad match,existing,0.8763693961021254,1.9726381608400012,0.9540140935334827,1.2134291,0.7592090674791003,0.0
ai course for business leaders,USA,Phrase match,new,0.8763693961021254,1.4783946079400012,0.19480476800469848,1.4783949,-2.5804968384335325e-07,0.0
ai course for business leaders,USA,Broad match,new,0.8763693961021254,1.7945117980400023,0.19480514825972883,1.7945116,2.4141463605964475e-07,0.0
ai course for business leaders,A,Phrase match,new,0.8763693961021254,1.5607080342400015,0.1948046567070425,1.5607084,-3.6934733982363355e-07,0.0
ai course for business leaders,A,Broad match,new,0.8763693961021254,1.876825224340002,0.1948050369620724,1.8768252,1.0907690084493993e-08,0.0
ai course for business leaders,B,Phrase match,new,0.8763693961021254,1.6454809149400016,0.19480471216595374,1.6454812,-3.138884285824872e-07,0.0
ai course for business leaders,B,Broad match,new,0.8763693961021254,1.961598105040002,0.19480509242098343,1.961598,6.636660110359571e-08,0.0
ai courses for executives,USA,Phrase match,new,0.8763693961021254,1.0115349897400008,0.1948048481002913,1.0115352,-1.7795409101850623e-07,0.0
ai courses for executives,USA,Broad match,new,0.8763693961021254,1.3276521798400003,0.1948052283553201,1.327652,2.0230093777939828e-07,0.0
ai courses for executives,A,Phrase match,new,0.8763693961021254,1.0938484160400002,0.19480473680263444,1.0938487,-2.8925174788696495e-07,0.0
ai courses for executives,A,Broad match,new,0.8763693961021254,1.40996560614,0.19480511705766368,1.4099655,9.100328135502878e-08,0.0
ai courses for executives,B,Phrase match,new,0.8763693961021254,1.3798886090400009,0.19480474292061611,1.3798889,-2.8313376621014186e-07,0.0
ai courses for executives,B,Broad match,new,0.8763693961021254,1.696005799140002,0.19480512317564647,1.6960057,9.712126414207489e-08,0.0
ai courses near me,USA,Phrase match,existing,0.8763693961021254,0.9049811676400012,0.19480493816307254,0.9049812,-2.8286665010313072e-08,0.0
ai courses near me,USA,Broad match,existing,0.8763693961021254,1.555993327740001,0.19480527365522327,1.5559931,2.4760084094133106e-07,0.0
ai courses near me,A,Phrase match,existing,0.8763693961021254,0.9872945939400009,0.1948048268654159,0.9872947,-7.997967688133656e-08,0.0
ai courses near me,A,Broad match,existing,0.8763693961021254,1.6383067540400011,0.19480516235756706,1.6383066,1.3630318473900616e-07,0.0
ai courses near me,B,Phrase match,existing,0.8763693961021254,1.137714464340001,0.19480480638483133,1.1377146,-1.600649062183379e-07,0.0
ai courses near me,B,Broad match,existing,0.8763693961021254,1.7887266244400013,0.19480508227233773,1.7887266,5.6217955402004804e-08,0.0
ai diploma,USA,Phrase match,existing,0.8763693961021254,2.550421035540001,0.19480470443953735,2.5504212,-2.0240555542727634e-07,0.0
ai diploma,USA,Broad match,existing,0.8763693961021254,2.927547982740001,0.19480519633253035,2.9275477,2.8948743757695183e-07,0.0
ai diploma,A,Phrase match,existing,0.8763693961021254,1.4102823399400002,0.19480487335674823,1.4102825,-1.526976340926467e-07,0.0
ai diploma,A,Broad match,existing,0.8763693961021254,1.7874092871400005,0.19480524604045213,1.7874091,2.1998606980488944e-07,0.0
ai diploma,B,Phrase match,existing,0.8763693961021254,1.47183680914,0.19480479143217533,1.471837,-2.3462220699599357e-07,0.0
ai diploma,B,Broad match,existing,0.8763693961021254,1.8489637563400003,0.19480516411587923,1.8489636,1.3806149690154257e-07,0.0
ai executive education,USA,Phrase match,existing,0.8763693961021254,0.8281986164400004,0.19480509036272986,0.8281987,-5.490094201476836e-08,0.0
ai executive education,USA,Broad match,existing,0.8763693961021254,1.5402205336400012,0.19480529907426636,1.5402203,2.730198840339426e-07,0.0
ai executive education,A,Phrase match,existing,0.8763693961021254,0.9105120427400011,0.19480497906507432,0.9105121,-4.69893080001782e-08,0.0
ai executive education,A,Broad match,existing,0.8763693961021254,1.6225339599400013,0.19480518777661016,1.6225338,1.6172222783161772e-07,0.0
ai executive education,B,Phrase match,existing,0.8763693961021254,0.9485300020400014,0.1948048905554738,0.94853014,-1.354989085378122e-07,0.0
ai executive education,B,Broad match,existing,0.8763693961021254,1.6605519192400013,0.19480515887165417,1.6605518,1.3281727184732972e-07,0.0
ai for business,USA,Phrase match,existing,0.8763693961021254,1.2352480883400012,0.19480502555771362,1.2352481,-4.966687061624953e-10,0.0
ai for business,USA,Broad match,existing,0.8763693961021254,1.612375035540001,0.19480539824141707,1.6123747,3.7218703474728443e-07,0.0
ai for business,A,Phrase match,existing,0.8763693961021254,1.3175615146400008,0.19480491426005697,1.3175616,-1.1179432535257661e-07,0.0
