Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai for product managers,B,Broad match,existing,18.216991942647752,27.724735625399997,23.70385874093955,27.724737,-1.5419584009634946e-06,6.1519165
applied gen ai for digital transformation mit,B,Broad match,existing,8.726993026642475,10.863293747800004,9.521839003461015,10.863294,1.0003389050439182e-07,1.7746348
artificial intelligence short course online,B,Broad match,existing,15.61699217538629,20.7739338077,18.30260221132549,20.773935,-1.5102931634203287e-06,3.221508
artificial intelligence training,B,Broad match,existing,0.8269926588258727,3.0073853631000014,0.6808222432116957,3.0073853,1.0919375137419252e-07,0.0
best online courses for learning generative ai,B,Broad match,existing,3.2169926119367167,6.3677115793,3.2964945192108885,6.367712,-4.4157402356859166e-07,1.7498798
best prompting courses,B,Exact match,existing,0.8269926588258656,1.7962167450000002,0.9282814451266481,1.7962167,1.8696899584114135e-08,0.0
best prompting courses,B,Broad match,existing,15.616992175386311,20.1626394648,17.37318691200459,20.16264,-1.5311992029864996e-07,-0.15144634
controllable video generation,B,Exact match,existing,38.02699450301765,50.5153541908,48.511265550586984,50.515354,3.430585593378055e-08,16.760925
controllable video generation,B,Phrase match,existing,38.02699450301765,52.3481516878,50.08584666651399,52.348152,-4.728445333057607e-07,16.760925
controllable video generation,B,Broad match,existing,38.02699450301766,55.0577882569,52.15146220137326,55.05779,-5.919769563433874e-07,16.760925
course generator ai,B,Exact match,existing,18.21699194264779,24.750868379899998,22.776782333681126,24.750866,2.4436207013422973e-06,8.172547
course generator ai,B,Phrase match,existing,18.21699194264779,26.295964896899996,23.594707906467256,26.295963,1.609546480096924e-06,8.172547
course generator ai,B,Broad match,existing,18.216991942647798,29.532064829299998,26.566308651397776,29.532063,2.2987824195297435e-06,8.172547
driving innovation with ai mit xpro,B,Broad match,existing,3.2169926119367163,5.931803673699999,3.349088639215136,5.931804,-5.064452643921413e-07,2.0973153
generative ai course for business leaders,B,Broad match,existing,1.0869927239139905,2.4864170469,0.9185318864538332,2.486417,-8.230004677756142e-09,0.0
generative ai for business,B,Broad match,existing,3.216992611936722,4.960554542899999,2.9871160415419666,4.960555,-5.336991222293364e-07,2.7596455
generative ai fundamentals course,B,Broad match,existing,6.556992792412434,10.6576928716,7.631884298830835,10.657692,9.160335938673825e-07,2.44314
generative ai online program,B,Exact match,existing,1.08699272391393,3.7052800945000004,1.3955700687126469,3.70528,2.8963501375045553e-08,0.0
generative ai online program,B,Phrase match,existing,1.0869927239140562,3.6933569863000004,1.395570273653516,3.6933568,2.339043705390509e-07,0.0
generative ai online program,B,Broad match,existing,3.216992611936726,6.715340117799999,3.773531894075634,6.71534,-1.968169005550635e-08,1.9470673
generative ai online training,B,Exact match,existing,1.0869927239140011,2.4613472706,1.39556996881167,2.4613469,4.058996827538408e-07,0.0
generative ai online training,B,Phrase match,existing,1.0869927239140522,3.2771241913000013,1.3955705413976576,3.2771237,5.016485120634684e-07,0.0
generative ai online training,B,Broad match,existing,3.2169926119366608,5.5442658908,3.773532057487012,5.5442667,-8.099446286990997e-07,1.9470673
learn generative ai tools,B,Broad match,existing,18.216991942647788,23.8825760052,21.03084637377605,23.88258,-3.7982667961955485e-06,8.275037
learn prompt engineering,B,Broad match,existing,0.8269926588256844,2.5239240580000004,0.5018414907850346,2.5239239,1.8409863322688125e-07,0.0
mit professional development,B,Exact match,existing,1.0869927239140278,4.4052594214,1.8548005133189456,4.405259,2.8901474635745217e-07,0.0
mit professional development,B,Phrase match,existing,15.616992175386315,18.8438538706,16.305317798822657,18.843853,8.737738284025909e-07,-1.1201982
mit professional development,B,Broad match,existing,15.616992175386315,21.299437640100003,19.2769185284667,21.299438,-8.364624974888102e-07,-1.1201982
mit xpro ai,B,Broad match,existing,6.556992792412469,7.816811130100002,5.8851192451054954,7.816812,-9.083216285787898e-07,-0.14910507
mit xpro designing and building ai products and services,B,Broad match,existing,15.616992175386287,18.8221725501,17.057535318273217,18.82217,2.292531640080142e-06,3.3305116
northeastern university artificial intelligence,B,Broad match,existing,3.2169926119367176,4.811394819899999,2.872050890609228,4.811395,-3.484044439616696e-07,2.4122105
online ai training courses,B,Broad match,existing,3.2252584431417,6.242313868100001,3.409963852459742,6.242314,6.25307716717316e-09,2.191164
online course generative ai,A,Broad match,existing,8.726993026642475,11.9245723117,10.155072056115284,11.924572,3.2073320355152646e-07,4.401668
online course generative ai,B,Exact match,existing,18.216991942647844,30.536191438800024,27.189753507739233,30.53619,1.4058410400252797e-06,7.7889247
online course generative ai,B,Phrase match,existing,18.21699194264779,31.612333689800003,28.007679139247635,31.612335,-1.5152781216443145e-06,7.7889247
online course generative ai,B,Broad match,existing,18.216991942647738,36.5284389599,30.97927943307505,36.52844,3.9178476640699955e-07,7.7889247
