keyword,region,match,bid,bid_lb,bid_ub,predicted_clicks,predicted_epc,is_new_keyword,conv_value,cost,profit,combo_key,obs_clicks,obs_cost,obs_conv_value,obs_cpc,obs_epc,replay_ratio,replay_clicks,replay_revenue,replay_cost,replay_profit
generative ai certificate course,USA,Broad match,0.0,0.69,23.82,0.0,-2.364708429070106e-11,False,-0.0,0.0,-0.0,generative ai certificate course||Broad match||USA,3.0,2.76,0.0,0.9199999999999999,0.0,0.0,0.0,0.0,0.0,0.0
generative ai fundamentals course,USA,Broad match,0.0,0.54,28.59,0.0,8.582625864576693e-12,False,0.0,0.0,0.0,generative ai fundamentals course||Broad match||USA,4.0,5.92,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0
generative ai online course,USA,Broad match,0.0,0.43,34.1,0.0,9.835687819759187e-12,False,0.0,0.0,0.0,generative ai online course||Broad match||USA,3.0,2.5999999999999996,400.0,0.8666666666666666,133.33333333333334,0.0,0.0,0.0,0.0,0.0
generative ai online program,USA,Broad match,-2.106179072967949e-11,0.35,17.35,0.0,-1.1293892642459043e-10,False,-0.0,-0.0,0.0,generative ai online program||Broad match||USA,4.0,4.56,0.0,1.14,0.0,0.0,0.0,0.0,-0.0,0.0
generative ai certificate program,USA,Broad match,4.57578536697514e-11,0.28,29.69,0.0,1.8449790149998018e-10,False,0.0,0.0,0.0,generative ai certificate program||Broad match||USA,1.0,1.22,0.0,1.22,0.0,3.750643743422246e-11,3.750643743422246e-11,0.0,1.7162140757888374e-21,-1.7162140757888374e-21
generative ai foundations course,USA,Broad match,7.15194158766528e-11,0.65,14.98,0.0,3.889474510648593e-10,False,0.0,0.0,0.0,generative ai foundations course||Broad match||USA,11.0,12.76,400.0,1.16,36.36363636363637,6.165466885918346e-11,6.782013574510181e-10,2.4661867543673388e-08,4.850456493164983e-20,2.4661867543624882e-08
mit generative ai certificate,USA,Broad match,0.0,0.67,2.61,0.0,-2.2320424127100352e-11,False,-0.0,0.0,-0.0,mit generative ai certificate||Broad match||USA,10.0,9.1,200.0,0.9099999999999999,20.0,0.0,0.0,0.0,0.0,0.0
generative ai certification online,USA,Broad match,0.0,0.24,4.63,0.0,-2.0980550630156358e-11,False,-0.0,0.0,-0.0,generative ai certification online||Broad match||USA,0.0,0.0,0.0,,,0.0,0.0,,0.0,
online course generative ai,USA,Broad match,-6.1578891487497464e-12,0.62,3.61,0.0,-1.838986448576685e-11,False,-0.0,-0.0,0.0,online course generative ai||Broad match||USA,1.0,2.23,0.0,2.23,0.0,0.0,0.0,0.0,-0.0,0.0
professional ai certificate,USA,Phrase match,1.163513729807164e-13,0.41,4.43,0.0,-1.7093764555989314e-11,False,-0.0,0.0,-0.0,professional ai certificate||Phrase match||USA,0.0,0.0,0.0,,,2.0,0.0,,0.0,
mit professional development,A,Broad match,9.551785520506064,1.070815641887928,9.786065171698008,0.760585515999983,81.20850650623318,True,61.766013824631344,7.264949718835271,54.501064105796075,mit professional development||Broad match||A,3.0,2.37,400.0,0.79,133.33333333333334,2.0,6.0,800.0,57.31071312303638,742.6892868769636
generative ai course,A,Broad match,0.0,0.4,2.74,0.0,-2.043520908046048e-11,False,-0.0,0.0,-0.0,generative ai course||Broad match||A,5.0,9.85,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0
generative ai courses,A,Broad match,0.25,0.25,4.33,14.982258405300001,45.88710728472045,False,687.4924988114059,3.7455646013250004,683.7469342100809,generative ai courses||Broad match||A,1.0,0.83,0.0,0.83,0.0,0.30120481927710846,0.30120481927710846,0.0,0.07530120481927711,-0.07530120481927711
online ai and ml courses,A,Phrase match,0.0,0.39,17.29,0.0,-1.9308554755070872e-11,False,-0.0,0.0,-0.0,online ai and ml courses||Phrase match||A,8.0,6.72,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0
generative ai certificate course,A,Broad match,0.0,0.31,15.2,0.0,-2.147970690202783e-11,False,-0.0,0.0,-0.0,generative ai certificate course||Broad match||A,1.0,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0
generative ai online course,A,Broad match,0.0,0.23,10.45,0.0,-2.000888343900442e-11,False,-0.0,0.0,-0.0,generative ai online course||Broad match||A,3.0,2.52,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0
generative ai online program,A,Broad match,0.0,0.20171228515254946,9.164753825409312,-1.1082911735016739e-11,-2.560796019679401e-11,True,2.838107625748899e-22,-0.0,2.838107625748899e-22,generative ai online program||Broad match||A,8.0,5.04,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0
generative ai foundations course,A,Broad match,0.0,0.37623756877116477,2.5772273460824784,0.0,-7.275957614183426e-12,True,-0.0,0.0,-0.0,generative ai foundations course||Broad match||A,8.0,10.32,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0
online course generative ai,A,Broad match,0.0,0.3,2.9,0.0,-2.9050539751551696e-11,False,-0.0,0.0,-0.0,online course generative ai||Broad match||A,1.0,1.1,200.0,1.1,200.0,0.0,0.0,0.0,0.0,0.0
