Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,74.80000000000001,55,53.281418
generative ai course,USA,Broad match,9.17,7,6.0950637
generative ai courses,USA,Broad match,1.11,1,0.0
generative ai online course,USA,Broad match,2.64,1,0.63107187
online ai and ml courses,USA,Phrase match,39.33,23,22.057232
mit xpro ai,USA,Broad match,93.98,74,67.614365
mit artificial intelligence course,USA,Phrase match,12.78,6,4.8998857
generative ai certificate course,USA,Broad match,3.02,2,1.2693162
generative ai fundamentals course,USA,Broad match,6.58,7,5.972309
generative ai online course,USA,Broad match,6.72,4,3.3589196
generative ai online program,USA,Broad match,12.08,8,4.6536674
generative ai certificate program,USA,Broad match,0.28,1,0.0
generative ai foundations course,USA,Broad match,27.6,20,17.471724
mit generative ai certificate,USA,Broad match,7.64,4,3.315932
online course generative ai,USA,Broad match,1.2,1,0.32584107
professional certificate in ai,USA,Phrase match,3.53,1,0.89421856
online generative ai course,USA,Phrase match,1.09,1,0.0
mit professional development,A,Broad match,3.1,2,0.34331894
generative ai course,A,Broad match,2.88,3,1.5875776
online ai and ml courses,A,Phrase match,3.12,3,1.7170246
mit xpro ai,A,Broad match,10.56,11,6.6212406
generative ai fundamentals course,A,Broad match,0.39,1,0.0
generative ai online course,A,Broad match,0.23,1,0.0
generative ai online program,A,Broad match,2.24,4,0.62424517
generative ai certificate program,A,Broad match,3.33,3,1.7249141
generative ai foundations course,A,Broad match,13.02,7,4.396858
mit professional development,B,Broad match,0.76,2,0.0
generative ai course,B,Broad match,0.14,1,0.0
online ai and ml courses,B,Phrase match,0.21,1,0.0
generative ai online course,B,Broad match,0.33,1,0.0
generative ai online program,B,Broad match,1.2,5,0.8497405
mit generative ai certificate,B,Broad match,0.12,1,0.0
generative ai certification online,B,Broad match,0.44,2,0.0
online course generative ai,B,Broad match,2.16,6,3.4927814
mit ai course,USA,Phrase match,8.95,5,3.1733263
generative ai course mit,USA,Exact match,2.73,1,0.6516556
