Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai course for business leaders,B,Broad match,existing,17.977325882895894,26.188704800746002,24.664134216448822,26.188704,1.2637586976893544e-06,8.227442
applied gen ai for digital transformation mit,B,Broad match,existing,17.977325882895894,28.917179611646,27.43207695814258,34.64253,-5.725348922289548,8.809248
artificial intelligence bootcamp online,B,Broad match,existing,10.217326303706324,15.016187523016002,13.660867665418651,15.016186,1.7625179555835757e-06,4.9655414
artificial intelligence for engineering,B,Phrase match,existing,2.0673266881483414,3.750283415866,2.8578375535727565,3.7502835,-6.382455186582092e-08,0.94945574
artificial intelligence for engineering,B,Broad match,existing,3.1373266159056223,6.213472117766,4.68890153346882,6.2134714,7.051073085406756e-07,0.94945574
artificial intelligence master online,B,Broad match,existing,2.0673266881483445,4.332749533766,2.889911103361337,4.332749,6.438429043242877e-07,1.0287963
artificial intelligence master's degree online,B,Broad match,new,2.0673266881483454,4.849093424866,2.8899111624453457,4.849093,4.6450833401934233e-07,1.5023971
artificial intelligence online program,B,Broad match,existing,2.067326688148345,4.904254781566,2.889911281428671,4.9042544,3.450730803322699e-07,1.0194659
artificial intelligence short course online,B,Exact match,existing,2.067326688148342,3.8664160334300006,3.016467686815163,3.5730004,0.2934156023692096,0.67006993
artificial intelligence short course online,B,Phrase match,existing,2.0673266881483428,4.486178604766001,3.2259947935782565,4.1927633,0.2934152762137545,0.67006993
artificial intelligence short course online,B,Broad match,existing,17.977325882895894,33.045402756746,30.69293808084268,38.77075,-5.725345381681734,7.6180267
artificial intelligence stanford online,B,Phrase match,existing,2.067326688148345,3.5310876328660004,2.857837613315677,3.5310876,-4.081631477248493e-09,1.1940346
artificial intelligence stanford online,B,Broad match,existing,13.837326912287498,20.642885977746,19.11831539344882,20.642885,7.69616118390104e-07,4.6538334
artificial intelligence workshop,B,Phrase match,existing,2.067326688148345,3.7502834158660003,2.857837553572757,3.7502835,-6.382455142173171e-08,1.0580878
artificial intelligence workshop,B,Broad match,existing,3.1373266159056223,6.213472117766,4.68890153346882,6.2134714,7.051073085406756e-07,1.0580878
