keyword,region,match,bid,predicted_clicks,predicted_epc,conv_value,cost,profit,is_new_keyword,hist_min_cpc,hist_avg_cpc,hist_max_cpc,lambda
top generative ai courses,C,Broad match,0.10000724722927146,11.961634553400218,83.05102507415523,993.4260112223232,1.1962501440480917,992.229761078275,True,,,,4.0
top generative ai courses,A,Broad match,0.4099999855548062,7.7204444061899995,98.73249580317989,762.2587449328378,3.1653820950145843,759.0933628378232,True,,,,4.0
top generative ai courses,USA,Broad match,0.7164445899979484,8.59450429499,82.82610984428425,711.8493567940144,6.157486105859716,705.6918706881547,True,,,,4.0
top generative ai courses,B,Broad match,0.12586188743207216,6.696769246600089,100.59001058948105,673.628089430814,0.8428680170741432,672.7852214137399,True,,,,4.0
generative ai top courses,B,Broad match,0.25999999966117765,6.436605822965021,89.91379002932038,578.7396244675778,1.6735175117900394,577.0661069557877,True,,,,4.0
generative ai top courses,C,Broad match,0.09953796671145963,7.926446714374996,71.61368161760262,567.6420313621434,0.7889823891956169,566.8530489729477,True,,,,4.0
top generative ai courses online,C,Broad match,0.1230433343188955,12.340650146311322,45.99607666777759,567.6214902599563,1.5184347416651107,566.1030555182912,True,,,,4.0
generative ai course curriculum,B,Broad match,0.4199999837532204,6.791550032490363,83.73011290726994,568.657251035791,2.852450903305136,565.8048001324859,True,,,,4.0
generative ai course curriculum,C,Broad match,0.10391471139540709,8.241382113200224,64.55004977458508,531.9816256184496,0.8564008437924715,531.1252247746571,True,,,,4.0
ai generative courses,C,Broad match,0.10096549425859269,9.580808055574996,55.456876486660235,531.321688980422,0.9673310207278359,530.3543579596942,True,,,,4.0
generative ai learning course,C,Broad match,0.1040365603384964,12.737307822360567,40.04793413553343,510.10286473391074,1.3251456938110173,508.7777190400997,True,,,,4.0
generative ai top courses,A,Broad match,0.35861104439521974,5.871650876190006,87.00723265068585,510.87609382826724,2.105638853034605,508.77045497523267,True,,,,4.0
generative ai courses and certifications,C,Broad match,0.1314632731690606,11.022117524574972,46.02504605377087,507.2934666786381,1.4490036470346894,505.84446303160337,True,,,,4.0
harvard generative ai course,C,Broad match,0.10005664075023528,9.844785195804993,49.60331735847784,488.3340043935595,0.9850361355998949,487.3489682579596,True,,,,4.0
harvard generative ai course,B,Broad match,0.20999999161825963,7.1983159450049685,67.61777336401434,486.7340961719167,1.5116462881166282,485.22244988380004,True,,,,4.0
generative ai courses andrew ng,C,Broad match,0.10233181115405761,16.957752677304985,28.387478977606108,481.38784763443897,1.7353175445711886,479.65253008986775,True,,,,4.0
