keyword_idx,region,match_type
3,USA,Broad match
3,USA,Exact match
3,USA,Phrase match
3,A,Broad match
3,B,Broad match
3,B,Exact match
3,B,Phrase match
3,C,Broad match
4,USA,Broad match
4,A,Broad match
4,B,Broad match
4,C,Broad match
4,C,Exact match
4,C,Phrase match
6,USA,Broad match
6,USA,Exact match
6,USA,Phrase match
6,A,Broad match
6,A,Phrase match
6,B,Broad match
6,B,Exact match
6,B,Phrase match
6,C,Broad match
29,USA,Broad match
29,A,Broad match
29,A,Exact match
29,A,Phrase match
29,B,Broad match
29,B,Exact match
29,B,Phrase match
29,C,Broad match
30,A,Broad match
30,B,Broad match
30,B,Phrase match
31,A,Broad match
31,A,Phrase match
31,B,Broad match
31,B,Phrase match
39,USA,Broad match
39,USA,Exact match
39,USA,Phrase match
39,A,Broad match
39,A,Exact match
39,A,Phrase match
39,B,Broad match
39,B,Exact match
39,B,Phrase match
39,C,Broad match
39,C,Exact match
39,C,Phrase match
40,A,Broad match
40,B,Broad match
40,B,Phrase match
42,USA,Broad match
42,USA,Exact match
42,USA,Phrase match
42,A,Broad match
42,A,Exact match
42,A,Phrase match
42,B,Broad match
42,B,Exact match
42,B,Phrase match
42,C,Broad match
42,C,Exact match
42,C,Phrase match
75,A,Broad match
75,B,Broad match
75,B,Exact match
75,B,Phrase match
75,C,Broad match
76,A,Broad match
76,B,Broad match
76,B,Phrase match
90,B,Broad match
91,C,Broad match
106,A,Broad match
106,A,Phrase match
106,B,Broad match
106,B,Phrase match
106,C,Broad match
111,USA,Broad match
111,USA,Exact match
111,USA,Phrase match
111,A,Broad match
111,A,Exact match
111,A,Phrase match
111,B,Broad match
111,B,Exact match
111,B,Phrase match
111,C,Broad match
111,C,Exact match
111,C,Phrase match
129,USA,Broad match
129,A,Broad match
129,A,Exact match
129,A,Phrase match
129,B,Broad match
129,B,Exact match
129,B,Phrase match
129,C,Broad match
129,C,Phrase match
130,B,Broad match
130,B,Phrase match
140,A,Broad match
140,B,Broad match
140,C,Broad match
143,A,Broad match
143,B,Broad match
144,A,Broad match
144,A,Phrase match
144,B,Broad match
144,B,Phrase match
144,C,Broad match
170,A,Broad match
170,B,Broad match
178,A,Broad match
178,B,Broad match
187,A,Broad match
187,B,Broad match
187,B,Phrase match
192,USA,Broad match
192,USA,Exact match
192,USA,Phrase match
192,A,Broad match
192,B,Broad match
192,B,Exact match
192,B,Phrase match
192,C,Broad match
192,C,Exact match
192,C,Phrase match
200,A,Broad match
200,B,Broad match
209,A,Broad match
209,B,Broad match
209,B,Phrase match
224,USA,Broad match
224,USA,Phrase match
224,A,Broad match
224,A,Phrase match
224,B,Broad match
224,B,Exact match
224,B,Phrase match
224,C,Broad match
224,C,Phrase match
225,USA,Broad match
225,USA,Exact match
225,USA,Phrase match
225,A,Broad match
225,A,Phrase match
225,B,Broad match
225,B,Phrase match
225,C,Broad match
230,USA,Broad match
230,A,Broad match
230,A,Exact match
230,A,Phrase match
230,B,Broad match
230,B,Exact match
230,B,Phrase match
230,C,Broad match
230,C,Phrase match
243,A,Broad match
243,B,Broad match
243,B,Phrase match
251,USA,Broad match
251,USA,Phrase match
251,A,Broad match
251,A,Phrase match
251,B,Broad match
251,B,Exact match
251,B,Phrase match
251,C,Broad match
251,C,Phrase match
257,USA,Broad match
257,A,Broad match
257,B,Broad match
257,C,Broad match
258,USA,Broad match
258,USA,Phrase match
258,A,Broad match
258,B,Broad match
258,B,Phrase match
258,C,Broad match
258,C,Phrase match
260,USA,Broad match
260,C,Broad match
302,A,Broad match
302,A,Phrase match
302,B,Broad match
302,B,Phrase match
308,USA,Broad match
308,A,Broad match
308,A,Exact match
308,A,Phrase match
308,B,Broad match
308,B,Exact match
308,B,Phrase match
308,C,Broad match
312,USA,Broad match
312,A,Broad match
312,B,Broad match
312,B,Phrase match
312,C,Broad match
317,B,Broad match
321,USA,Broad match
321,USA,Phrase match
321,A,Broad match
321,B,Broad match
321,C,Broad match
322,C,Broad match
323,USA,Broad match
323,USA,Phrase match
323,A,Broad match
323,A,Phrase match
323,B,Broad match
323,B,Exact match
323,B,Phrase match
323,C,Broad match
323,C,Phrase match
324,USA,Broad match
324,A,Broad match
324,A,Exact match
324,A,Phrase match
324,B,Broad match
324,B,Exact match
324,B,Phrase match
324,C,Broad match
327,USA,Broad match
327,A,Broad match
327,A,Exact match
327,A,Phrase match
327,B,Broad match
327,B,Exact match
327,B,Phrase match
327,C,Broad match
327,C,Phrase match
329,USA,Broad match
329,USA,Exact match
329,USA,Phrase match
329,A,Broad match
329,A,Phrase match
329,B,Broad match
329,B,Phrase match
329,C,Broad match
329,C,Phrase match
331,A,Broad match
331,A,Phrase match
331,B,Broad match
331,B,Phrase match
332,USA,Broad match
332,USA,Exact match
332,USA,Phrase match
332,A,Broad match
332,A,Exact match
332,A,Phrase match
332,B,Broad match
332,B,Exact match
332,B,Phrase match
332,C,Broad match
332,C,Exact match
332,C,Phrase match
339,A,Broad match
339,B,Broad match
346,A,Broad match
346,B,Broad match
346,B,Phrase match
352,USA,Broad match
352,USA,Phrase match
352,A,Broad match
352,B,Broad match
352,B,Phrase match
352,C,Broad match
352,C,Exact match
352,C,Phrase match
360,USA,Broad match
360,A,Broad match
360,B,Broad match
360,C,Broad match
362,USA,Broad match
362,USA,Phrase match
362,A,Broad match
362,B,Broad match
362,C,Broad match
371,USA,Broad match
371,USA,Phrase match
371,A,Broad match
371,B,Broad match
371,C,Broad match
371,C,Exact match
371,C,Phrase match
372,B,Broad match
374,USA,Broad match
374,A,Broad match
374,B,Broad match
374,C,Broad match
377,USA,Broad match
377,USA,Exact match
377,USA,Phrase match
377,A,Broad match
377,A,Exact match
377,A,Phrase match
377,B,Broad match
377,B,Exact match
377,B,Phrase match
377,C,Broad match
377,C,Exact match
377,C,Phrase match
378,USA,Broad match
378,USA,Exact match
378,USA,Phrase match
378,A,Broad match
378,A,Phrase match
378,B,Broad match
378,B,Exact match
378,B,Phrase match
378,C,Broad match
378,C,Exact match
378,C,Phrase match
380,A,Broad match
380,B,Broad match
380,B,Phrase match
383,USA,Broad match
383,USA,Exact match
383,USA,Phrase match
383,A,Broad match
383,A,Exact match
383,A,Phrase match
383,B,Broad match
383,B,Exact match
383,B,Phrase match
383,C,Broad match
383,C,Exact match
383,C,Phrase match
384,USA,Broad match
384,USA,Phrase match
384,A,Broad match
384,A,Phrase match
384,B,Broad match
384,B,Phrase match
384,C,Broad match
387,A,Broad match
387,A,Phrase match
387,B,Broad match
387,B,Phrase match
398,A,Broad match
398,B,Broad match
398,B,Phrase match
400,USA,Broad match
400,A,Broad match
400,B,Broad match
400,B,Phrase match
400,C,Broad match
403,USA,Broad match
403,USA,Exact match
403,USA,Phrase match
403,A,Broad match
403,B,Broad match
403,B,Exact match
403,B,Phrase match
403,C,Broad match
403,C,Exact match
403,C,Phrase match
405,A,Broad match
405,B,Broad match
409,USA,Broad match
409,USA,Phrase match
409,A,Broad match
409,B,Broad match
409,C,Broad match
409,C,Phrase match
428,A,Broad match
428,B,Broad match
428,B,Exact match
428,B,Phrase match
428,C,Broad match
434,A,Broad match
434,B,Broad match
434,B,Phrase match
437,A,Broad match
437,B,Broad match
437,B,Phrase match
444,USA,Broad match
444,USA,Phrase match
444,A,Broad match
444,A,Exact match
444,A,Phrase match
444,B,Broad match
444,B,Exact match
444,B,Phrase match
444,C,Broad match
444,C,Phrase match
461,A,Broad match
461,A,Phrase match
461,B,Broad match
461,B,Exact match
461,B,Phrase match
461,C,Broad match
470,A,Broad match
470,B,Broad match
474,A,Broad match
474,B,Broad match
477,USA,Broad match
477,A,Broad match
477,B,Broad match
477,C,Broad match
479,USA,Broad match
479,USA,Exact match
479,USA,Phrase match
479,A,Broad match
479,A,Exact match
479,A,Phrase match
479,B,Broad match
479,B,Exact match
479,B,Phrase match
479,C,Broad match
479,C,Exact match
479,C,Phrase match
481,USA,Broad match
481,USA,Exact match
481,USA,Phrase match
481,A,Broad match
481,A,Exact match
481,A,Phrase match
481,B,Broad match
481,B,Exact match
481,B,Phrase match
481,C,Broad match
481,C,Exact match
481,C,Phrase match
482,USA,Broad match
482,USA,Phrase match
482,A,Broad match
482,A,Exact match
482,A,Phrase match
482,B,Broad match
482,B,Exact match
482,B,Phrase match
482,C,Broad match
482,C,Exact match
482,C,Phrase match
483,A,Broad match
483,B,Broad match
492,USA,Broad match
492,USA,Phrase match
492,A,Broad match
492,A,Phrase match
492,B,Broad match
492,B,Exact match
492,B,Phrase match
492,C,Broad match
492,C,Exact match
492,C,Phrase match
493,USA,Broad match
493,A,Broad match
493,B,Broad match
493,B,Exact match
493,B,Phrase match
493,C,Broad match
494,USA,Broad match
494,USA,Phrase match
494,A,Broad match
494,B,Broad match
494,B,Exact match
494,B,Phrase match
494,C,Broad match
499,USA,Broad match
499,USA,Phrase match
499,A,Broad match
499,A,Phrase match
499,B,Broad match
499,B,Exact match
499,B,Phrase match
499,C,Broad match
499,C,Exact match
499,C,Phrase match
501,USA,Broad match
501,USA,Exact match
501,USA,Phrase match
501,A,Broad match
501,A,Exact match
501,A,Phrase match
501,B,Broad match
501,B,Exact match
501,B,Phrase match
501,C,Broad match
501,C,Exact match
501,C,Phrase match
502,USA,Broad match
502,USA,Exact match
502,USA,Phrase match
502,A,Broad match
502,A,Exact match
502,A,Phrase match
502,B,Broad match
502,B,Exact match
502,B,Phrase match
502,C,Broad match
502,C,Exact match
502,C,Phrase match
503,USA,Broad match
503,USA,Phrase match
503,A,Broad match
503,B,Broad match
503,B,Phrase match
503,C,Broad match
503,C,Phrase match
505,USA,Broad match
505,USA,Exact match
505,USA,Phrase match
505,A,Broad match
505,A,Exact match
505,A,Phrase match
505,B,Broad match
505,B,Exact match
505,B,Phrase match
505,C,Broad match
505,C,Exact match
505,C,Phrase match
507,USA,Broad match
507,A,Broad match
507,A,Phrase match
507,B,Broad match
507,B,Exact match
507,B,Phrase match
507,C,Broad match
507,C,Phrase match
514,USA,Broad match
514,A,Broad match
514,A,Phrase match
514,B,Broad match
514,B,Phrase match
514,C,Broad match
515,USA,Broad match
515,USA,Phrase match
515,A,Broad match
515,A,Exact match
515,A,Phrase match
515,B,Broad match
515,B,Exact match
515,B,Phrase match
515,C,Broad match
515,C,Exact match
515,C,Phrase match
516,USA,Broad match
516,USA,Phrase match
516,A,Broad match
516,A,Phrase match
516,B,Broad match
516,B,Phrase match
516,C,Broad match
516,C,Phrase match
517,USA,Broad match
517,USA,Phrase match
517,A,Broad match
517,A,Exact match
517,A,Phrase match
517,B,Broad match
517,B,Exact match
517,B,Phrase match
517,C,Broad match
517,C,Phrase match
525,USA,Broad match
525,USA,Phrase match
525,A,Broad match
525,A,Phrase match
525,B,Broad match
525,B,Phrase match
525,C,Broad match
525,C,Phrase match
526,B,Broad match
528,A,Broad match
528,B,Broad match
530,USA,Broad match
530,USA,Exact match
530,USA,Phrase match
530,A,Broad match
530,A,Exact match
530,A,Phrase match
530,B,Broad match
530,B,Exact match
530,B,Phrase match
530,C,Broad match
530,C,Exact match
530,C,Phrase match
532,USA,Broad match
532,USA,Exact match
532,USA,Phrase match
532,A,Broad match
532,A,Phrase match
532,B,Broad match
532,B,Phrase match
532,C,Broad match
532,C,Phrase match
541,USA,Broad match
541,USA,Phrase match
541,A,Broad match
541,B,Broad match
541,B,Phrase match
541,C,Broad match
541,C,Phrase match
542,USA,Broad match
542,USA,Exact match
542,USA,Phrase match
542,A,Broad match
542,B,Broad match
542,B,Exact match
542,B,Phrase match
542,C,Broad match
542,C,Exact match
542,C,Phrase match
600,A,Broad match
600,B,Broad match
600,C,Broad match
601,USA,Broad match
601,A,Broad match
601,B,Broad match
601,C,Broad match
604,USA,Broad match
604,A,Broad match
604,B,Broad match
604,B,Exact match
604,B,Phrase match
604,C,Broad match
604,C,Phrase match
606,USA,Broad match
606,USA,Exact match
606,USA,Phrase match
606,A,Broad match
606,A,Phrase match
606,B,Broad match
606,B,Phrase match
606,C,Broad match
606,C,Phrase match
608,A,Broad match
608,B,Broad match
608,C,Broad match
616,USA,Broad match
616,USA,Phrase match
616,A,Broad match
616,A,Exact match
616,A,Phrase match
616,B,Broad match
616,B,Exact match
616,B,Phrase match
616,C,Broad match
616,C,Phrase match
618,A,Broad match
618,B,Broad match
640,USA,Broad match
640,A,Broad match
640,A,Exact match
640,A,Phrase match
640,B,Broad match
640,B,Exact match
640,B,Phrase match
640,C,Broad match
640,C,Phrase match
646,USA,Broad match
646,USA,Exact match
646,USA,Phrase match
646,A,Broad match
646,A,Phrase match
646,B,Broad match
646,B,Exact match
646,B,Phrase match
646,C,Broad match
646,C,Exact match
646,C,Phrase match
648,USA,Broad match
648,A,Broad match
648,B,Broad match
648,C,Broad match
649,USA,Broad match
649,A,Broad match
649,B,Broad match
649,C,Broad match
649,C,Phrase match
652,USA,Broad match
652,A,Broad match
652,B,Broad match
652,C,Broad match
654,USA,Broad match
654,USA,Phrase match
654,A,Broad match
654,A,Exact match
654,A,Phrase match
654,B,Broad match
654,B,Exact match
654,B,Phrase match
654,C,Broad match
654,C,Exact match
654,C,Phrase match
655,USA,Broad match
655,USA,Phrase match
655,A,Broad match
655,A,Exact match
655,A,Phrase match
655,B,Broad match
655,B,Exact match
655,B,Phrase match
655,C,Broad match
656,A,Broad match
656,A,Phrase match
656,B,Broad match
656,B,Phrase match
658,USA,Broad match
658,USA,Exact match
658,USA,Phrase match
658,A,Broad match
658,A,Phrase match
658,B,Broad match
658,B,Exact match
658,B,Phrase match
658,C,Broad match
658,C,Exact match
658,C,Phrase match
659,C,Broad match
669,C,Broad match
671,USA,Broad match
671,USA,Exact match
671,USA,Phrase match
671,A,Broad match
671,B,Broad match
671,B,Phrase match
671,C,Broad match
671,C,Phrase match
691,C,Broad match
692,USA,Broad match
692,USA,Phrase match
692,A,Broad match
692,B,Broad match
692,B,Phrase match
692,C,Broad match
692,C,Phrase match
694,A,Broad match
694,B,Broad match
695,USA,Broad match
695,USA,Exact match
695,USA,Phrase match
695,A,Broad match
695,A,Phrase match
695,B,Broad match
695,B,Phrase match
695,C,Broad match
695,C,Phrase match
697,USA,Broad match
697,USA,Exact match
697,USA,Phrase match
697,A,Broad match
697,A,Phrase match
697,B,Broad match
697,B,Phrase match
697,C,Broad match
697,C,Phrase match
701,USA,Broad match
701,A,Broad match
701,B,Broad match
701,C,Broad match
707,USA,Broad match
707,USA,Phrase match
707,A,Broad match
707,B,Broad match
707,B,Phrase match
707,C,Broad match
707,C,Exact match
707,C,Phrase match
723,A,Broad match
723,A,Phrase match
723,B,Broad match
723,B,Phrase match
724,B,Broad match
726,A,Broad match
726,B,Broad match
726,B,Phrase match
728,A,Broad match
728,A,Phrase match
728,B,Broad match
728,B,Phrase match
733,A,Broad match
733,A,Phrase match
733,B,Broad match
733,B,Phrase match
736,A,Broad match
736,A,Phrase match
736,B,Broad match
736,B,Phrase match
736,C,Broad match
768,USA,Broad match
768,USA,Phrase match
768,A,Broad match
768,A,Phrase match
768,B,Broad match
768,B,Phrase match
768,C,Broad match
768,C,Exact match
768,C,Phrase match
769,USA,Broad match
769,USA,Phrase match
769,A,Broad match
769,A,Phrase match
769,B,Broad match
769,B,Exact match
769,B,Phrase match
769,C,Broad match
769,C,Phrase match
771,USA,Broad match
771,USA,Exact match
771,USA,Phrase match
771,A,Broad match
771,A,Exact match
771,A,Phrase match
771,B,Broad match
771,B,Exact match
771,B,Phrase match
771,C,Broad match
771,C,Exact match
771,C,Phrase match
782,USA,Broad match
782,USA,Phrase match
782,A,Broad match
782,A,Exact match
782,A,Phrase match
782,B,Broad match
782,B,Exact match
782,B,Phrase match
782,C,Broad match
782,C,Exact match
782,C,Phrase match
789,A,Broad match
789,A,Phrase match
789,B,Broad match
789,B,Phrase match
800,USA,Broad match
800,USA,Phrase match
800,A,Broad match
800,A,Phrase match
800,B,Broad match
800,B,Exact match
800,B,Phrase match
800,C,Broad match
800,C,Phrase match
803,USA,Broad match
803,USA,Exact match
803,USA,Phrase match
803,A,Broad match
803,A,Phrase match
803,B,Broad match
803,B,Exact match
803,B,Phrase match
803,C,Broad match
803,C,Exact match
803,C,Phrase match
806,A,Broad match
806,B,Broad match
844,USA,Broad match
844,USA,Exact match
844,USA,Phrase match
844,A,Broad match
844,A,Exact match
844,A,Phrase match
844,B,Broad match
844,B,Exact match
844,B,Phrase match
844,C,Broad match
844,C,Exact match
844,C,Phrase match
874,USA,Broad match
874,USA,Phrase match
874,A,Broad match
874,A,Phrase match
874,B,Broad match
874,B,Exact match
874,B,Phrase match
874,C,Broad match
874,C,Phrase match
875,USA,Broad match
875,A,Broad match
875,A,Phrase match
875,B,Broad match
875,B,Exact match
875,B,Phrase match
875,C,Broad match
876,USA,Broad match
876,USA,Phrase match
876,A,Broad match
876,A,Phrase match
876,B,Broad match
876,B,Phrase match
876,C,Broad match
876,C,Phrase match
878,USA,Broad match
878,A,Broad match
878,B,Broad match
878,C,Broad match
879,USA,Broad match
879,USA,Phrase match
879,A,Broad match
879,B,Broad match
879,B,Phrase match
879,C,Broad match
879,C,Phrase match
901,USA,Broad match
901,A,Broad match
901,B,Broad match
901,C,Broad match
906,A,Broad match
906,B,Broad match
906,B,Phrase match
907,B,Broad match
908,A,Broad match
908,B,Broad match
908,B,Phrase match
909,USA,Broad match
909,USA,Phrase match
909,A,Broad match
909,A,Phrase match
909,B,Broad match
909,B,Exact match
909,B,Phrase match
909,C,Broad match
933,USA,Broad match
933,USA,Exact match
933,USA,Phrase match
933,A,Broad match
933,A,Exact match
933,A,Phrase match
933,B,Broad match
933,B,Exact match
933,B,Phrase match
933,C,Broad match
933,C,Exact match
933,C,Phrase match
942,USA,Broad match
942,USA,Exact match
942,USA,Phrase match
942,A,Broad match
942,A,Exact match
942,A,Phrase match
942,B,Broad match
942,B,Exact match
942,B,Phrase match
942,C,Broad match
942,C,Exact match
942,C,Phrase match
943,USA,Broad match
943,USA,Exact match
943,USA,Phrase match
943,A,Broad match
943,A,Exact match
943,A,Phrase match
943,B,Broad match
943,B,Exact match
943,B,Phrase match
943,C,Broad match
943,C,Exact match
943,C,Phrase match
954,USA,Broad match
954,A,Broad match
954,B,Broad match
954,C,Broad match
955,USA,Broad match
955,USA,Phrase match
955,A,Broad match
955,B,Broad match
955,B,Phrase match
955,C,Broad match
955,C,Phrase match
961,USA,Broad match
961,USA,Phrase match
961,A,Broad match
961,B,Broad match
961,B,Phrase match
961,C,Broad match
961,C,Exact match
961,C,Phrase match
966,USA,Broad match
966,USA,Phrase match
966,A,Broad match
966,B,Broad match
966,B,Phrase match
966,C,Broad match
966,C,Exact match
966,C,Phrase match
982,A,Broad match
982,B,Broad match
982,B,Phrase match
983,USA,Broad match
983,USA,Exact match
983,USA,Phrase match
983,A,Broad match
983,A,Exact match
983,A,Phrase match
983,B,Broad match
983,B,Exact match
983,B,Phrase match
983,C,Broad match
983,C,Exact match
983,C,Phrase match
994,A,Broad match
994,B,Broad match
995,USA,Broad match
995,USA,Phrase match
995,A,Broad match
995,A,Exact match
995,A,Phrase match
995,B,Broad match
995,B,Exact match
995,B,Phrase match
995,C,Broad match
995,C,Phrase match
1001,A,Broad match
1001,B,Broad match
1001,B,Phrase match
1002,B,Broad match
1004,USA,Broad match
1004,A,Broad match
1004,A,Phrase match
1004,B,Broad match
1004,B,Exact match
1004,B,Phrase match
1004,C,Broad match
1004,C,Phrase match
1005,USA,Broad match
1005,A,Broad match
1005,B,Broad match
1005,B,Exact match
1005,B,Phrase match
1005,C,Broad match
1012,A,Broad match
1012,A,Phrase match
1012,B,Broad match
1012,B,Phrase match
1021,USA,Broad match
1021,USA,Phrase match
1021,A,Broad match
1021,A,Exact match
1021,A,Phrase match
1021,B,Broad match
1021,B,Exact match
1021,B,Phrase match
1021,C,Broad match
1021,C,Phrase match
1024,USA,Broad match
1024,A,Broad match
1024,B,Broad match
1024,B,Exact match
1024,B,Phrase match
1024,C,Broad match
1025,A,Broad match
1025,A,Phrase match
1025,B,Broad match
1025,B,Phrase match
1026,A,Broad match
1026,B,Broad match
1026,B,Phrase match
1027,A,Broad match
1027,A,Phrase match
1027,B,Broad match
1027,B,Phrase match
1033,USA,Broad match
1033,A,Broad match
1033,A,Phrase match
1033,B,Broad match
1033,B,Exact match
1033,B,Phrase match
1033,C,Broad match
1034,USA,Broad match
1034,USA,Phrase match
1034,A,Broad match
1034,A,Phrase match
1034,B,Broad match
1034,B,Exact match
1034,B,Phrase match
1034,C,Broad match
1034,C,Phrase match
1035,A,Broad match
1035,A,Phrase match
1035,B,Broad match
1035,B,Phrase match
1043,A,Broad match
1043,B,Broad match
1043,B,Phrase match
1046,USA,Broad match
1046,USA,Phrase match
1046,A,Broad match
1046,A,Exact match
1046,A,Phrase match
1046,B,Broad match
1046,B,Exact match
1046,B,Phrase match
1046,C,Broad match
1046,C,Exact match
1046,C,Phrase match
1048,A,Broad match
1048,B,Broad match
1048,B,Phrase match
1050,A,Broad match
1050,B,Broad match
1050,C,Broad match
1052,USA,Broad match
1052,A,Broad match
1052,A,Exact match
1052,A,Phrase match
1052,B,Broad match
1052,B,Exact match
1052,B,Phrase match
1052,C,Broad match
1054,B,Broad match
1059,A,Broad match
1059,B,Broad match
1061,B,Broad match
1062,USA,Broad match
1062,A,Broad match
1062,B,Broad match
1062,B,Phrase match
1062,C,Broad match
1062,C,Phrase match
1068,USA,Broad match
1068,USA,Phrase match
1068,A,Broad match
1068,A,Phrase match
1068,B,Broad match
1068,B,Phrase match
1068,C,Broad match
1068,C,Exact match
1068,C,Phrase match
1071,USA,Broad match
1071,USA,Phrase match
1071,A,Broad match
1071,B,Broad match
1071,B,Phrase match
1071,C,Broad match
1073,USA,Broad match
1073,USA,Exact match
1073,USA,Phrase match
1073,A,Broad match
1073,A,Phrase match
1073,B,Broad match
1073,B,Exact match
1073,B,Phrase match
1073,C,Broad match
1073,C,Exact match
1073,C,Phrase match
1074,A,Broad match
1074,A,Phrase match
1074,B,Broad match
1074,B,Phrase match
1077,USA,Broad match
1077,A,Broad match
1077,A,Exact match
1077,A,Phrase match
1077,B,Broad match
1077,B,Exact match
1077,B,Phrase match
1077,C,Broad match
1078,USA,Broad match
1078,USA,Exact match
1078,USA,Phrase match
1078,A,Broad match
