bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49,Keyword,is_new_keyword
-0.51292676,-0.20758149,-0.09534562,-0.23063642,-0.41850913,-0.18310459,-0.012307787,-0.20586443,-0.07632743,0.022245053,0.2808486,-0.16153133,-0.21474974,-0.068073295,0.043572895,0.15956639,0.0035096242,0.019059021,-0.08827911,-0.06477462,-0.10651172,-0.09221576,0.015671678,0.06719179,0.07617621,0.06632557,0.046535783,-0.07753772,-0.092728995,0.13711193,0.09493311,-0.033083916,-0.043005265,0.07232363,0.08804887,-0.07724229,0.0022410203,-0.02129419,-0.12179678,0.10146846,0.024988335,-0.015670283,-0.06447232,-0.058358617,0.11342404,-0.085918,-0.12116638,0.0030882375,0.05344063,-0.07382915,1 mit opencourseware,False
-0.8856825,0.28760737,-0.0021980351,0.07392529,-0.0098005105,-0.0598699,0.0022121458,-0.008457671,0.06077754,-0.018887486,0.027611064,-0.05167335,-0.009362968,-0.092636004,-0.032577354,-0.026075471,0.027038336,0.028587492,-0.0123845795,-0.06352759,-0.07344982,0.025369968,0.056740746,-0.05637932,0.037715856,0.0031557349,0.050336353,-0.009654663,0.013795738,-0.0594103,0.03555453,-0.040352058,-0.055768754,0.020924333,0.10986923,0.11504281,-0.06999894,0.087117225,0.10879251,-0.05827321,0.0044299113,0.0069223745,0.019065138,-0.10711655,-0.017498478,0.041178584,0.012994442,-0.021582657,-0.019024173,0.07351364,5 day generative ai course google,True
-0.835513,0.09714453,-0.050427817,0.016495032,-0.010851639,-0.008776605,0.07789413,-0.26834565,0.12924375,0.07957811,-0.008604057,-0.12303042,0.07223322,-0.023183107,0.03668009,-0.05004712,-0.07151956,0.06675797,0.018507306,-0.015206804,0.056992777,0.017838897,0.15495619,-0.074330136,0.07890633,-0.046315078,-0.063894585,0.07867934,-0.098377466,-0.049642265,0.023397032,0.011854157,-0.07425,-0.00878105,0.10729219,0.10178125,0.023942566,0.15812673,0.023235304,0.11313346,-0.03032241,-0.015669713,0.011284235,0.02461407,-0.13435477,-0.005861496,0.0012518306,-0.033726983,-0.035344254,0.008322637,academy lms course content ai generator addon,True
-0.408405,-0.12844928,-0.12312499,-0.34114748,-0.58371615,-0.17157336,0.10478035,-0.06838504,0.045366477,-0.11984298,0.012796716,0.008694696,0.101749055,0.042427838,0.16703247,0.06233238,-0.028446512,-0.04108855,0.03039787,-0.17167959,-0.120051034,0.09860292,-0.012448308,0.17154403,-0.018876918,-0.02017823,-0.14705755,0.08734597,-0.057184543,0.049312692,-0.0035311112,-0.10910137,-0.12552182,0.111051105,-0.075581744,-0.04412149,-0.061823897,-0.05452797,-0.19678633,-0.022598494,-0.025834851,-0.03469103,0.024663799,0.07689904,0.04985337,0.010208451,-0.034657072,0.012095455,-0.022198513,-0.099498056,admissions mit edu,False
-0.87209517,0.23122253,-0.045198128,-0.077404775,0.0084707765,0.10877227,0.003994356,-0.1573984,-0.0345839,-0.028732868,-0.021693373,-0.15760629,0.093633346,-0.041762143,0.09321,0.1038771,-0.105430834,0.04356222,-0.123742044,0.022440633,0.051281482,0.026980653,0.06570114,-0.069252744,0.028436849,-0.0024090398,0.08511812,-0.033123203,-0.00025251324,-0.0350988,0.05573068,0.085571535,-0.032831643,0.011142591,-0.011353357,0.030104762,0.0025265724,0.05214413,0.024554756,0.019006176,0.076105356,0.0115950275,-0.06441758,-0.009972715,-0.06825964,0.01543447,-0.015544743,0.019249817,-0.013927414,0.0037438823,adobe generative ai content creation course,True
-0.9045458,0.2992723,-0.017083619,-0.041572683,-0.007466021,0.082440205,-0.012428561,-0.08155109,-0.004158893,0.046343803,-0.006614772,-0.06843471,0.112278596,-0.01182808,0.013666814,0.072907165,-0.06990821,0.03685789,-0.054712217,0.037871085,-0.014013029,-0.018944936,0.040455874,-0.051869147,0.02325862,-0.0025510848,0.10885959,-0.030649796,0.008326808,-0.010292568,0.0800548,0.030114297,0.008254276,0.033788513,-0.0292178,0.029849663,0.032581735,0.009432268,-0.0001549963,-0.031697523,0.07532183,-0.024329983,-0.02176928,0.017125374,-0.043905012,0.0050032767,0.011967927,0.02534014,0.007037496,0.010065362,adobe generative ai course,True
-0.8799865,0.4250561,0.001386539,-0.020683305,-0.008383594,0.088934205,-0.03839567,0.035353534,0.055758,-0.013611773,-0.010380016,-0.022261275,0.027141575,0.038457908,-0.038800564,0.038075652,-0.021569904,0.045554753,0.021281479,0.033403438,-0.011269604,0.008839671,0.020654565,-0.030326657,-0.0043557035,0.011731742,0.03434347,-0.005789744,0.006710716,-0.009896085,0.066326775,-0.0067175776,-0.039756604,0.0014779607,-0.04724028,-0.011310706,-0.0035726035,0.02271211,0.005997811,-0.049506728,0.002728854,0.013801819,-0.022465972,0.051355366,-0.047488254,0.021701321,0.0011008633,-0.0027644974,-0.009917011,0.0006495203,advanced generative ai course,True
-0.85654134,0.4213703,-0.07922584,-0.0546119,0.014932252,0.16170827,-0.0036052314,0.009132126,-0.021172026,-0.045377944,-0.003848539,0.034295917,0.02600081,0.057072837,0.022913616,0.049984794,0.0018986103,0.0406728,-0.019942418,-0.016209213,-0.005106931,-0.018135544,0.07088606,-0.011642761,-0.032736868,0.05050798,-0.016961025,-0.013950912,0.019293247,0.056613505,0.05029772,-0.010650441,-0.051341847,-0.06887726,-0.07638794,-0.0031805197,0.036381863,-0.008851874,0.0021205891,-0.06675915,0.018888805,0.03044702,-0.025994416,0.038445305,-0.030880338,0.004929411,-0.022337954,-0.012164506,-0.0094253775,-0.0012008139,advanced generative ai courses,True
-0.82509714,-0.07574649,0.05361267,-0.008982843,-0.3294304,-0.07815319,0.12940742,0.05584092,-0.06333814,0.14381701,0.016880775,-0.09998791,0.008174495,-0.076210104,-0.10738085,0.04806941,0.023860915,0.07390489,-0.016678052,0.05928139,0.05539664,-0.033708993,-0.01942768,0.021888731,-0.059951764,-0.115483224,0.039741818,0.06294293,-0.023277687,0.043577068,-0.06631411,0.03526689,0.0779136,0.007255444,-0.0024222916,-0.040064536,0.037811324,-0.023413267,0.03870082,0.0020286718,0.012612858,-0.08043695,0.019672962,-0.07330136,-0.104703,0.08321583,-0.15756702,0.05167157,0.015349243,0.08166113,agentic ai course mit,False
-0.7742714,-0.117108926,0.31670222,0.18655607,0.023892598,-0.08174583,0.03797084,0.03869669,-0.048882425,0.28590167,-0.031043177,0.05844657,0.18012188,-0.04682562,-0.20855175,-0.002994748,0.058589783,0.026895616,-0.0065879757,-0.012508708,-0.008407436,0.07200439,-0.089863196,0.061615862,-0.01796777,0.06655092,0.087735966,0.08274175,0.014804844,0.06499276,-0.055561755,0.0057587293,0.011304999,0.0057430477,-0.018724838,0.014416285,0.07451865,-0.013070618,-0.007780819,0.07221118,0.04012516,0.040356442,0.015018684,-0.004385922,-0.0054465784,-0.07865797,0.054474305,-0.045894317,0.0016603472,-0.002806183,ai,False
