keyword_idx,region,match_type
0,USA,Broad match
0,USA,Exact match
0,USA,Phrase match
0,A,Broad match
0,A,Exact match
0,A,Phrase match
0,B,Broad match
0,B,Exact match
0,B,Phrase match
0,C,Broad match
0,C,Exact match
0,C,Phrase match
1,USA,Broad match
1,USA,Exact match
1,USA,Phrase match
1,A,Broad match
1,A,Exact match
1,A,Phrase match
1,B,Broad match
1,B,Exact match
1,B,Phrase match
1,C,Broad match
1,C,Exact match
1,C,Phrase match
2,USA,Broad match
2,USA,Exact match
2,USA,Phrase match
2,A,Broad match
2,A,Exact match
2,A,Phrase match
2,B,Broad match
2,B,Exact match
2,B,Phrase match
2,C,Broad match
2,C,Exact match
2,C,Phrase match
3,USA,Broad match
3,USA,Exact match
3,USA,Phrase match
3,A,Broad match
3,A,Exact match
3,A,Phrase match
3,B,Broad match
3,B,Exact match
3,B,Phrase match
3,C,Broad match
3,C,Exact match
3,C,Phrase match
4,USA,Broad match
4,USA,Exact match
4,USA,Phrase match
4,A,Broad match
4,A,Exact match
4,A,Phrase match
4,B,Broad match
4,B,Exact match
4,B,Phrase match
4,C,Broad match
4,C,Exact match
4,C,Phrase match
5,USA,Broad match
5,USA,Exact match
5,USA,Phrase match
5,A,Broad match
5,A,Exact match
5,A,Phrase match
5,B,Broad match
5,B,Exact match
5,B,Phrase match
5,C,Broad match
5,C,Exact match
5,C,Phrase match
6,USA,Broad match
6,USA,Exact match
6,USA,Phrase match
6,A,Broad match
6,A,Exact match
6,A,Phrase match
6,B,Broad match
6,B,Exact match
6,B,Phrase match
6,C,Broad match
6,C,Exact match
6,C,Phrase match
7,USA,Broad match
7,USA,Exact match
7,USA,Phrase match
7,A,Broad match
7,A,Exact match
7,A,Phrase match
7,B,Broad match
7,B,Exact match
7,B,Phrase match
7,C,Broad match
7,C,Exact match
7,C,Phrase match
8,USA,Broad match
8,USA,Exact match
8,USA,Phrase match
8,A,Broad match
8,A,Exact match
8,A,Phrase match
8,B,Broad match
8,B,Exact match
8,B,Phrase match
8,C,Broad match
8,C,Exact match
8,C,Phrase match
9,USA,Broad match
9,USA,Exact match
9,USA,Phrase match
9,A,Broad match
9,A,Exact match
9,A,Phrase match
9,B,Broad match
9,B,Exact match
9,B,Phrase match
9,C,Broad match
9,C,Exact match
9,C,Phrase match
