Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,31.08,28,226.23448
generative ai course,USA,Broad match,12.4,10,226.23448
generative ai course mit,USA,Broad match,1.06,1,226.23448
generative ai online course,USA,Broad match,3.56,4,226.23448
online ai and ml courses,USA,Phrase match,23.04,16,226.23448
mit xpro ai,USA,Broad match,60.99,57,226.23448
mit artificial intelligence course,USA,Phrase match,5.85,5,226.23448
generative ai certificate course,USA,Broad match,9.31,7,226.23448
generative ai online course,USA,Broad match,11.06,7,226.23448
generative ai online program,USA,Broad match,5.34,6,226.23448
generative ai certificate program,USA,Broad match,1.19,1,226.23448
generative ai foundations course,USA,Broad match,6.02,7,226.23448
mit generative ai certificate,USA,Broad match,11.66,11,226.23448
online course generative ai,USA,Broad match,4.96,4,226.23448
prompt engineering course,USA,Phrase match,0.77,1,226.23448
professional ai certificate,USA,Phrase match,1.46,1,226.23448
generative ai course,A,Broad match,3.95,5,226.23448
generative ai courses,A,Broad match,0.33,1,226.23448
mit xpro ai,A,Broad match,5.25,7,226.23448
generative ai certificate course,A,Broad match,1.2,2,226.23448
generative ai fundamentals course,A,Broad match,1.05,1,226.23448
generative ai online program,A,Broad match,13.8,20,226.23448
generative ai foundations course,A,Broad match,5.28,6,226.23448
online course generative ai,A,Broad match,0.52,1,226.23448
mit professional development,B,Broad match,0.4,1,226.23448
generative ai course,B,Broad match,0.42,2,226.23448
generative ai courses,B,Broad match,0.86,2,226.23448
generative ai online course,B,Broad match,1.14,3,226.23448
online ai and ml courses,B,Phrase match,0.42,2,226.23448
generative ai certificate course,B,Broad match,0.93,3,226.23448
generative ai online program,B,Broad match,0.14,1,226.23448
mit generative ai certificate,B,Broad match,0.29,1,226.23448
generative ai certification online,B,Broad match,0.44,2,226.23448
online course generative ai,B,Broad match,13.6,40,226.23448
ai certification mit,USA,Exact match,1.28,2,226.23448
mit ai course,USA,Phrase match,15.6,10,226.23448
stanford ai professional program,USA,Phrase match,0.61,1,226.23448
