Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
advanced generative ai course,USA,Broad match,new,0.5370038199327661,1.1516843571000008,0.5819047226242928,1.1516843,7.288979575470478e-08
advanced generative ai courses,USA,Broad match,new,0.5370038199327585,1.0067128258000004,0.5819046812306035,1.0067127,1.5070539594042032e-07
ai short course,USA,Broad match,existing,1.0970037523309148,1.6326104056000013,1.3102840136646527,1.6326103,8.455507938265328e-08
andrea deeplearning ai generative models course,USA,Broad match,new,0.5370038199327651,0.9847691783999999,0.5819046924209197,0.98476905,1.3209338978192875e-07
applied generative ai free course,USA,Broad match,new,0.537003819932766,0.9722976961000003,0.5819047369821109,0.97229767,2.7642969024910258e-08
artificial intelligence implications for business strategy,USA,Broad match,existing searches,1.097003752331236,1.874429709800001,1.1534365485985238,1.8744298,-1.1216807771496917e-07
aws generative ai courses for beginners,USA,Broad match,new,1.2770038465924647,1.7164578786000002,0.7172483553990114,1.7164577,1.5402877218129163e-07
best ai certifications 2024,USA,Broad match,existing,1.097003752331236,1.8470178922,1.310284026462085,1.847018,-1.1126374510617154e-07
best course to learn generative ai,USA,Broad match,new,0.5370038199327665,1.2720832661000006,0.5819048121777288,1.272083,2.2204787653024027e-07
best courses for learning generative ai,USA,Broad match,new,0.5370038199327656,0.862833103,0.581904729663208,0.86283296,1.3953335575855874e-07
best courses on generative ai,USA,Broad match,existing,0.5370038199331836,1.2641677990000006,0.581904782299256,1.2641675,2.5177404849863194e-07
best free course on generative ai,USA,Broad match,new,0.5370038199327654,0.7689615456000001,0.18568271078020637,1.1651834,-0.3962218793496459
best introduction to artificial intelligence,USA,Broad match,existing,1.2770038465924576,2.4116719023,1.51225122368443,2.4116716,2.638112306385665e-07
best online course on generative ai,USA,Broad match,new,0.5370038199327292,1.264167799,0.5819047822992554,1.2641675,2.5177404783249813e-07
best online courses for learning generative ai,USA,Broad match,existing,0.5370038199327585,0.8243536146000001,0.5819047184303376,0.8243535,9.849816295925962e-08
complete generative ai course,USA,Broad match,new,0.5370038199327638,1.7980479477000002,0.5819049356531862,1.7980477,2.859186891690513e-07
course deep learning specialization,USA,Broad match,existing searches,13.937003758659385,13.1120505024,12.499206929306586,13.11205,4.4594248116425206e-07
course for generative ai,USA,Broad match,new,0.5370038199327662,1.4091393303000004,0.5819047640882999,1.4091392,1.739584476467826e-07
course in generative ai,USA,Broad match,existing,0.5370038199327656,1.1882723685000003,0.5819047804567874,1.1882721,2.499315798765167e-07
courses for generative ai,USA,Broad match,new,0.5370038199327662,0.862833103,0.581904729663208,0.86283296,1.3953335575855874e-07
courses in generative ai,USA,Broad match,existing,0.5370038199327662,0.7869376725000001,0.5819047278207399,0.7869376,7.808624280514209e-08
courses on generative ai,USA,Broad match,existing,0.5370038199327721,0.7869376725000001,0.5819047278207399,0.7869376,7.808624280514209e-08
datacamp generative ai course,USA,Broad match,new,1.2770038465924647,1.7673981570000006,0.9718194984192206,1.7673981,3.802722225998423e-08
deep learning generative ai course,USA,Broad match,new,0.5370038199327662,1.0067128258000002,0.5819046812306032,1.0067127,1.507053957183757e-07
deep learning online course,USA,Broad match,existing searches,1.097003752331236,2.7999648647999997,1.310283740112805,2.7999651,-2.7840373562071363e-07
deeplearning ai generative ai course,USA,Broad match,new,0.5370038199327665,0.8418117220000001,0.5819047147825929,0.8418116,1.246527405740494e-07
deeplearning specialization,USA,Broad match,existing searches,13.937003758659381,13.7083570595,12.626408898374818,13.708356,1.1558745125483938e-06
fast ai course,USA,Exact match,existing searches,1.097003752330636,1.0562939094000006,0.9289704905443334,1.056294,-5.498598576458846e-08
fast ai course,USA,Broad match,existing searches,1.0970037523312357,1.6524198974000006,1.310284050785163,1.6524198,9.187326721615818e-08
formation gratuite ia generative,USA,Broad match,existing searches,0.5370038199327851,0.8101055584000001,0.5819047353313813,0.81010544,1.153992066349474e-07
free course on generative ai,USA,Broad match,new,0.5370038199327639,0.8628331029999998,0.5819047296632078,0.86283296,1.3953335553651414e-07
free courses for generative ai,USA,Broad match,new,0.5370038199324001,1.0067128258000002,0.5819046812306032,1.0067127,1.507053957183757e-07
free courses in generative ai,USA,Broad match,new,0.5370038199324001,1.0067128258000002,0.5819046812306032,1.0067127,1.507053957183757e-07
free courses on generative ai,USA,Broad match,new,0.5370038199327721,0.8628331029999998,0.5819047296632078,0.86283296,1.3953335553651414e-07
free generative ai course,USA,Broad match,new,0.5370038199327662,1.553019053100001,0.5819047156556956,1.5530189,1.2552584327529814e-07
free online course on generative ai,USA,Broad match,new,0.5370038199327662,1.2641677990000006,0.581904782299256,1.2641675,2.5177404849863194e-07
free online courses on generative ai,USA,Broad match,new,0.537003819932796,0.8628331029999998,0.5819047296632078,0.86283296,1.3953335553651414e-07
generate ai free course with certificate,USA,Broad match,new,1.2770038465924647,2.2692636026,1.5122511757468202,2.2692635,9.666433120614215e-08
generative adversarial network course,USA,Broad match,existing searches,0.5370038199327665,1.8513686085999996,0.5819043542207272,1.8513689,-2.955137698990029e-07
generative ai,USA,Broad match,existing searches,0.537003819932794,0.8628331029999998,0.5819047296632078,0.86283296,1.3953335553651414e-07
generative ai advanced course,USA,Broad match,new,0.5370038199324272,1.0078046343000004,0.5819047114522526,1.0078045,1.2132240034823383e-07
generative ai and llm course,USA,Broad match,new,0.5370038199327662,1.2720832661000006,0.5819048121777288,1.272083,2.2204787653024027e-07
generative ai and ml course,USA,Broad match,new,0.5370038199327662,1.0067128258000004,0.5819046812306035,1.0067127,1.5070539594042032e-07
generative ai applications course,USA,Broad match,new,0.5370038199327664,1.4080475218000006,0.5819047934712958,1.4080473,2.0334144346101368e-07
generative ai basic course,USA,Broad match,new,0.5370038199327662,0.8099398113,0.1856827235924805,1.2061617,-0.39622192614201657
generative ai beginner course,USA,Broad match,new,0.5370038199327662,1.4159629889,0.5819048233497681,1.4159628,1.736152710485328e-07
generative ai beginner course free,USA,Broad match,new,0.5370038199327727,1.3695680334000004,0.5819048120407475,1.3695679,1.6230625043966995e-07
generative ai by google course,USA,Broad match,new,1.2770038465924718,2.5941994764000005,1.7680567480712956,2.5941994,5.737839403607836e-08
generative ai classes,USA,Broad match,existing searches,0.5370038199327714,0.7869376725000001,0.5819047278207399,0.7869376,7.808624280514209e-08
generative ai complete course,USA,Broad match,new,0.5370038199327674,1.0067128258000004,0.5819046812306035,1.0067127,1.5070539594042032e-07
generative ai course,USA,Broad match,existing,0.5370038199327662,2.2941213314,0.5819047157231201,2.2941215,-1.7242995609123568e-07
generative ai course andrew ng,USA,Broad match,new,0.5370038199327662,0.7617827369000001,0.5819048298622651,0.7617826,1.5032544564697048e-07
generative ai course answers,USA,Broad match,new,0.537003819932762,1.3774835005000003,0.5819048419192203,1.3774834,1.3258007847127828e-07
generative ai course deep learning,USA,Broad match,new,0.5370038199327662,0.8024099672000002,0.5819046998183321,0.8024098,1.394908022422925e-07
generative ai course great learning,USA,Broad match,new,0.5370038199327674,0.8223661276000003,0.5819047185080508,0.822366,1.2837819851618804e-07
generative ai course nptel,USA,Broad match,new,0.5370038199327896,1.4190161772000005,0.581904823325794,1.4190159,2.928005864433203e-07
