Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
advanced generative ai course,USA,Broad match,new,0.7371430035806554,1.5460792939000008,0.8149557272724983,1.5460793,1.5907752226596017e-08
ai automation course,USA,Exact match,existing searches,0.7371430035808071,0.9212543186999996,0.5036434647895535,0.9212544,-7.773859900250812e-08
ai professional certificate,USA,Broad match,existing searches,0.7371430035808268,1.2920423419000016,0.5525218517304764,1.2920424,-3.271089932255222e-08
artificial intelligence training,USA,Phrase match,existing,0.7371430035808073,2.5638224092600006,0.7475816217538971,2.5638227,-3.3701685486775546e-07
best book on generative ai,B,Broad match,existing searches,13.897142823873423,30.4092314282,29.23457456021904,30.409231,2.4228691231087396e-07
best course for generative ai,USA,Broad match,new,0.7371430035808073,1.0150873233000002,0.8149555493513307,1.0150875,-1.6201341535015956e-07
best course on generative ai,USA,Broad match,existing,0.7371430035804565,1.1101330496000008,0.8149555898832039,1.1101332,-1.2148154215907425e-07
best course to learn generative ai,USA,Broad match,new,0.7371430035807265,1.0150873233000004,0.814955549351331,1.0150875,-1.6201341512811496e-07
best courses on generative ai,USA,Broad match,existing,0.7371430035808073,1.015087323302697,0.8149555493540275,1.0150875,-1.6201071861843275e-07
best free course on generative ai,USA,Broad match,new,0.7371430035806981,0.8297452873000004,0.8149557060011723,0.8297453,-5.363573807315447e-09
certified artificial intelligence professional,USA,Broad match,existing searches,0.737143003580627,1.449462185600002,0.5525217754628255,1.4494623,-1.0897855018399127e-07
claude ai,USA,Phrase match,existing searches,0.7371430035808072,1.424174852800001,0.7475819067474496,1.4241749,-5.202330233267105e-08
claude ai,USA,Broad match,existing searches,0.7371430035808073,0.8472397776000007,0.5525216908804877,0.84724,-1.9356088798438975e-07
complete generative ai course,USA,Broad match,new,0.7371430035807123,1.5460792939000005,0.8149557272724981,1.5460793,1.5907752004551412e-08
complete generative ai course with langchain and huggingface,USA,Broad match,new,0.7371430035808073,1.2129192958000006,0.8149556527259649,1.2129194,-5.8638781164077614e-08
course for generative ai,USA,Broad match,new,0.7371430035807123,1.6629348352000006,0.8149556472346076,1.6629349,-6.413013853290295e-08
course on generative ai,USA,Broad match,existing,0.7371430035808073,1.1886313733000007,0.8149555500883308,1.1886315,-1.6127641533358883e-07
course on generative ai,A,Broad match,existing,0.4371430218451451,0.7128671864000001,0.4343251446214357,0.7128674,-1.9278853746751423e-07
courses for generative ai,USA,Broad match,new,0.7371430035807265,1.2038859292000004,0.8149556084602543,1.203886,-1.0290449181660222e-07
courses on generative ai,USA,Broad match,existing,0.7371430035808073,1.0717758320000004,0.8149556301262211,1.0717759,-8.123852501817908e-08
