Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
1 mit opencourseware,USA,Broad match,existing searches,1.0799999609316795,1.4212254610800017,0.8680745092176663,1.4212255,-8.671052587061467e-08,0.12243366,1.6173726267765984
ai mini course generator,USA,Broad match,new,9.979999829986356,9.527030654710002,8.98498327330894,9.527031,-2.901142170941285e-07,8.790853,1.4439648226750978
app inventor mit,USA,Phrase match,existing searches,1.079999960931616,1.3927083794000024,0.8932718221070641,1.3927081,3.162743920093192e-07,0.1224339,1.5717499583713757
controllable video generation,USA,Phrase match,existing,1.0799999609317084,1.9370852393900384,0.8932714147364129,1.9370853,-3.1491614427281434e-08,0.12243366,1.5717506751579127
controllable video generation,USA,Broad match,existing,1.0799999609317363,2.4803645823899982,1.0019208405915974,2.4803646,2.1309065623142945e-08,0.1224339,1.4013082594252126
cursos de ia google,USA,Phrase match,existing searches,1.0799999609317386,1.043442912880003,0.8932714839611644,1.0434428,6.753545944704342e-08,0.12243381,1.5717505533539453
cursos de ia google,USA,Broad match,existing searches,1.0799999609317157,1.2520690198800013,1.0019206937214775,1.2520691,-9.575873161082884e-08,0.12243378,1.401308464840957
cursos gratuitos mit,USA,Exact match,existing searches,1.0799999609316728,3.207853367200001,0.88609223591338,3.2078533,4.993925895036e-08,0.1224339,1.584485104718176
cursos gratuitos mit,USA,Broad match,existing searches,1.0799999609317377,2.4039804202800035,1.0019208652262923,2.4039807,-3.116841078565358e-07,0.1224339,1.4013082249705955
cursos gratuitos online mit,USA,Exact match,existing searches,1.079999960931616,1.3549804815002937,1.0086997576900978,1.3549803,1.319595832605103e-07,0.12243371,1.3918908362050495
cursos gratuitos online mit,USA,Phrase match,existing searches,1.0799999609317013,1.4609281675000003,1.0086995617527774,1.4609282,-3.4175414720394315e-08,0.12243366,1.3918911065764084
cursos gratuitos online mit,USA,Broad match,existing searches,1.0799999609316444,1.6695542745000034,1.1173489503270295,1.6695544,-7.82603115645486e-08,0.12243378,1.256545637600689
