Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
agentic ai course mit,USA,Broad match,existing searches,13.519999634773537,11.75515084049001,10.81907872936025,11.755151,4.5507100310260284e-08
ai course generator,USA,Broad match,new,1.9200000431842768,1.8175569945200016,1.4644663506372502,1.8175569,1.3645725749356075e-07
ai courses generator,USA,Broad match,new,1.9200000431842756,1.8175569945200016,1.4644663506372502,1.8175569,1.3645725749356075e-07
ai courses with certificate,USA,Broad match,existing searches,13.51999963477354,11.595710663640002,10.328461556279162,11.595711,-9.075452922502336e-08
ai engineer pack,USA,Broad match,existing searches,1.9200000431842508,1.8548228663200024,1.464466266035426,1.8548228,1.1146007805606928e-07
ai generative course google,USA,Broad match,new,1.9200000431842739,2.5666718200200007,1.7142275885098384,2.5666718,-2.8277118424568926e-08
ai video course generator,USA,Broad match,new,1.9200000431842756,1.685427207170001,1.4644662771801862,1.6854272,1.829670992492538e-08
ai video generation course,USA,Broad match,new,1.920000043184276,1.5354884814700012,1.46446626151408,1.5354886,-1.2402926641286172e-07
amazon generative ai course,USA,Broad match,new,1.920000043184276,2.0533947323200015,1.7142274354335574,2.0533948,-6.21441098580533e-08
aws generative ai course,USA,Broad match,new,1.9200000431842756,2.487372440920005,1.7142275997258523,2.4873724,4.254354024624263e-08
aws generative ai course free,USA,Broad match,new,1.920000043184281,2.69351074582007,1.7142275322046525,2.6935108,-2.497765949627251e-08
best ai courses for business leaders,USA,Broad match,existing searches,13.519999634773551,11.740228385390004,10.363572806776723,11.740229,-2.6756409710060325e-07
best ai learning course,USA,Broad match,existing,13.519999634773455,11.103002767290002,10.275754611219293,11.103003,2.190722288020197e-07
best book on generative ai,USA,Broad match,existing searches,13.51999963477354,17.92784099539,17.080633866388382,17.92784,1.7162151948468818e-06
books on generative ai,USA,Broad match,existing searches,13.519999634773535,17.681404097890002,16.827379628037555,17.681402,1.8914691040095022e-06
claude ai,USA,Broad match,existing searches,1.9200000431842756,2.332939793620001,1.4644661445950375,2.3329399,-6.958495513131879e-08
course ai generator,USA,Exact match,new,1.069999981683464,1.2099661637900014,0.6359241415617605,1.2099663,-1.3812802834856086e-07
