Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai course generator,B,Broad match,new,10.219999721572375,14.532390642710002,13.427866387911113,14.532389,1.9555762129641607e-06
ai mini course generator,USA,Broad match,new,10.21999972157241,10.96960121095,9.986727294324023,10.969601,5.334597652506545e-07
ai prompt engineering course,B,Broad match,existing,10.219999721522882,15.510490678780002,13.715839170448703,15.510489,1.2149738495281781e-06
best book on generative ai,A,Broad match,existing searches,10.219999721572407,14.475469412610114,12.726913037106574,14.47547,-1.7662328488654566e-07
best book on generative ai,B,Phrase match,existing searches,14.019999627936711,26.287673865210003,24.86291268910069,26.287674,-8.498530945644234e-08
best book on generative ai,B,Broad match,existing searches,10.219999721572412,22.23828816121,20.129487511567056,22.238287,1.1891641022998556e-06
books on generative ai,A,Phrase match,existing searches,10.219999721572423,11.94341649128,10.900661960373323,11.943417,-1.0417898366199552e-07
books on generative ai,A,Broad match,existing searches,10.219999721572407,15.02668894628,13.29989553788614,15.02669,-5.831389451316227e-07
books on generative ai,B,Phrase match,existing searches,14.019999627936711,26.838893398879996,25.435895189880362,26.838894,-4.91500863120109e-07
books on generative ai,B,Broad match,existing searches,10.21999972157241,22.78950769488,20.702469893137447,22.789507,7.826485557416163e-07
coursera courses on generative ai,USA,Broad match,new,10.21999972157241,10.98537237258,9.029438682508895,10.9853735,-1.1244292767997877e-06
cursos inteligencia artificial,USA,Broad match,existing searches,15.739999984866165,14.709049747130003,13.883018419882383,14.709051,-1.3850721458652515e-06
cursos inteligencia artificial,A,Broad match,existing searches,15.970000296024544,18.69153676251,17.830080904756247,18.691538,-1.0945456629940509e-06
free course generative ai,A,Phrase match,new,10.21999972157241,11.430411055360002,9.954233005318804,11.430411,-2.8344615010666985e-07
generative ai course for business analyst,USA,Broad match,new,10.21999972157241,10.983055886450003,9.35065287035961,10.983056,-1.819704067429484e-07
generative ai courses in india,USA,Broad match,new,10.219999721572417,10.92877432018,9.029438458973946,10.928775,-5.134991987176818e-07
google ai courses generative ai,USA,Broad match,new,10.219999721572414,11.21706535176,9.02943827465734,11.217065,4.942770903682003e-07
google studio ai,B,Broad match,existing searches,10.219999721572414,14.485819165100002,13.222043458808804,14.485819,3.0218496327449884e-07
https ai2 appinventor mit edu,B,Broad match,existing searches,10.21999972157238,14.872110457530002,13.714253277888279,14.872109,1.0443830298356716e-06
intellipaat generative ai course,USA,Broad match,new,10.21999972157241,10.943424309260003,9.029438460833184,10.943424,8.440648713303744e-08
mini course generator with ai assistant,A,Broad match,new,8.89999992805617,10.018515204050125,8.849976037599625,10.018515,5.708714141405835e-07
mit data analytics certificate,A,Broad match,existing searches,1.3799999411957047,2.7058193142100024,1.0288780386133838,2.7058194,-5.415242432249556e-08
mit opencourseware classical mechanics,USA,Exact match,existing searches,0.6299999970557717,1.7252237957300016,0.3503803175271818,1.725224,-2.2236692220900522e-07
mit opencourseware classical mechanics,USA,Broad match,existing searches,0.62999999705577,2.0038514890300023,0.3503803767787206,2.0038517,-1.6311538342250742e-07
mit opencourseware classical mechanics,A,Broad match,existing searches,1.0800000154395,2.5044985311300083,0.7358941333562656,2.5044985,4.9379520028480783e-08
mit professional development,USA,Broad match,existing,15.739999984866166,17.30383890158,16.061796121657515,17.303839,1.7172160227119093e-07
mit professional development,A,Broad match,existing,15.73999998486617,17.96436071516,16.686893464336027,17.964361,-4.756358968904806e-07
mit professional education,USA,Phrase match,existing searches,0.6299999970557693,2.223407698960002,0.35038073191135677,2.2234075,1.9201725276474235e-07
mit professional education,USA,Broad match,existing searches,15.739999984866143,16.849697009760003,15.694290177064996,16.849697,-1.0327710597834994e-07
mit professional education,A,Broad match,existing searches,15.739999984866149,18.013583645860002,16.743043527642534,18.013584,-4.911028881338098e-07
mit registration,USA,Broad match,existing searches,1.3799999411956834,2.5842394678800003,0.8437342493741409,2.5842395,-1.4999638420221117e-08
mit university certificate,A,Exact match,existing searches,1.5499999612673652,3.1123740278600005,1.2125999533055571,3.1123745,-5.162836762551137e-07
nlp llm course,USA,Broad match,existing searches,10.21999972157241,10.382937560230015,9.049575219302891,10.382937,1.2889456613152106e-07
online course generative ai,A,Broad match,existing,8.89999992805617,12.043517778560002,9.314161012812932,12.043519,-1.2415205645766036e-06
openai residency program,B,Broad match,existing searches,10.219999721572412,15.557687250130002,13.348333326332394,15.557686,1.3980792203938108e-06
prompt engineering,B,Broad match,existing searches,10.219999721572412,15.988634752760001,14.290120529661246,15.988633,1.5969372473279009e-06
prompt engineering certification,B,Broad match,existing searches,10.21999972157241,15.892557941980002,14.290120565003988,15.892557,7.978149625387232e-07
stanford university ia,A,Exact match,existing searches,10.219999721572409,12.276265411129998,9.963649539700555,12.276264,1.2204561699036276e-06
