Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai mini course generator,USA,Broad match,new,0.7800000263458955,2.020358067700001,0.1987411796537364,2.0203583,-2.5635090228348645e-07,0.12243366
app inventor mit,A,Broad match,existing searches,1.1399999997990626,1.6096992491900004,0.7644276022135295,1.6096996,-3.5770544637436785e-07,0.25454378
artificial intelligence for enterprise,B,Broad match,existing,9.989999762288187,16.6325519998,15.591070862524305,16.632555,-3.008134569881804e-06,7.9482718
course ai generator,A,Broad match,new,1.1399999997990644,2.5695692169900024,0.7644274103875244,2.5695696,-3.707175171285826e-07,0.4345436
course generator ai,A,Broad match,existing,1.1399999997990578,2.380433162390002,0.7644276224958979,2.3804336,-3.9702772269833996e-07,0.3024335
course generator ai free,A,Broad match,new,0.7800000263459005,1.8147469616000027,0.1987414217058987,1.8147475,-4.911358981729563e-07,0.12243366
cursos inteligencia artificial,USA,Broad match,existing searches,20.44000006156905,20.283389160114,18.929951974826523,20.28339,-8.850520174519261e-07,13.334299
cursos inteligencia artificial,A,Broad match,existing searches,20.440000061569044,20.507535563484,19.19256697751598,20.507538,-2.278312877024291e-06,13.645618
d id,B,Broad match,existing searches,9.989999762288342,18.4741017015,16.691319742919983,18.474102,-3.187636714585551e-07,10.456027
gemini certified educator,B,Broad match,existing searches,9.989999762288342,18.5923050476,17.288927776901453,18.592306,-1.089484960914433e-06,8.503874
generative ai for designers course,USA,Broad match,new,1.920000026144974,1.620131253584001,0.3475469344693156,1.6201314,-1.1982145586841852e-07,0.55426073
google's introduction to generative ai,A,Broad match,existing,3.110000052744468,2.3268061276740006,1.6961039301222731,2.3268058,2.976721695802098e-07,1.3171995
how to generate prompt,USA,Broad match,existing searches,0.7800000263459004,1.5065007127000007,0.1987419045640144,1.5065007,-8.27778245948707e-09,0.12243366
japan ai training,A,Broad match,existing searches,1.1399999997990724,1.8098595251999985,0.6168092598878037,1.8098596,-1.082457412593385e-07,0.3024335
mini course generator with ai assistant,A,Broad match,new,10.440000239887404,11.579302318984002,9.852423675948112,11.579301,1.4385518731785396e-06,9.487261
mit ai certificate,A,Broad match,existing,1.370000011637539,3.422441731,1.281513224148804,3.422442,-2.283811033620964e-07,0.43454385
mit certificate in ai,A,Broad match,existing searches,1.3700000116375437,3.2209463146000017,1.2815133359699358,3.2209463,2.649318098235653e-09,0.43454385
mit generative ai certificate,USA,Broad match,existing,1.3700000116375364,2.961680480030001,0.8634460649756797,2.9616804,6.773752048161441e-08,0.4345441
mit online learning,A,Broad match,existing searches,0.7800000263459008,1.6633750189000005,0.1987416732960574,1.6633753,-2.395457394666068e-07,0.12243366
mit online science technology and engineering community,A,Broad match,existing searches,1.040000013739724,1.5756268289900008,0.3463603046751204,1.575627,-1.4034746254054653e-07,0.12243366
mit professional development,USA,Broad match,existing,15.740000311530755,17.696239171814,15.888349471878088,17.696238,1.6077270856840189e-06,16.36301
mit professional development,A,Phrase match,existing,15.74000031153075,16.562961882784,14.461312836839785,16.562962,3.044148577657779e-07,12.4506
mit professional development,A,Broad match,existing,15.740000311530745,18.116484856784,16.347063756167543,18.116484,1.1684295060376826e-06,16.36301
mit professional education,USA,Broad match,existing searches,15.740000311530729,16.811959887584,15.254987741549758,16.811962,-2.240101547812401e-06,14.85796
mit professional education,A,Phrase match,existing searches,15.740000311530755,16.082039731584,13.827951091370988,16.082043,-2.9625077964112734e-06,11.450625
mit professional education,A,Broad match,existing searches,15.740000311530748,17.635562705584,15.713702129908036,17.635565,-2.0984931481393687e-06,15.169278
mit xpro,B,Phrase match,existing searches,7.639999887269203,13.9998552212,12.227347911286364,13.999855,1.796960926725433e-07,5.437503
mit xpro,B,Broad match,existing searches,9.989999762288337,21.762023545,19.726262903901976,21.762022,1.5265673809494729e-06,11.241909
mit xpro ai,USA,Broad match,existing,59.59999871568636,56.295172919084,54.47868858699935,56.295174,-7.259355285782476e-07,56.267815
mit xpro ai,A,Broad match,existing,7.639999887269195,8.897176373884,7.0403135904519925,8.897176,5.850046047584101e-07,3.622753
mit xpro ai,B,Phrase match,existing,7.639999887269203,14.610633767500005,12.750396169080814,14.610633,8.710766632447076e-07,4.3172665
mit xpro ai,B,Broad match,existing,9.989999762288337,22.3728020913,20.249311280905715,22.372803,-6.430749976971128e-07,10.121675
online course generative ai,USA,Broad match,existing,0.7800000263459008,2.2859336384000004,0.198741579836768,2.2859342,-5.714236079867874e-07,0.12243378
prompt engineering,B,Broad match,existing searches,9.98999976228834,18.193058798000003,16.852832147761966,18.19306,-1.1232646457415283e-06,9.35025
prompt engineering certification,B,Broad match,existing searches,9.989999762288331,18.3889566455,16.612397173415957,18.388956,5.755537131335586e-07,9.475908
tech skills to learn,B,Broad match,existing searches,9.98999976228832,19.485873851900056,17.993827972536042,19.485876,-2.231473967384545e-06,10.5581875
v0 ai,B,Broad match,existing searches,9.989999762288312,17.5743949192,15.894363738818225,17.574394,6.931257807707425e-07,8.3346
xpro mit,USA,Phrase match,existing searches,0.7800000263459039,2.4221852800300017,0.1987420103003874,2.4221852,9.745859053111873e-08,0.12243414
xpro mit,USA,Broad match,existing searches,7.639999887269191,9.680377123214,7.789161918021435,9.680377,1.1668323907088053e-07,3.9136286
xpro mit,A,Broad match,existing searches,7.639999887269202,10.100622808184,8.247876321520183,10.100623,-3.226143387990988e-07,3.913629
xpro mit,B,Broad match,existing searches,9.989999762288324,19.268280625600003,17.148906111973904,19.26828,5.963031277644859e-07,13.32538
